condition,variant,step,layer,before_attention,after_attention,after_mlp
clothes,full,2,0,4.110138416290283,2.0422449111938477,0.9780018925666809
clothes,full,2,1,0.9780018925666809,2.2385690212249756,2.0149316787719727
clothes,full,2,2,2.0149316787719727,1.4240270853042603,0.28744298219680786
clothes,full,2,3,0.28744298219680786,0.28179076313972473,1.7374402284622192
clothes,full,2,4,1.7374402284622192,0.926061749458313,-0.6443513631820679
clothes,full,2,5,-0.6443513631820679,-3.4145679473876953,-1.0265705585479736
clothes,full,2,6,-1.0265705585479736,-0.5507593154907227,-1.8350708484649658
clothes,full,2,7,-1.8350708484649658,-1.1175618171691895,-0.5104881525039673
clothes,full,2,8,-0.5104881525039673,-2.8811514377593994,-1.3377251625061035
clothes,full,2,9,-1.3377251625061035,-1.957535982131958,-1.862663984298706
clothes,full,2,10,-1.862663984298706,-3.1069397926330566,-0.13910937309265137
clothes,full,2,11,-0.13910937309265137,-0.210221529006958,-1.9360829591751099
clothes,full,2,12,-1.9360829591751099,-2.1460845470428467,-2.7948572635650635
clothes,full,2,13,-2.7948572635650635,-3.1570801734924316,-4.137913703918457
clothes,full,2,14,-4.137913703918457,-4.369311809539795,-2.5063443183898926
clothes,full,2,15,-2.5063443183898926,-2.134216785430908,-1.3151910305023193
clothes,full,2,16,-1.3151910305023193,-0.35429126024246216,0.7348382472991943
clothes,full,2,17,0.7348382472991943,0.2821311950683594,-0.5508307218551636
clothes,full,2,18,-0.5508307218551636,-1.782401204109192,-2.230430841445923
clothes,full,2,19,-2.230430841445923,-2.124584197998047,-1.7595521211624146
clothes,full,2,20,-1.7595521211624146,-1.7789027690887451,-2.7876243591308594
clothes,full,2,21,-2.7876243591308594,-2.912984848022461,-3.1668903827667236
clothes,full,2,22,-3.1668903827667236,-0.6370244026184082,-1.8184034824371338
clothes,full,2,23,-1.8184034824371338,7.1385273933410645,5.607856750488281
clothes,full,2,24,5.607856750488281,6.6161017417907715,4.160837650299072
clothes,full,2,25,4.160837650299072,-2.3634533882141113,-2.881654739379883
clothes,full,2,26,-2.881654739379883,-1.8488367795944214,-2.6604666709899902
clothes,full,2,27,-2.6604666709899902,-1.8878860473632812,-2.01910400390625
clothes,full,2,28,-2.01910400390625,-1.3571113348007202,-2.8605308532714844
clothes,full,2,29,-2.8605308532714844,-1.883335828781128,-1.5189499855041504
clothes,full,2,30,-1.5189499855041504,0.8588789105415344,2.628925323486328
clothes,full,2,31,2.628925323486328,1.5304234027862549,1.9126027822494507
clothes,full,3,0,0.8890776634216309,1.0220506191253662,2.69138503074646
clothes,full,3,1,2.69138503074646,3.8162763118743896,5.32996940612793
clothes,full,3,2,5.32996940612793,2.8078131675720215,1.8387207984924316
clothes,full,3,3,1.8387207984924316,2.642972946166992,3.1317031383514404
clothes,full,3,4,3.1317031383514404,3.575802803039551,3.99912691116333
clothes,full,3,5,3.99912691116333,4.853883743286133,3.6025824546813965
clothes,full,3,6,3.6025824546813965,2.617192029953003,2.423513650894165
clothes,full,3,7,2.423513650894165,3.6618075370788574,2.6145853996276855
clothes,full,3,8,2.6145853996276855,3.794910192489624,2.830944061279297
clothes,full,3,9,2.830944061279297,3.2639341354370117,0.3908654451370239
clothes,full,3,10,0.3908654451370239,0.3202173709869385,-0.06650024652481079
clothes,full,3,11,-0.06650024652481079,-0.6081506013870239,-0.6583091616630554
clothes,full,3,12,-0.6583091616630554,-1.961716890335083,-0.17600643634796143
clothes,full,3,13,-0.17600643634796143,-1.008753776550293,-0.8486039042472839
clothes,full,3,14,-0.8486039042472839,-0.7997444868087769,-0.759305477142334
clothes,full,3,15,-0.759305477142334,-1.2141695022583008,-1.2615966796875
