condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
clothes,full,2,ca,0.7197208404541016,1.875, clothes, men,1.875, clothes,,0.0,0.0,0.0,0
clothes,full,3, clothes,1.4271135330200195,1.0, were, consisted,1.0, were,,0.0014812187873758376,0.0014812187873758376,0.0014812187873758376,0
clothes,full,4, were,1.4662563800811768,1.5, made, typically,1.5, made,,0.004957607772666961,0.004957607772666961,0.004957607772666961,0
clothes,full,5, made,0.48521944880485535,1.5, of, from,1.5, of,,0.006074057891964912,0.006074057891964912,0.006074057891964912,0
clothes,full,6, of,0.06541174650192261,5.25, woven,":

",5.25, woven,,0.005255836702417582,0.005255836702417582,0.005255836702417582,0
clothes,full,7, woven,0.004664966836571693,8.0, or, textiles,8.0, or,,0.006463052181061357,0.006463052181061357,0.006463052181061357,0
clothes,full,8, or,0.0006205067038536072,9.875, kn, knit,9.875, kn,,0.003561337594874203,0.003561337594874203,0.003561337594874203,0
clothes,full,9, kn,6.293679325608537e-05,13.625,itted,itten,13.625,itted,,0.008004773175343871,0.006333845143672079,0.006333845143672079,0
clothes,full,10,itted,0.0010166559368371964,10.5, textiles, textures,10.5, textiles,,0.003244741295929998,0.0051673363777808845,0.0051673363777808845,0
clothes,full,11, textiles,0.616706371307373,2.375,",", and,2.375,",",,0.01124115550192073,0.008920879336073995,0.008920879336073995,0
clothes,full,12,",",1.650923490524292,1.125, held, often,1.125, held,,0.010312454600352794,0.0042202663025818765,0.0042202663025818765,0
clothes,full,13, held,0.0004891137359663844,10.125, together, by,10.125, together,,0.0045228032395243645,0.010103305277880281,0.010103305277880281,0
clothes,full,14, together,0.08166900277137756,4.125, by, with,4.125, by,,0.003460510401055217,0.007551041315309703,0.007551041315309703,0
clothes,full,15, by,0.503099799156189,1.375, metal, large,-1.375, large,,0.004949778784066439,0.006993392365984619,0.006993392365984619,0
clothes,full,16, metal,1.4435219782171771e-05,14.375, pins,pins,14.375, pins,,0.00545612012501806,0.00969193025957793,0.00969193025957793,0
clothes,full,17, pins,0.7601357102394104,0.125,.,",",-0.125,",",,0.007531193259637803,0.0016786246560513973,0.0015781783731654286,0
clothes,full,18,.,1.1503932476043701,0.875, They, The,0.875, They,,0.02269467822043225,0.016102190304081887,0.011514792684465647,0
clothes,full,19, They,1.5474717617034912,0.75, wore, were,-0.75, were,,0.003431746212299913,0.008000765810720623,0.008401926839724183,0
clothes,full,20, wore,2.107434034347534,0.5, tun, simple,-0.5, simple,,0.004253565741237253,0.009100099559873343,0.012122487474698573,0
clothes,full,21, tun,4.482377335079946e-06,15.75,ics,ks,15.75,ics,,0.003922439180314541,0.006382721941918135,0.008513788459822536,0
clothes,full,22,ics,1.501605749130249,0.5, and, (,-0.5, (,,0.002298015111591667,0.004234599706251174,0.009052746288944036,0
clothes,full,23, and,0.8905373811721802,0.625, clo, skirts,0.625, clo,,0.003277572919614613,0.00345262250630185,0.003990686614997685,0
clothes,full,24, clo,0.0010065246606245637,9.5,aks,ths,9.5,aks,,0.012509023188613355,0.011915645736735314,0.010723246610723436,0
clothes,full,25,aks,0.8787100315093994,2.125,",", for,2.125,",",,0.004760053823702037,0.004944469663314521,0.007204180117696524,0
clothes,full,26,",",0.9299038052558899,1.625, with, and,1.625, with,,0.014465679880231619,0.007928315782919526,0.00389883981551975,0
clothes,full,27, with,2.3950676918029785,0.625, t, men,-2.5, men,,0.00611755414865911,0.008673941541928798,0.013139603368472308,0
clothes,full,28, t,0.4533141255378723,2.125,unic,ass,2.125,unic,,0.0027541243471205235,0.004427790176123381,0.004791650513652712,0
clothes,full,29,unic,1.2495923042297363,0.375, lengths, reaching,-0.625, reaching,,0.012035633902996778,0.014732479816302657,0.01611996366409585,0
clothes,full,30, lengths,0.1153373122215271,5.25, reaching, up,5.25, reaching,,0.007909140607807785,0.015341316349804401,0.014927861862815917,0
clothes,full,31, reaching,0.4851444363594055,2.0, up, the,2.0, up,,0.0031701024854555726,0.0035662860609591007,0.003857256204355508,0
clothes,full,32, up,0.0013957084156572819,10.25, to, the,10.25, to,,0.01945254986640066,0.015341167920269072,0.004841068293899298,0
clothes,full,33, to,0.2690637409687042,2.625, the, their,2.625, the,,0.0016093631857074797,0.003620935254730284,0.009188955009449273,0
clothes,full,34, the,0.32204729318618774,2.25, knee, knees,2.25, knee,,0.004305392096284777,0.004798672278411686,0.005459000531118363,0
clothes,full,35, knee,1.3208945989608765,0.125,",", for,-0.375, for,,0.013237073901109397,0.005996955442242324,0.0034954947768710554,0
clothes,full,36,",",0.17234258353710175,3.75, and, while,3.75, and,,0.029291212558746338,0.015017992816865444,0.007604045560583472,0
clothes,full,37, and,1.9161529541015625,0.5, skirts, women,0.5, skirts,,0.010161817364860326,0.011284496576990932,0.007165330753196031,0
clothes,full,38, skirts,1.007027506828308,1.875, that, covering,1.875, that,,0.0033815031056292355,0.010654373792931437,0.016145320027135313,0
clothes,full,39, that,0.549830973148346,2.25, covered, were,2.25, covered,,0.0016134262550622225,0.0043456280254758894,0.007285351573955268,0
clothes,full,40, covered,0.7228209972381592,0.5, up, the,0.5, up,,0.003931036335416138,0.005493758071679622,0.007680539391003549,0
clothes,full,41, up,0.00041515857446938753,10.5, to, the,10.5, to,,0.028900500386953354,0.02716613735537976,0.01336581283248961,0
clothes,full,42, to,0.0053743841126561165,8.0, the, ankle,8.0, the,,0.006856949767097831,0.006597100174985826,0.008003491384442896,0
clothes,full,43, the,0.24790091812610626,2.625, ankle, ankles,2.625, ankle,,0.0042767528793774545,0.005827674292959273,0.006776507361792028,0
clothes,full,44, ankle,0.10525979846715927,4.625,., for,4.875,.,,0.021385225118137896,0.02001697849482298,0.007679676928091794,0
clothes,full,45,.,2.4289512634277344,1.5625,<|eot_id|>, The,-1.5625, The,,0.03378420730587095,0.046945581561885774,0.03523298684740439,0
clothes,cut_source,2,ca,0.08738691359758377,5.0, clothes, men,7.625, clothes,,0.0,0.0,0.0,0
clothes,cut_source,3, clothes,2.164696216583252,0.25, were, consisted,1.0, typically,,0.0,0.0,0.0,0
clothes,cut_source,4, were,2.2995901107788086,0.625, made, typically,-0.625, typically,,0.0,0.0,0.0,0
clothes,cut_source,5, made,0.7677198052406311,1.625, of, from,1.625, of,,0.0,0.0,0.0,0
clothes,cut_source,6, of,2.671814441680908,0.375, woven,":

",-1.9375,":

",,0.0,0.0,0.0,0
clothes,cut_source,7, woven,2.07794451713562,0.5, or, textiles,-5.375, textiles,,0.0,0.0,0.0,0
clothes,cut_source,8, or,0.4741312563419342,2.25, kn, knit,6.3125, kn,,0.0,0.0,0.0,0
clothes,cut_source,9, kn,0.47544053196907043,1.5,itted,itten,15.875,itted,,0.0016517090843990445,0.0,0.0,0
clothes,cut_source,10,itted,1.8550598621368408,0.125, textiles, textures,5.5, materials,,0.0005053031491115689,0.0,0.0,0
clothes,cut_source,11, textiles,1.0009536743164062,1.0,",", and,4.75,",",,0.0060890291351825,0.0,0.0,0
clothes,cut_source,12,",",2.5374960899353027,1.25, held, often,-12.78125, but,,0.01472937356447801,0.0,0.0,0
clothes,cut_source,13, held,1.0748605728149414,2.25, together, by,4.5625, together,,0.0010518695344217122,0.0,0.0,0
clothes,cut_source,14, together,0.9881103038787842,1.0, by, with,-1.0, with,,0.0011263341875746846,0.0,0.0,0
clothes,cut_source,15, by,4.090805530548096,1.0, metal, large,0.5, a,,0.0018763472326099873,0.0,0.0,0
clothes,cut_source,16, metal,2.1430249214172363,0.125, pins,pins,7.875, pins,,0.0010073180892504752,0.0,0.0,0
clothes,cut_source,17, pins,1.67243230342865,0.625,.,",",-0.875, or,,0.0012720394879579544,0.00016001006588339806,0.0,0
clothes,cut_source,18,.,2.6877999305725098,0.125, They, The,0.8125, They,,0.022655125299934298,0.006403667444828898,0.0,0
clothes,cut_source,19, They,2.6448488235473633,0.125, wore, were,-0.625, were,,0.006245748547371477,0.004613948694895953,0.0,0
clothes,cut_source,20, wore,3.391054630279541,0.6875, tun, simple,2.75, tun,,0.001918163092341274,0.004721656267065555,0.0,0
clothes,cut_source,21, tun,0.001003048848360777,9.375,ics,ks,17.375,ics,,0.0009547966183163226,0.0017060525133274496,0.0,0
clothes,cut_source,22,ics,1.7789483070373535,0.625, and, (,1.5,",",,0.0004665704327635467,0.00037211639573797584,0.0,0
clothes,cut_source,23, and,2.9033889770507812,0.5, clo, skirts,4.3125, clo,,0.0027394905337132514,0.0018410445773042738,0.0,0
clothes,cut_source,24, clo,0.007711497135460377,7.0,aks,ths,7.0,aks,,0.0041105697164312005,0.0028304739389568567,0.0,0
clothes,cut_source,25,aks,2.305799961090088,0.25,",", for,1.375,",",,0.002600709325633943,0.0016811819514259696,0.0,0
clothes,cut_source,26,",",2.582737445831299,0.625, with, and,-0.5, often,,0.019251416611950845,0.008927556220442057,0.0,0
clothes,cut_source,27, with,4.063807964324951,1.25, t, men,-3.4375, the,,0.0018044128082692623,0.002113050490152091,0.0,0
clothes,cut_source,28, t,0.2025325447320938,4.75,unic,ass,-4.75,ass,,0.0006435306277126074,0.0010779686854220927,0.0,0
clothes,cut_source,29,unic,4.1439924240112305,0.625, lengths, reaching,1.5625, designs,,0.004678852797951549,0.0029197557596489787,0.0,0
clothes,cut_source,30, lengths,2.5164480209350586,0.625, reaching, up,3.9375, varying,,0.002307084563653916,0.0023239879519678652,0.0,0
clothes,cut_source,31, reaching,1.9808967113494873,0.75, up, the,0.75, down,,0.0025879532331600785,0.0016451759147457778,0.0,0
clothes,cut_source,32, up,0.06048576161265373,6.875, to, the,7.875, to,,0.02056491922121495,0.015901541570201516,0.0,0
