condition,variant,step,layer,before_attention,after_attention,after_mlp
cooking_correct,full,79,0,-0.6775736808776855,-0.46146923303604126,-0.641651451587677
cooking_correct,full,79,1,-0.641651451587677,-2.86928129196167,-4.06357479095459
cooking_correct,full,79,2,-4.06357479095459,-1.4295276403427124,-2.100227117538452
cooking_correct,full,79,3,-2.100227117538452,-1.2839405536651611,-4.077924728393555
cooking_correct,full,79,4,-4.077924728393555,-4.916498184204102,-5.21966552734375
cooking_correct,full,79,5,-5.21966552734375,-4.471263408660889,-4.317530632019043
cooking_correct,full,79,6,-4.317530632019043,-2.4528493881225586,-3.638213634490967
cooking_correct,full,79,7,-3.638213634490967,-2.592437744140625,-1.8816940784454346
cooking_correct,full,79,8,-1.8816940784454346,-1.7136144638061523,-2.145754814147949
cooking_correct,full,79,9,-2.145754814147949,-2.5275449752807617,-1.1567294597625732
cooking_correct,full,79,10,-1.1567294597625732,-1.3366522789001465,-1.1481692790985107
cooking_correct,full,79,11,-1.1481692790985107,-0.006190896034240723,-1.5001254081726074
cooking_correct,full,79,12,-1.5001254081726074,-1.0184904336929321,-2.4229612350463867
cooking_correct,full,79,13,-2.4229612350463867,-0.8579316139221191,-2.183605670928955
cooking_correct,full,79,14,-2.183605670928955,-1.069857120513916,-1.6661131381988525
cooking_correct,full,79,15,-1.6661131381988525,-0.25563332438468933,-1.4218767881393433
cooking_correct,full,79,16,-1.4218767881393433,-1.3670117855072021,-1.0640006065368652
cooking_correct,full,79,17,-1.0640006065368652,-1.0839197635650635,-1.9010825157165527
cooking_correct,full,79,18,-1.9010825157165527,-1.0867712497711182,-1.4446747303009033
cooking_correct,full,79,19,-1.4446747303009033,-2.6609487533569336,-1.8403370380401611
cooking_correct,full,79,20,-1.8403370380401611,-1.17264986038208,-0.8747263550758362
cooking_correct,full,79,21,-0.8747263550758362,-2.1010146141052246,-5.533053398132324
cooking_correct,full,79,22,-5.533053398132324,-3.245211124420166,-3.414856433868408
cooking_correct,full,79,23,-3.414856433868408,-3.1262569427490234,-4.379451751708984
cooking_correct,full,79,24,-4.379451751708984,-3.575679063796997,-3.755645275115967
