condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
cooking_correct,full,79, the,0.21283990144729614,2.875, grate, grill,2.875, grate,,0.0,0.0,0.0,0
cooking_correct,full,80, grate,0.2967706322669983,3.375,".
", and,3.375,".
",,0.007150709512643516,0.00967722717905417,0.008342749904841185,0
cooking_correct,full,81,".
",0.09665918350219727,4.5,4,  ,4.5,4,,0.04017178888898343,0.04211922420654446,0.022521997743751854,0
cooking_correct,full,82,4,0.004104713909327984,8.625,.,a,8.625,.,,0.012648392526898533,0.02512628969270736,0.028802374668885022,0
cooking_correct,full,83,.,0.647052526473999,2.75, Cook, Remove,2.75, Cook,,0.005578527692705393,0.005812060902826488,0.00928893085801974,0
cooking_correct,full,84, Cook,0.016651242971420288,6.125, the, brat,6.125, the,,0.0034205846022814512,0.005872996000107378,0.01239661400904879,0
cooking_correct,full,85, the,0.005824298597872257,7.5, brat, br,7.5, brat,,0.0027750502922572196,0.007133568113204092,0.010888520919252187,0
cooking_correct,full,86, brat,1.5903187886578962e-05,14.5,w, on,14.5,w,,0.0122067611082457,0.013958391442429274,0.014406340022105724,0
cooking_correct,full,87,w,0.0001975450577447191,11.75,urst,ust,11.75,urst,,0.014705430425237864,0.01579465070972219,0.016097241372335702,0
cooking_correct,full,88,urst,0.0024307016283273697,8.5, on, for,8.5, on,,0.0031733839423395693,0.0028881063335575163,0.004743563360534608,0
cooking_correct,full,89, on,0.00205076951533556,8.75, the, pre,8.75, the,,0.004398941760882735,0.0028241085237823427,0.0028704286669380963,0
cooking_correct,full,90, the,0.10030670464038849,3.875, pre, grill,3.875, pre,,0.004180989868473262,0.003181292850058526,0.003204143315088004,0
cooking_correct,full,91, pre,9.158258035313338e-05,12.5,he,-he,12.5,he,,0.0178954740986228,0.026846747437957674,0.03606973571004346,0
cooking_correct,full,92,he,3.043823926418554e-05,13.375,ated,ATED,13.375,ated,,0.008837974979542196,0.015139827795792371,0.02702986163785681,0
cooking_correct,full,93,ated,1.829692700994201e-05,14.625, grill, gr,14.625, grill,,0.006175886373966932,0.004623043816536665,0.0038201409042812884,0
cooking_correct,full,94, grill,0.4205576777458191,1.75, for,",",1.75, for,,0.018654631217941642,0.017549846961628646,0.04078096552984789,0
cooking_correct,full,95, for,0.0002291303244419396,12.125, , either,12.125, ,,0.007202490174677223,0.009434737963601947,0.016655714716762304,0
cooking_correct,full,96, ,0.19292262196540833,3.0,10,5,3.0,10,,0.004883306100964546,0.011488151154480875,0.015380491793621331,0
cooking_correct,full,97,10,0.04950369894504547,4.75, to,-,4.75, to,,0.003776156227104366,0.004625263158231974,0.005813024647068232,0
cooking_correct,full,98, to,0.00047748340875841677,10.875, ,14,10.875, ,,0.011562039377167821,0.012208328815177083,0.014086312556173652,0
cooking_correct,full,99, ,0.013858720660209656,7.0,14,12,7.0,14,,0.0018720893422141671,0.002567375428043306,0.0028681705589406192,0
cooking_correct,full,100,14,9.530749230179936e-05,13.375, minutes, ,13.375, minutes,,0.006000477354973555,0.005400171561632305,0.004568722390104085,0
cooking_correct,full,101, minutes,0.007816457189619541,7.75,",", (,7.75,",",,0.014908084238413721,0.012811435910407454,0.006906497699674219,0
cooking_correct,full,102,",",0.013180172070860863,6.375, turning, or,6.375, turning,,0.007582060701679438,0.009369749168399721,0.005924977420363575,0
cooking_correct,full,103, turning,0.0019838495645672083,10.0, occasionally, them,10.0, occasionally,,0.001788450637832284,0.0028600753284990788,0.005472910939715803,0
cooking_correct,full,104, occasionally,0.04257670044898987,5.75, to,",",5.75, to,,0.0018718369537964463,0.0028303852886892855,0.0034283866407349706,0
cooking_correct,full,105, to,0.0009560325997881591,10.125, brown, ensure,10.125, brown,,0.005009056767448783,0.006269919511396438,0.00653268356109038,0
cooking_correct,full,106, brown,0.0028421131428331137,8.375, evenly, them,8.375, evenly,,0.006364717788528651,0.00720269960584119,0.005957309331279248,0
cooking_correct,full,107, evenly,0.9917882084846497,0.25,".
",".

",0.25,".
",,0.023968230525497347,0.02128549321787432,0.01219560788013041,0
cooking_correct,full,108,".
",0.4974980354309082,3.625,5,  ,3.625,5,,0.02212949114618823,0.0291972984559834,0.027699675410985947,0
cooking_correct,cut_source,79, the,0.6678200364112854,1.25, grate, grill,-2.75, gr,,0.0,0.0,0.0,0
cooking_correct,cut_source,80, grate,1.9646540880203247,0.0,".
", and,1.375, to,,0.002881416818127036,0.0032897074706852436,0.00163647549925372,0
cooking_correct,cut_source,81,".
",0.08307365328073502,5.375,4,  ,5.375,4,,0.033183942490722984,0.030757969710975885,0.01181494869524613,0
cooking_correct,cut_source,82,4,0.015511766076087952,8.5,.,a,10.25,.,,0.01965573796769604,0.03820238675689325,0.026343070494476706,0
cooking_correct,cut_source,83,.,1.6983816623687744,0.75, Cook, Remove,-4.375, Remove,,0.0038736096466891468,0.003939081449061632,0.004159678006544709,0
cooking_correct,cut_source,84, Cook,0.08082164824008942,5.0, the, brat,7.5, the,,0.002713763969950378,0.00734198815189302,0.012550170358736068,0
cooking_correct,cut_source,85, the,0.9094500541687012,0.125, brat, br,0.125, brat,,0.004495963046792895,0.017579445790033787,0.018970770703162998,0
cooking_correct,cut_source,86, brat,0.045340392738580704,5.875,w, on,6.25,w,,0.004697571916040033,0.005395499232690781,0.0075460560619831085,0
cooking_correct,cut_source,87,w,0.030735187232494354,5.625,urst,ust,5.625,urst,,0.008566652657464147,0.009463621536269784,0.008222444623243064,0
cooking_correct,cut_source,88,urst,0.8519553542137146,1.5, on, for,1.5, on,,0.0024543635081499815,0.002018213563133031,0.0026292583206668496,0
cooking_correct,cut_source,89, on,0.030374258756637573,6.0, the, pre,9.75, the,,0.004213698324747384,0.0019796566339209676,0.0012987657682970166,0
cooking_correct,cut_source,90, the,0.2249346375465393,2.875, pre, grill,-2.875, grill,,0.005371419596485794,0.002652204188052565,0.0013818364823237062,0
cooking_correct,cut_source,91, pre,0.0010061338543891907,9.375,he,-he,9.375,he,,0.004312241566367447,0.0049005786422640085,0.001939879497513175,0
cooking_correct,cut_source,92,he,0.001092521590180695,9.25,ated,ATED,13.75,ated,,0.012477353971917182,0.02090892771957442,0.039046154357492924,0
cooking_correct,cut_source,93,ated,0.0058662863448262215,8.25, grill, gr,8.25, grill,,0.001801818492822349,0.0009690792066976428,0.0007039050688035786,0
cooking_correct,cut_source,94, grill,0.7952673435211182,1.375, for,",",1.375, for,,0.009147089382167906,0.006620828644372523,0.008236401132307947,0
cooking_correct,cut_source,95, for,0.5944167375564575,1.375, , either,12.75, ,,0.00847795169102028,0.008583713788539171,0.014793927257414907,0
cooking_correct,cut_source,96, ,0.4960924983024597,2.875,10,5,-5.0,5,,0.0032094838097691536,0.004313854151405394,0.0091094383969903,0
cooking_correct,cut_source,97,10,0.642899751663208,1.0, to,-,1.0, to,,0.001370432146359235,0.0023008505231700838,0.0029390263371169567,0
cooking_correct,cut_source,98, to,0.03212717920541763,7.6875, ,14,9.5, ,,0.021041133382823318,0.027634207741357386,0.030433770618401468,0
cooking_correct,cut_source,99, ,0.759477436542511,0.125,14,12,-5.25,15,,0.001041694893501699,0.0013844851637259126,0.0012147781671956182,0
cooking_correct,cut_source,100,14,0.015567012131214142,7.875, minutes, ,7.875, minutes,,0.005146129929926246,0.004660638223867863,0.003527662716805935,0
cooking_correct,cut_source,101, minutes,1.0746742486953735,1.75,",", (,7.625,",",,0.014843998069409281,0.008812530431896448,0.003762077132705599,0
cooking_correct,cut_source,102,",",0.9075865745544434,1.125, turning, or,1.125, turning,,0.008032421232201159,0.00902504863915965,0.005682253104168922,0
cooking_correct,cut_source,103, turning,1.229797124862671,0.125, occasionally, them,2.125, occasionally,,0.0016009877435863018,0.0017146660247817636,0.0018440325511619449,0
cooking_correct,cut_source,104, occasionally,1.4646052122116089,0.25, to,",",-4.125,",",,0.0018371747573837638,0.0032753999694250524,0.0032333325943909585,0
cooking_correct,cut_source,105, to,1.9784362316131592,0.125, brown, ensure,-1.125, prevent,,0.004829148878343403,0.005532477633096278,0.003000832046382129,0
cooking_correct,cut_source,106, brown,1.8018320798873901,0.875, evenly, them,2.625, evenly,,0.006607336341403425,0.007613632711581886,0.005449346906971186,0
