condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
object0_world0,full,0,"

",2.497697353363037,0.0,10,20,2.1875,To,0,0.0,0.0,0.0,0
object0_world0,full,1,I,1.725679636001587,0.875,10,20,-0.21875, don,0,0.0,0.0,0.0,0
object0_world0,full,2, will,3.648002862930298,0.625,10,20,0.83203125, keep,0,0.0,0.0,0.0,0
object0_world0,full,3, use,1.611598014831543,1.625,10,20,0.578125, the,0,0.0027280322392471135,0.0027280322392471135,0.0027280322392471135,0
object0_world0,full,4, the,2.6273036003112793,0.5,10,20,0.96875, given,0,0.006289653189014643,0.006289653189014643,0.006289653189014643,0
object0_world0,full,5, stated,0.13998350501060486,4.75,10,20,1.03125, facts,0,0.0016054286388680339,0.0016054286388680339,0.0016054286388680339,0
object0_world0,full,6, facts,0.8710007667541504,2.625,10,20,0.7734375, to,0,0.002514617925044149,0.002514617925044149,0.002514617925044149,0
object0_world0,full,7, to,2.5897655487060547,0.25,10,20,1.173828125, complete,0,0.0031930545810610056,0.0031930545810610056,0.0031930545810610056,0
object0_world0,full,8, identify,1.2711132764816284,2.375,10,20,0.4375, the,0,0.0062068040133453906,0.0062068040133453906,0.0062068040133453906,0
object0_world0,full,9, the,2.591620683670044,0.375,10,20,0.5078125, object,0,0.016307129932101816,0.019085196137893945,0.019085196137893945,0
object0_world0,full,10, required,0.5670822262763977,2.875,10,20,0.6640625, cooking,0,0.0058731926255859435,0.006737157003954053,0.006737157003954053,0
object0_world0,full,11, value,2.2160000801086426,0.0,10,20,0.28125,.,0,0.0030918859993107617,0.003007213876117021,0.003007213876117021,0
object0_world0,full,12,".
",3.432990312576294,0.0,10,20,2.5625,The,0,0.01088475319556892,0.005448659649118781,0.005448659649118781,0
object0_world0,full,13,The,3.4890735149383545,0.125,10,20,0.6171875, object,0,0.008530206978321075,0.013631721725687385,0.013631721725687385,0
object0_world0,full,14, onions,1.0056357383728027,2.875,10,20,0.751953125, must,0,0.01776337594492361,0.029594693100079894,0.029594693100079894,0
object0_world0,full,15, must,0.040853772312402725,5.75,10,20,1.6650390625, cook,0,0.002695223200134933,0.0032945615239441395,0.0032945615239441395,0
object0_world0,full,16, cook,0.08094185590744019,6.3125,10,20,2.4765625, for,0,0.010951681062579155,0.01887278165668249,0.01887278165668249,0
object0_world0,full,17, for,0.23972225189208984,4.625,10,20,7.640625, ,0,0.0026917445356957614,0.0019697538227774203,0.0018298084614798427,0
object0_world0,full,18, ,0.14225226640701294,4.5,10,20,11.6875,10,0,0.01615590212168172,0.01921282830880955,0.01954874093644321,1
object0_world0,cut_required,0,"

",2.374661922454834,0.0,10,20,1.0625,Based,0,0.0,0.0,0.0,0
object0_world0,cut_required,1,I,1.7099908590316772,1.0,10,20,-0.109375, don,0,0.0,0.0,0.0,0
object0_world0,cut_required,2, will,3.620256185531616,0.5,10,20,0.7890625, keep,0,0.0,0.0,0.0,0
object0_world0,cut_required,3, use,1.500853180885315,1.75,10,20,-0.046875, the,0,0.002076076634693891,0.002076076634693891,0.002076076634693891,0
object0_world0,cut_required,4, the,2.3340048789978027,1.0,10,20,1.203125, given,0,0.004448854713700712,0.004448854713700712,0.004448854713700712,0
object0_world0,cut_required,5, stated,0.10420220345258713,4.875,10,20,1.078125, facts,0,0.001267137296963483,0.001267137296963483,0.001267137296963483,0
object0_world0,cut_required,6, facts,0.8063132762908936,2.875,10,20,0.83984375, to,0,0.0024249577545560896,0.0024249577545560896,0.0024249577545560896,0
object0_world0,cut_required,7, to,2.66139554977417,0.125,10,20,1.162109375, complete,0,0.0023355003213509917,0.0023355003213509917,0.0023355003213509917,0
object0_world0,cut_required,8, identify,1.4235243797302246,2.25,10,20,0.421875, the,0,0.00510573189239949,0.00510573189239949,0.00510573189239949,0
object0_world0,cut_required,9, the,2.056053876876831,0.5,10,20,1.0, object,0,0.011578466277569532,0.013809938274789602,0.013809938274789602,0
object0_world0,cut_required,10, required,2.531609535217285,0.25,10,20,0.328125, objects,0,0.001554464630316943,0.0014435519115068018,0.0014435519115068018,0
object0_world0,cut_required,11, value,2.3964498043060303,1.0,10,20,-0.0625,.,0,0.004341458028648049,0.005215360492002219,0.005215360492002219,0
object0_world0,cut_required,12,".
",3.3019561767578125,0.0,10,20,0.34375,However,0,0.00960916606709361,0.0037594582536257803,0.0037594582536257803,0
object0_world0,cut_required,13,The,3.5484888553619385,0.875,10,20,1.2890625, object,0,0.006658546451944858,0.010225327510852367,0.010225327510852367,0
object0_world0,cut_required,14, onions,3.190919876098633,0.25,10,20,0.4765625, are,0,0.0174715289613232,0.029638570442330092,0.029638570442330092,0
object0_world0,cut_required,15, must,1.1691148281097412,1.125,10,20,0.3896484375, cook,0,0.0016107575502246618,0.0023319752071984112,0.0023319752071984112,0
object0_world0,cut_required,16, cook,0.7764415740966797,3.9375,10,20,1.27734375, for,0,0.008941667911130935,0.01640079211210832,0.01640079211210832,0
object0_world0,cut_required,17, for,2.1940348148345947,1.25,10,20,0.0, ,0,0.003812389331869781,0.0018568330560810864,0.0017398505005985498,0
object0_world0,cut_required,18, ,3.0317821502685547,0.125,10,20,0.125,10,0,0.007522612519096583,0.012215779686812311,0.012743406638037413,1
object0_world0,cut_competitor,0,"

",2.6851694583892822,0.25,10,20,2.9375,The,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,1,I,1.6286906003952026,0.75,10,20,-0.015625, don,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,2, will,3.6409997940063477,0.625,10,20,0.9609375, keep,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,3, use,1.5061354637145996,1.25,10,20,0.65625, the,0,0.0022710212506353855,0.0022710212506353855,0.0022710212506353855,0
object0_world0,cut_competitor,4, the,2.304934501647949,0.625,10,20,0.859375, given,0,0.004230745194945484,0.004230745194945484,0.004230745194945484,0
object0_world0,cut_competitor,5, stated,0.1380660980939865,4.5,10,20,0.859375, facts,0,0.0014061666443012655,0.0014061666443012655,0.0014061666443012655,0
object0_world0,cut_competitor,6, facts,0.9928083419799805,2.5,10,20,0.84765625, to,0,0.0016256068483926356,0.0016256068483926356,0.0016256068483926356,0
