condition,variant,step,layer,before_attention,after_attention,after_mlp
cooking_wrong,full,102,0,1.6622848510742188,-0.4481241703033447,-1.3285008668899536
cooking_wrong,full,102,1,-1.3285008668899536,-0.6846272349357605,-1.5586764812469482
cooking_wrong,full,102,2,-1.5586764812469482,-1.2587932348251343,-2.3831980228424072
cooking_wrong,full,102,3,-2.3831980228424072,-2.887695789337158,-1.2077795267105103
cooking_wrong,full,102,4,-1.2077795267105103,-1.657850742340088,-1.9542737007141113
cooking_wrong,full,102,5,-1.9542737007141113,-1.3182729482650757,-2.110652446746826
cooking_wrong,full,102,6,-2.110652446746826,-0.3461141586303711,-1.6027276515960693
cooking_wrong,full,102,7,-1.6027276515960693,-0.8926271200180054,0.5245963335037231
cooking_wrong,full,102,8,0.5245963335037231,0.7770898342132568,-0.37178757786750793
cooking_wrong,full,102,9,-0.37178757786750793,0.17427711188793182,1.3815736770629883
cooking_wrong,full,102,10,1.3815736770629883,1.2988941669464111,0.6118004322052002
cooking_wrong,full,102,11,0.6118004322052002,1.4137330055236816,0.6987040042877197
cooking_wrong,full,102,12,0.6987040042877197,-1.5629560947418213,-5.3758745193481445
cooking_wrong,full,102,13,-5.3758745193481445,-1.8556485176086426,-4.543075084686279
cooking_wrong,full,102,14,-4.543075084686279,-3.629995584487915,-6.321081161499023
cooking_wrong,full,102,15,-6.321081161499023,-2.8841404914855957,-4.504416465759277
cooking_wrong,full,102,16,-4.504416465759277,-7.2962799072265625,-5.642597198486328
cooking_wrong,full,102,17,-5.642597198486328,-2.8988027572631836,-4.694835186004639
cooking_wrong,full,102,18,-4.694835186004639,-3.9064278602600098,-2.740996837615967
cooking_wrong,full,102,19,-2.740996837615967,-2.0778093338012695,-2.4419522285461426
cooking_wrong,full,102,20,-2.4419522285461426,-1.4156289100646973,-1.4717469215393066
cooking_wrong,full,102,21,-1.4717469215393066,1.5699446201324463,0.6733580827713013
cooking_wrong,full,102,22,0.6733580827713013,0.633073627948761,0.7501926422119141
cooking_wrong,full,102,23,0.7501926422119141,-0.08217144012451172,0.8015376329421997
cooking_wrong,full,102,24,0.8015376329421997,10.53270435333252,9.582320213317871
cooking_wrong,full,102,25,9.582320213317871,13.650959014892578,13.54863166809082
cooking_wrong,full,102,26,13.54863166809082,12.84792423248291,9.745323181152344
cooking_wrong,full,102,27,9.745323181152344,9.565771102905273,10.098525047302246
cooking_wrong,full,102,28,10.098525047302246,10.85885238647461,11.429264068603516
cooking_wrong,full,102,29,11.429264068603516,10.596258163452148,10.348928451538086
cooking_wrong,full,102,30,10.348928451538086,8.251233100891113,9.270681381225586
cooking_wrong,full,102,31,9.270681381225586,6.909144401550293,6.367995738983154
cooking_wrong,full,103,0,-0.019756793975830078,-1.424114465713501,0.16089844703674316
cooking_wrong,full,103,1,0.16089844703674316,0.06120467185974121,0.7071132659912109
cooking_wrong,full,103,2,0.7071132659912109,0.7661213874816895,-0.10875654220581055
cooking_wrong,full,103,3,-0.10875654220581055,1.1399309635162354,-0.4448312520980835
cooking_wrong,full,103,4,-0.4448312520980835,-1.1160168647766113,-2.70367431640625
cooking_wrong,full,103,5,-2.70367431640625,-3.7909910678863525,-0.8164780139923096
cooking_wrong,full,103,6,-0.8164780139923096,-1.901847004890442,-4.1927490234375
cooking_wrong,full,103,7,-4.1927490234375,-3.568099021911621,-1.4809274673461914
cooking_wrong,full,103,8,-1.4809274673461914,-3.1030631065368652,-3.0844831466674805
cooking_wrong,full,103,9,-3.0844831466674805,-3.6373300552368164,-4.217763900756836
cooking_wrong,full,103,10,-4.217763900756836,-4.096920967102051,-4.142605304718018
cooking_wrong,full,103,11,-4.142605304718018,-3.1207385063171387,-2.5744969844818115
cooking_wrong,full,103,12,-2.5744969844818115,-3.444685459136963,-1.1533595323562622
cooking_wrong,full,103,13,-1.1533595323562622,-0.9677338600158691,-0.7463245391845703
cooking_wrong,full,103,14,-0.7463245391845703,-1.802507996559143,-0.45351266860961914
cooking_wrong,full,103,15,-0.45351266860961914,-0.5062909126281738,0.06510993838310242
cooking_wrong,full,103,16,0.06510993838310242,-0.6097413897514343,-1.7144882678985596
cooking_wrong,full,103,17,-1.7144882678985596,-0.8287132978439331,-0.21941006183624268
cooking_wrong,full,103,18,-0.21941006183624268,-2.2065603733062744,-1.6452758312225342
cooking_wrong,full,103,19,-1.6452758312225342,-0.9534853100776672,-1.289597988128662
cooking_wrong,full,103,20,-1.289597988128662,0.7822067737579346,2.949286937713623
cooking_wrong,full,103,21,2.949286937713623,4.675633907318115,2.938786029815674
cooking_wrong,full,103,22,2.938786029815674,7.549232482910156,6.366772651672363
cooking_wrong,full,103,23,6.366772651672363,9.05539321899414,8.548564910888672
cooking_wrong,full,103,24,8.548564910888672,8.35403823852539,6.804703235626221
cooking_wrong,full,103,25,6.804703235626221,7.258883476257324,6.493888854980469
cooking_wrong,full,103,26,6.493888854980469,7.190506935119629,6.245878219604492
cooking_wrong,full,103,27,6.245878219604492,6.718723297119141,5.659814834594727
cooking_wrong,full,103,28,5.659814834594727,5.286216735839844,3.6961331367492676
cooking_wrong,full,103,29,3.6961331367492676,3.6394858360290527,3.5844478607177734
cooking_wrong,full,103,30,3.5844478607177734,6.08718204498291,3.5954842567443848
cooking_wrong,full,103,31,3.5954842567443848,3.6276438236236572,9.965559005737305
cooking_wrong,full,104,0,0.5355148315429688,0.42996644973754883,-0.4592783451080322
cooking_wrong,full,104,1,-0.4592783451080322,0.0488123893737793,1.7955360412597656
cooking_wrong,full,104,2,1.7955360412597656,2.81524658203125,2.7566280364990234
cooking_wrong,full,104,3,2.7566280364990234,3.767873525619507,1.8378806114196777
cooking_wrong,full,104,4,1.8378806114196777,2.1717076301574707,3.171320676803589
cooking_wrong,full,104,5,3.171320676803589,2.304924488067627,3.589573621749878
cooking_wrong,full,104,6,3.589573621749878,3.386335849761963,2.3277902603149414
cooking_wrong,full,104,7,2.3277902603149414,2.8471310138702393,1.3504323959350586
cooking_wrong,full,104,8,1.3504323959350586,1.7976007461547852,0.3943164348602295
cooking_wrong,full,104,9,0.3943164348602295,0.3771911859512329,0.5332764387130737
cooking_wrong,full,104,10,0.5332764387130737,0.9186197519302368,0.6637976169586182
cooking_wrong,full,104,11,0.6637976169586182,1.210209608078003,2.939551830291748
cooking_wrong,full,104,12,2.939551830291748,1.6282583475112915,0.7437136173248291
cooking_wrong,full,104,13,0.7437136173248291,1.2496562004089355,1.2804720401763916
cooking_wrong,full,104,14,1.2804720401763916,1.0771206617355347,2.0218818187713623
cooking_wrong,full,104,15,2.0218818187713623,5.6603546142578125,5.087080955505371
cooking_wrong,full,104,16,5.087080955505371,8.090973854064941,7.763706207275391
cooking_wrong,full,104,17,7.763706207275391,8.004563331604004,8.889518737792969
cooking_wrong,full,104,18,8.889518737792969,9.189964294433594,9.989316940307617
cooking_wrong,full,104,19,9.989316940307617,10.793158531188965,11.311331748962402
cooking_wrong,full,104,20,11.311331748962402,16.31641387939453,14.524614334106445
cooking_wrong,full,104,21,14.524614334106445,13.089953422546387,12.680767059326172
cooking_wrong,full,104,22,12.680767059326172,12.416534423828125,11.849519729614258
cooking_wrong,full,104,23,11.849519729614258,12.594270706176758,14.352151870727539
cooking_wrong,full,104,24,14.352151870727539,13.9902982711792,16.272056579589844
cooking_wrong,full,104,25,16.272056579589844,15.79262638092041,14.718189239501953
cooking_wrong,full,104,26,14.718189239501953,15.911199569702148,17.619144439697266
cooking_wrong,full,104,27,17.619144439697266,16.48540496826172,15.298540115356445
cooking_wrong,full,104,28,15.298540115356445,14.205253601074219,13.964818000793457
cooking_wrong,full,104,29,13.964818000793457,12.799985885620117,15.723155975341797
cooking_wrong,full,104,30,15.723155975341797,13.221248626708984,11.68386459350586
cooking_wrong,full,104,31,11.68386459350586,7.504305362701416,5.714864730834961
cooking_wrong,full,105,0,-1.5777040719985962,1.1064376831054688,-0.6907088756561279
cooking_wrong,full,105,1,-0.6907088756561279,2.9504284858703613,0.5707290172576904
cooking_wrong,full,105,2,0.5707290172576904,-0.7442522048950195,-0.33120429515838623
cooking_wrong,full,105,3,-0.33120429515838623,0.8685535192489624,1.9088836908340454
cooking_wrong,full,105,4,1.9088836908340454,0.4514007568359375,-1.2692371606826782
cooking_wrong,full,105,5,-1.2692371606826782,-0.5227272510528564,-0.42449963092803955
cooking_wrong,full,105,6,-0.42449963092803955,-1.596247673034668,0.36092275381088257
cooking_wrong,full,105,7,0.36092275381088257,-1.0194543600082397,-1.9857263565063477
cooking_wrong,full,105,8,-1.9857263565063477,-1.9425023794174194,-3.142895460128784
cooking_wrong,full,105,9,-3.142895460128784,0.6295871734619141,-1.1200642585754395
cooking_wrong,full,105,10,-1.1200642585754395,-0.6145698428153992,-0.2751648426055908
cooking_wrong,full,105,11,-0.2751648426055908,0.1359654664993286,-0.41167163848876953
cooking_wrong,full,105,12,-0.41167163848876953,-1.472570776939392,-0.5143411159515381
cooking_wrong,full,105,13,-0.5143411159515381,-1.6475828886032104,-1.2670204639434814
cooking_wrong,full,105,14,-1.2670204639434814,-2.0627517700195312,-1.4689385890960693
cooking_wrong,full,105,15,-1.4689385890960693,-1.6747031211853027,-1.54780912399292
cooking_wrong,full,105,16,-1.54780912399292,-2.157266139984131,-0.7126597166061401
cooking_wrong,full,105,17,-0.7126597166061401,-2.8211305141448975,-1.136169195175171
cooking_wrong,full,105,18,-1.136169195175171,-1.0773555040359497,-0.9493100047111511
cooking_wrong,full,105,19,-0.9493100047111511,-0.9540379047393799,0.35111260414123535
cooking_wrong,full,105,20,0.35111260414123535,0.4419606328010559,0.5969535112380981
cooking_wrong,full,105,21,0.5969535112380981,2.5558910369873047,1.1126179695129395
cooking_wrong,full,105,22,1.1126179695129395,1.4148283004760742,1.5761698484420776
cooking_wrong,full,105,23,1.5761698484420776,3.4419987201690674,4.834199905395508
cooking_wrong,full,105,24,4.834199905395508,12.966117858886719,13.92120361328125
cooking_wrong,full,105,25,13.92120361328125,13.360160827636719,12.873544692993164
cooking_wrong,full,105,26,12.873544692993164,12.09022331237793,11.426126480102539
cooking_wrong,full,105,27,11.426126480102539,13.619787216186523,14.943196296691895
cooking_wrong,full,105,28,14.943196296691895,13.338468551635742,12.830144882202148
cooking_wrong,full,105,29,12.830144882202148,13.635632514953613,14.699125289916992
cooking_wrong,full,105,30,14.699125289916992,16.78778076171875,15.146903991699219
cooking_wrong,full,105,31,15.146903991699219,12.785425186157227,10.172979354858398
cooking_wrong,full,106,0,3.5275275707244873,-1.269794225692749,0.1653451919555664
cooking_wrong,full,106,1,0.1653451919555664,-0.9265363216400146,0.733443021774292
cooking_wrong,full,106,2,0.733443021774292,0.016439199447631836,-0.5920058488845825
cooking_wrong,full,106,3,-0.5920058488845825,-0.22222065925598145,-0.2901647090911865
cooking_wrong,full,106,4,-0.2901647090911865,-0.6911010146141052,0.2972677946090698
cooking_wrong,full,106,5,0.2972677946090698,1.1541703939437866,-1.9727044105529785
cooking_wrong,full,106,6,-1.9727044105529785,-2.174896717071533,-0.0814095139503479
cooking_wrong,full,106,7,-0.0814095139503479,-0.4257259964942932,0.19753077626228333
cooking_wrong,full,106,8,0.19753077626228333,-0.22534330189228058,-1.9562337398529053
cooking_wrong,full,106,9,-1.9562337398529053,0.35346749424934387,-0.4891554117202759
cooking_wrong,full,106,10,-0.4891554117202759,-1.529299259185791,-2.5143914222717285
cooking_wrong,full,106,11,-2.5143914222717285,-1.7311937808990479,-0.5387901067733765
cooking_wrong,full,106,12,-0.5387901067733765,-0.5947576761245728,1.498788595199585
cooking_wrong,full,106,13,1.498788595199585,0.547402560710907,2.178983688354492
cooking_wrong,full,106,14,2.178983688354492,1.5479881763458252,1.038257360458374
cooking_wrong,full,106,15,1.038257360458374,2.4692203998565674,3.1776282787323
cooking_wrong,full,106,16,3.1776282787323,2.4060311317443848,2.4077646732330322
cooking_wrong,full,106,17,2.4077646732330322,3.4901208877563477,4.068957328796387
cooking_wrong,full,106,18,4.068957328796387,0.4114164113998413,0.5707437992095947
cooking_wrong,full,106,19,0.5707437992095947,1.297529935836792,0.7989447116851807
cooking_wrong,full,106,20,0.7989447116851807,1.656969428062439,1.2017924785614014
cooking_wrong,full,106,21,1.2017924785614014,-0.6631342172622681,-1.2184648513793945
cooking_wrong,full,106,22,-1.2184648513793945,1.654049277305603,3.0088448524475098
cooking_wrong,full,106,23,3.0088448524475098,5.310276031494141,4.1247453689575195
cooking_wrong,full,106,24,4.1247453689575195,4.6688618659973145,3.1227879524230957
cooking_wrong,full,106,25,3.1227879524230957,5.703413963317871,1.3450887203216553
cooking_wrong,full,106,26,1.3450887203216553,1.2214186191558838,1.8192955255508423
cooking_wrong,full,106,27,1.8192955255508423,3.8236899375915527,3.9151055812835693
cooking_wrong,full,106,28,3.9151055812835693,3.396007537841797,1.7824063301086426
cooking_wrong,full,106,29,1.7824063301086426,1.5395148992538452,1.8163331747055054
cooking_wrong,full,106,30,1.8163331747055054,1.90999174118042,2.825218677520752
cooking_wrong,full,106,31,2.825218677520752,2.119450569152832,8.389989852905273
cooking_wrong,full,107,0,-1.7380225658416748,-1.2593823671340942,-1.4276127815246582
cooking_wrong,full,107,1,-1.4276127815246582,-1.1446049213409424,-2.4293949604034424
cooking_wrong,full,107,2,-2.4293949604034424,-2.3657987117767334,-2.257925510406494
cooking_wrong,full,107,3,-2.257925510406494,-2.6837401390075684,-1.4113924503326416
cooking_wrong,full,107,4,-1.4113924503326416,-2.8439173698425293,-1.9906762838363647
cooking_wrong,full,107,5,-1.9906762838363647,-2.7448058128356934,-0.9092397689819336
cooking_wrong,full,107,6,-0.9092397689819336,-1.2526707649230957,-0.2802697420120239
cooking_wrong,full,107,7,-0.2802697420120239,-1.811490535736084,-0.22496110200881958
cooking_wrong,full,107,8,-0.22496110200881958,-0.8487294316291809,0.35708945989608765
cooking_wrong,full,107,9,0.35708945989608765,-0.5711784362792969,-1.1610207557678223
cooking_wrong,full,107,10,-1.1610207557678223,-2.0617587566375732,-2.2320945262908936
cooking_wrong,full,107,11,-2.2320945262908936,-2.0940933227539062,-2.466721773147583
cooking_wrong,full,107,12,-2.466721773147583,-2.284395694732666,-2.1970419883728027
cooking_wrong,full,107,13,-2.1970419883728027,-2.3451099395751953,-1.5597960948944092
cooking_wrong,full,107,14,-1.5597960948944092,-0.9331769943237305,-0.9359688758850098
cooking_wrong,full,107,15,-0.9359688758850098,-0.4169940948486328,-0.21102941036224365
cooking_wrong,full,107,16,-0.21102941036224365,0.03914785385131836,0.2742255926132202
cooking_wrong,full,107,17,0.2742255926132202,-0.10245883464813232,0.3397303819656372
cooking_wrong,full,107,18,0.3397303819656372,0.1217430830001831,-0.025903940200805664
cooking_wrong,full,107,19,-0.025903940200805664,2.1952836513519287,2.51005482673645
cooking_wrong,full,107,20,2.51005482673645,2.4115898609161377,2.7927744388580322
cooking_wrong,full,107,21,2.7927744388580322,2.281677007675171,2.5030081272125244
cooking_wrong,full,107,22,2.5030081272125244,3.139119863510132,2.771843671798706
cooking_wrong,full,107,23,2.771843671798706,2.495835781097412,2.0680670738220215
cooking_wrong,full,107,24,2.0680670738220215,1.173592209815979,0.7071889638900757
cooking_wrong,full,107,25,0.7071889638900757,-0.22741198539733887,-0.03960585594177246
cooking_wrong,full,107,26,-0.03960585594177246,-1.2189193964004517,-1.7679462432861328
cooking_wrong,full,107,27,-1.7679462432861328,-1.4206011295318604,-0.864586353302002
cooking_wrong,full,107,28,-0.864586353302002,-0.49404895305633545,-0.17981183528900146
cooking_wrong,full,107,29,-0.17981183528900146,-0.9243325591087341,-1.249173879623413
cooking_wrong,full,107,30,-1.249173879623413,-1.5089772939682007,-0.6366497278213501
cooking_wrong,full,107,31,-0.6366497278213501,1.7006889581680298,0.2548498213291168
cooking_wrong,full,108,0,-1.4215459823608398,0.03604452311992645,-1.8040201663970947
cooking_wrong,full,108,1,-1.8040201663970947,-3.002776861190796,-1.7587743997573853
cooking_wrong,full,108,2,-1.7587743997573853,-2.905154228210449,-2.023531913757324
cooking_wrong,full,108,3,-2.023531913757324,-3.7981679439544678,-3.887770652770996
cooking_wrong,full,108,4,-3.887770652770996,-5.186846733093262,-5.255508899688721
cooking_wrong,full,108,5,-5.255508899688721,-3.170341730117798,-3.124297618865967
cooking_wrong,full,108,6,-3.124297618865967,-4.035189628601074,-2.241572856903076
cooking_wrong,full,108,7,-2.241572856903076,-3.546860694885254,-3.9249634742736816
cooking_wrong,full,108,8,-3.9249634742736816,-3.851287603378296,-3.1154747009277344
cooking_wrong,full,108,9,-3.1154747009277344,-4.372868537902832,-2.775618076324463
cooking_wrong,full,108,10,-2.775618076324463,-4.735123634338379,-2.2931699752807617
cooking_wrong,full,108,11,-2.2931699752807617,-4.064085960388184,-4.157430171966553
cooking_wrong,full,108,12,-4.157430171966553,-4.6750311851501465,-4.044221878051758
cooking_wrong,full,108,13,-4.044221878051758,-4.475408554077148,-2.6958816051483154
cooking_wrong,full,108,14,-2.6958816051483154,-1.9902058839797974,-3.513705015182495
cooking_wrong,full,108,15,-3.513705015182495,-3.491835117340088,-2.2168118953704834
cooking_wrong,full,108,16,-2.2168118953704834,-0.6385548114776611,-1.2704966068267822
cooking_wrong,full,108,17,-1.2704966068267822,-1.0863806009292603,-3.4644265174865723
cooking_wrong,full,108,18,-3.4644265174865723,-2.559965133666992,-2.1682515144348145
cooking_wrong,full,108,19,-2.1682515144348145,-1.5520241260528564,-1.1438528299331665
cooking_wrong,full,108,20,-1.1438528299331665,0.10610511898994446,2.2366621494293213
cooking_wrong,full,108,21,2.2366621494293213,1.0530197620391846,-0.13807588815689087
cooking_wrong,full,108,22,-0.13807588815689087,1.5818992853164673,1.9505349397659302
cooking_wrong,full,108,23,1.9505349397659302,1.5373492240905762,1.1399362087249756
cooking_wrong,full,108,24,1.1399362087249756,0.9459517002105713,3.3144307136535645
cooking_wrong,full,108,25,3.3144307136535645,3.337333917617798,3.934223175048828
cooking_wrong,full,108,26,3.934223175048828,3.3180198669433594,4.469513893127441
cooking_wrong,full,108,27,4.469513893127441,4.722818374633789,4.448307037353516
cooking_wrong,full,108,28,4.448307037353516,8.970977783203125,10.402860641479492
cooking_wrong,full,108,29,10.402860641479492,10.870748519897461,13.780964851379395
cooking_wrong,full,108,30,13.780964851379395,8.614041328430176,7.174432754516602
cooking_wrong,full,108,31,7.174432754516602,6.613830089569092,3.596238374710083
cooking_wrong,full,109,0,2.3581597805023193,1.0655245780944824,2.7688350677490234
