condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
cooking_wrong,full,102,",",0.013180172070860863,6.375, turning, or,6.375, turning,,0.0,0.0,0.0,0
cooking_wrong,full,103, turning,0.0019838495645672083,10.0, occasionally, them,10.0, occasionally,,0.001788450637832284,0.0028600753284990788,0.005472910939715803,0
cooking_wrong,full,104, occasionally,0.04257670044898987,5.75, to,",",5.75, to,,0.0018718369537964463,0.0028303852886892855,0.0034283866407349706,0
cooking_wrong,full,105, to,0.0009560325997881591,10.125, brown, ensure,10.125, brown,,0.005009056767448783,0.006269919511396438,0.00653268356109038,0
cooking_wrong,full,106, brown,0.0028421131428331137,8.375, evenly, them,8.375, evenly,,0.006364717788528651,0.00720269960584119,0.005957309331279248,0
cooking_wrong,full,107, evenly,0.9917882084846497,0.25,".
",".

",0.25,".
",,0.023968230525497347,0.02128549321787432,0.01219560788013041,0
cooking_wrong,full,108,".
",0.4974980354309082,3.625,5,  ,3.625,5,,0.02212949114618823,0.0291972984559834,0.027699675410985947,0
cooking_wrong,full,109,5,0.013521108776330948,7.25,., (,7.25,.,,0.0013465387164615095,0.003421344328671694,0.009171444573439658,0
cooking_wrong,full,110,.,1.8170170783996582,1.375, Remove, Alternatively,-1.375, Alternatively,,0.006025399023201317,0.006318282976280898,0.006982718768995255,0
cooking_wrong,full,111, Remove,0.006514528300613165,8.0, the, and,8.0, the,,0.004370453068986535,0.0057772829895839095,0.008632180630229414,0
cooking_wrong,full,112, the,0.02060130424797535,6.375, brat, cooked,6.375, brat,,0.00227550690760836,0.0034542708308435977,0.003787585475947708,0
cooking_wrong,full,113, brat,0.0002151954104192555,11.0,w, from,11.0,w,,0.01404626719886437,0.01424490031786263,0.015297405829187483,0
cooking_wrong,full,114,w,6.0053054767195135e-05,12.75,urst,urt,12.75,urst,,0.007202322478406131,0.00813074951292947,0.00855084543582052,0
cooking_wrong,full,115,urst,0.14048978686332703,3.875, from, and,3.875, from,,0.0029924854752607644,0.0025928302202373743,0.0031887689256109297,0
cooking_wrong,full,116, from,0.05733130872249603,4.75, the, heat,4.75, the,,0.008429474662989378,0.009714612388052046,0.012817111564800143,0
cooking_wrong,full,117, the,1.0088649988174438,1.25, grill, beer,1.25, grill,,0.006868447409942746,0.007736452273093164,0.007057246461044997,0
cooking_wrong,full,118, grill,0.7558766603469849,1.875, and,",",1.875, and,,0.010844796895980835,0.005726921663153917,0.006145289866253734,0
cooking_wrong,full,119, and,1.6178418397903442,0.75, cook, serve,-0.75, serve,,0.01316211512312293,0.013431894010864198,0.019076773955021054,0
cooking_wrong,full,120, cook,0.19518283009529114,4.875, the, in,4.875, the,,0.004329622664954513,0.009664387675002217,0.00983605842338875,0
cooking_wrong,full,121, the,0.18247410655021667,3.625, onions, beer,3.625, onions,,0.007029070286080241,0.009621772333048284,0.011489288997836411,0
cooking_wrong,full,122, onions,0.2003062665462494,4.75, in, separately,4.75, in,,0.009062799566891044,0.012271337152924389,0.0118254404515028,0
cooking_wrong,full,123, in,0.0651608407497406,5.375, the, a,5.5, the,,0.003583053359761834,0.004914242017548531,0.00568617443786934,0
cooking_wrong,full,124, the,1.101407527923584,1.25, beer, remaining,1.25, beer,,0.0036765062832273543,0.004835860570892692,0.004295074148103595,0
cooking_wrong,full,125, beer,0.05661817267537117,6.125, mixture, for,6.125, mixture,,0.010096530138980597,0.014901199319865555,0.016491385467816144,0
cooking_wrong,full,126, mixture,1.7360188961029053,0.25, for, on,-0.25, on,,0.006995463219936937,0.006172199093271047,0.0036808153963647783,0
cooking_wrong,full,127, for,1.2706537246704102,0.0, , an,0.0, ,,0.01802134868921712,0.018152588105294853,0.012047333235386759,0
cooking_wrong,full,128, ,0.4993375539779663,1.625,10,1,1.625,10,,0.005140133551321924,0.009223155037034303,0.011216467071790248,0
cooking_wrong,full,129,10,0.12138248980045319,3.625, to,-,3.625, to,,0.006189021572936326,0.006531681283377111,0.0037606352707371116,0
cooking_wrong,full,130, to,0.0013835264835506678,9.125, ,12,9.125, ,,0.02469077444402501,0.025983603904023767,0.01832708000438288,0
cooking_wrong,full,131, ,0.028482327237725258,5.5,12, ,5.5,12,,0.003126135328784585,0.005214402510318905,0.006720642384607345,0
cooking_wrong,full,132,12,0.0514676533639431,4.875, minutes, more,4.875, minutes,,0.010886403091717511,0.009981020935811102,0.00889646849827841,0
cooking_wrong,full,133, minutes,1.9212348461151123,0.75,".

",",",-1.375,",",,0.014836001151707023,0.00678033527219668,0.004169132967945188,0
cooking_wrong,full,134,".

",1.973397970199585,0.5,Alternatively,Note,0.5,Alternatively,,0.021141210745554417,0.05699230695609003,0.04844902741024271,0
cooking_wrong,full,135,Alternatively,0.20203223824501038,3.625,",",":

",3.625,",",,0.0007341434829868376,0.0018205539090558887,0.005932034051511437,0
cooking_wrong,full,136,",",1.2144339084625244,2.0, you, cook,2.0, you,,0.004621697764378041,0.003242744889575988,0.0032766632502898574,0
cooking_wrong,full,137, you,0.026712164282798767,5.75, can, could,5.75, can,,0.0026613884838297963,0.0034995918394997716,0.00551039568381384,0
cooking_wrong,full,138, can,1.203235149383545,0.75, cook, also,0.75, cook,,0.012074434547685087,0.01040368399117142,0.008332585683092475,0
cooking_wrong,full,139, cook,0.2494613230228424,3.25, the, br,3.25, the,,0.0077246560249477625,0.007362990349065512,0.00595706352032721,0
cooking_wrong,full,140, the,0.547484815120697,1.375, brat, br,1.375, brat,,0.0033372215693816543,0.002874990168493241,0.0028473013662733138,0
cooking_wrong,cut_source,102,",",0.9075865745544434,1.125, turning, or,1.125, turning,,0.0,0.0,0.0,0
cooking_wrong,cut_source,103, turning,1.229797124862671,0.125, occasionally, them,2.125, occasionally,,0.0016009877435863018,0.0017146660247817636,0.0018440325511619449,0
cooking_wrong,cut_source,104, occasionally,1.4646052122116089,0.25, to,",",-4.125,",",,0.0018371747573837638,0.0032753999694250524,0.0032333325943909585,0
cooking_wrong,cut_source,105, to,1.9784362316131592,0.125, brown, ensure,-1.125, prevent,,0.004829148878343403,0.005532477633096278,0.003000832046382129,0
cooking_wrong,cut_source,106, brown,1.8018320798873901,0.875, evenly, them,2.625, evenly,,0.006607336341403425,0.007613632711581886,0.005449346906971186,0
