case,condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
cooking_correct,cooking_correct,full,95, for,0.0002291303244419396,12.125, , either,12.125, ,,0.007202490174677223,0.009434737963601947,0.016655714716762304,0
cooking_correct,cooking_correct,full,96, ,0.19292262196540833,3.0,10,5,3.0,10,,0.004883306100964546,0.011488151154480875,0.015380491793621331,0
cooking_correct,cooking_correct,full,99, ,0.013858720660209656,7.0,14,12,7.0,14,,0.0018720893422141671,0.002567375428043306,0.0028681705589406192,0
cooking_correct,cooking_correct,cut_source,95, for,0.5944167375564575,1.375, , either,12.75, ,,0.00847795169102028,0.008583713788539171,0.014793927257414907,0
cooking_correct,cooking_correct,cut_source,96, ,0.4960924983024597,2.875,10,5,-5.0,5,,0.0032094838097691536,0.004313854151405394,0.0091094383969903,0
cooking_correct,cooking_correct,cut_source,99, ,0.759477436542511,0.125,14,12,-5.25,15,,0.001041694893501699,0.0013844851637259126,0.0012147781671956182,0
cooking_correct,cooking_correct,cut_remote_history,95, for,0.046263501048088074,6.125, , either,6.125, ,,0.00900491903303191,0.005482981854584068,0.005970661120954901,0
cooking_correct,cooking_correct,cut_remote_history,96, ,0.7187550067901611,0.25,10,5,0.25,10,,0.0047098034410737455,0.015697406663093716,0.016763396619353443,0
cooking_correct,cooking_correct,cut_remote_history,99, ,0.06525299698114395,5.75,14,12,6.125,14,,0.003959744761232287,0.007878700504079461,0.0109777168254368,0
cooking_correct,cooking_correct,cut_recent_history,95, for,4.267240047454834,0.75, , either,7.375, ,,0.0,0.0,0.0029423136729747057,0
cooking_correct,cooking_correct,cut_recent_history,96, ,2.434441566467285,2.125,10,5,3.25,10,,0.0,0.0,0.005953818268608302,0
cooking_correct,cooking_correct,cut_recent_history,99, ,2.3041329383850098,1.625,14,12,2.875,10,,0.0,0.0,0.0031818642746657133,0
cooking_correct,cooking_correct,local16,95, for,0.5606250762939453,1.375, , either,12.875, ,,0.005387197015807033,0.0,0.0,0
