condition,variant,step,layer,before_attention,after_attention,after_mlp
headdress,full,17,0,-2.690234661102295,-4.5148138999938965,-1.780437707901001
headdress,full,17,1,-1.780437707901001,-3.1805002689361572,-1.6997177600860596
headdress,full,17,2,-1.6997177600860596,-1.9356718063354492,-2.209707736968994
headdress,full,17,3,-2.209707736968994,-2.928919792175293,-2.3075497150421143
headdress,full,17,4,-2.3075497150421143,-0.8450237512588501,-0.8795548677444458
headdress,full,17,5,-0.8795548677444458,-1.870002031326294,-1.1757261753082275
headdress,full,17,6,-1.1757261753082275,-0.39976581931114197,-1.0622377395629883
headdress,full,17,7,-1.0622377395629883,-1.0492311716079712,-0.6980904340744019
headdress,full,17,8,-0.6980904340744019,-1.2568583488464355,-1.0636687278747559
headdress,full,17,9,-1.0636687278747559,-1.9585793018341064,-1.78994882106781
headdress,full,17,10,-1.78994882106781,-1.743409514427185,-1.797470211982727
headdress,full,17,11,-1.797470211982727,-2.33341646194458,-1.0561124086380005
headdress,full,17,12,-1.0561124086380005,-1.7768781185150146,-1.246653437614441
headdress,full,17,13,-1.246653437614441,-1.2226793766021729,-2.9143805503845215
headdress,full,17,14,-2.9143805503845215,-3.2223591804504395,-3.35284423828125
headdress,full,17,15,-3.35284423828125,-3.4214329719543457,-3.162592887878418
headdress,full,17,16,-3.162592887878418,-1.3443012237548828,-1.2395492792129517
headdress,full,17,17,-1.2395492792129517,-1.1257182359695435,-1.040663719177246
headdress,full,17,18,-1.040663719177246,-1.5792036056518555,-2.1707639694213867
headdress,full,17,19,-2.1707639694213867,-1.3860288858413696,-1.8157076835632324
headdress,full,17,20,-1.8157076835632324,-1.254913330078125,0.2515171766281128
headdress,full,17,21,0.2515171766281128,0.8172887563705444,1.0055805444717407
headdress,full,17,22,1.0055805444717407,1.3503388166427612,1.5237786769866943
headdress,full,17,23,1.5237786769866943,1.783616542816162,2.98915958404541
headdress,full,17,24,2.98915958404541,2.3787786960601807,2.5179507732391357
headdress,full,17,25,2.5179507732391357,1.8134558200836182,1.9910056591033936
headdress,full,17,26,1.9910056591033936,0.9971432685852051,1.022035837173462
headdress,full,17,27,1.022035837173462,-0.2503225803375244,0.5035345554351807
headdress,full,17,28,0.5035345554351807,0.00928652286529541,0.5140469074249268
headdress,full,17,29,0.5140469074249268,0.486652135848999,1.1527469158172607
headdress,full,17,30,1.1527469158172607,0.4164910316467285,1.1751422882080078
headdress,full,17,31,1.1751422882080078,0.9337430000305176,0.8946391344070435
headdress,full,18,0,-2.442255973815918,-1.302422046661377,1.665168046951294
headdress,full,18,1,1.665168046951294,3.387188673019409,4.895689010620117
headdress,full,18,2,4.895689010620117,5.395939826965332,3.7559866905212402
headdress,full,18,3,3.7559866905212402,3.456810474395752,3.022326946258545
headdress,full,18,4,3.022326946258545,2.876422882080078,0.891410231590271
headdress,full,18,5,0.891410231590271,0.12911450862884521,0.2542145848274231
headdress,full,18,6,0.2542145848274231,-1.0774145126342773,-1.2979025840759277
headdress,full,18,7,-1.2979025840759277,-1.4191021919250488,-2.6815996170043945
headdress,full,18,8,-2.6815996170043945,-0.777765691280365,0.005780279636383057
headdress,full,18,9,0.005780279636383057,-0.44994884729385376,0.9651672840118408
headdress,full,18,10,0.9651672840118408,-0.7713567018508911,0.16547638177871704
headdress,full,18,11,0.16547638177871704,-0.7506471276283264,1.1569390296936035
headdress,full,18,12,1.1569390296936035,1.328514575958252,1.8786561489105225
headdress,full,18,13,1.8786561489105225,1.0116550922393799,0.9028288125991821
headdress,full,18,14,0.9028288125991821,0.4738975763320923,2.3633790016174316
headdress,full,18,15,2.3633790016174316,0.7384999990463257,0.9543658494949341
headdress,full,18,16,0.9543658494949341,-0.9607387781143188,-0.8968076109886169
headdress,full,18,17,-0.8968076109886169,-2.0664122104644775,-1.5228118896484375
headdress,full,18,18,-1.5228118896484375,-1.3019514083862305,-0.7770168781280518
headdress,full,18,19,-0.7770168781280518,-0.6557884216308594,-2.152106761932373
headdress,full,18,20,-2.152106761932373,-2.2995097637176514,-1.3974237442016602
headdress,full,18,21,-1.3974237442016602,-3.398080587387085,-2.8326256275177
headdress,full,18,22,-2.8326256275177,-3.0547144412994385,-1.9684170484542847
headdress,full,18,23,-1.9684170484542847,-1.6991931200027466,-1.1221330165863037
headdress,full,18,24,-1.1221330165863037,-9.42808723449707,-8.495624542236328
headdress,full,18,25,-8.495624542236328,-5.309579849243164,-3.53007173538208
headdress,full,18,26,-3.53007173538208,-1.6847227811813354,-2.5747079849243164
headdress,full,18,27,-2.5747079849243164,-1.624833345413208,-2.5523552894592285
headdress,full,18,28,-2.5523552894592285,-3.3434839248657227,-2.81827712059021
headdress,full,18,29,-2.81827712059021,-3.049525737762451,-3.0143370628356934
headdress,full,18,30,-3.0143370628356934,-5.181107521057129,-5.547181129455566
headdress,full,18,31,-5.547181129455566,-6.027744293212891,1.0272550582885742
headdress,full,19,0,2.9172141551971436,1.6230612993240356,1.5547199249267578
headdress,full,19,1,1.5547199249267578,0.14710378646850586,0.4958534240722656
headdress,full,19,2,0.4958534240722656,-0.6746091842651367,0.12594521045684814
headdress,full,19,3,0.12594521045684814,-0.8323438167572021,1.7702020406723022
headdress,full,19,4,1.7702020406723022,0.8013584613800049,2.4705305099487305
