condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
headdress,full,17, and,1.693246603012085,0.875, delicate, delic,0.875, delicate,,0.0,0.0,0.0,0
headdress,full,18, delicate,0.5860808491706848,1.125, embroidery, gold,1.125, embroidery,,0.004434718634001911,0.007313673093449324,0.007841264654416591,0
headdress,full,19, embroidery,0.950729250907898,1.5, with,",",1.5, with,,0.007751765951979905,0.0034820243599824607,0.0027574696578085423,0
headdress,full,20, with,0.0002664262428879738,11.625, gold, metal,11.625, gold,,0.00425168446963653,0.00605798524338752,0.005997099739033729,0
headdress,full,21, gold,0.0018443213775753975,8.625, and, or,8.625, and,,0.005762767628766596,0.0077550561982207,0.008027013798709959,0
headdress,full,22, and,2.6079278541146778e-05,14.25, silver, metal,14.25, silver,,0.02641776920063421,0.019649823429062963,0.00830752367619425,0
headdress,full,23, silver,0.0092140082269907,6.75, thread, threads,6.75, thread,,0.004059259197674692,0.0046521619078703225,0.006365373381413519,0
headdress,full,24, thread,0.7643648386001587,1.625,., for,1.625,.,,0.027597615960985422,0.015030352456960827,0.004856055660638958,0
headdress,full,25,.,1.5418657064437866,0.625, They, The,0.625, They,,0.01804138970328495,0.028328380023594946,0.012486685009207577,0
headdress,full,26, They,1.3930315971374512,0.5, were, wore,0.5, were,,0.0026180234854109585,0.004791956569533795,0.008961452229414135,0
headdress,full,27, were,1.0594689846038818,2.5, held, worn,2.5, held,,0.002744059660471976,0.002299305167980492,0.005288828630000353,0
headdress,full,28, held,0.0002494977379683405,11.25, together, by,11.25, together,,0.002715800190344453,0.0039540668949484825,0.010433928051497787,0
headdress,full,29, together,0.14551186561584473,3.375, by, with,3.375, by,,0.0038533012266270816,0.0035123295965604484,0.007047234335914254,0
headdress,full,30, by,0.39211833477020264,1.875, large, metal,1.875, large,,0.006217241927515715,0.005657775443978608,0.008480341406539083,0
headdress,full,31, large,1.1994662600045558e-05,14.25, metal, pins,14.25, metal,,0.004349362221546471,0.004597668361384422,0.008183313300833106,0
headdress,full,32, metal,9.350412256026175e-06,14.625, pins,pins,14.625, pins,,0.004344182554632425,0.004330858122557402,0.004554064944386482,0
headdress,full,33, pins,0.9255865812301636,0.5, and,.,-0.5,.,,0.008161073666997254,0.004877724626567215,0.001952923135831952,0
headdress,full,34, and,2.61850643157959,0.0, wore, were,-1.8125, were,,0.012542333628516644,0.009431538404896855,0.006569333665538579,0
headdress,full,35, wore,2.4569199085235596,1.125, a, whole,-1.125, whole,,0.007587326981592923,0.014061298279557377,0.01794002891983837,0
headdress,full,36, a,2.515672206878662,0.125, he, simple,-1.375, cloak,,0.004226382938213646,0.007379884948022664,0.008683617692440748,0
headdress,full,37, he,0.0013775737024843693,9.375,address,addresses,9.375,address,,0.011148003221023828,0.0080354671808891,0.006567463395185769,0
headdress,full,38,address,0.1349797397851944,4.625, with,",",4.625, with,,0.004459667892660946,0.0066139159607701,0.010318106680642813,0
headdress,full,39, with,0.764896035194397,2.5, a, gold,2.5, a,,0.0024234112352132797,0.0029249469516798854,0.0023230952792800963,0
headdress,full,40, a,0.7118406295776367,1.0, special, fringe,1.0, special,,0.003311401465907693,0.004748784995172173,0.006476613110862672,0
headdress,full,41, special,0.0014507664600387216,8.875, fringe, gold,8.875, fringe,,0.008284756739158183,0.008630555705167353,0.008615022466983646,0
headdress,full,42, fringe,0.03259754925966263,5.875, of, made,5.875, of,,0.006009672419168055,0.005289664841257036,0.0034333844669163227,0
headdress,full,43, of,0.00034251390025019646,11.375, gold, feathers,11.375, gold,,0.01880930591141805,0.016431045485660434,0.010312683007214218,0
headdress,full,44, gold,0.0031994376331567764,9.0, and,.,9.0, and,,0.00505056616384536,0.004953464027494192,0.004971078597009182,0
headdress,full,45, and,0.0007257547113113105,11.0, feathers, features,11.0, feathers,,0.03334372484823689,0.029642573033925146,0.025576402200385928,0
headdress,cut_source,17, and,0.86957848072052,1.125, delicate, delic,4.46875, patterns,,0.0,0.0,0.0,0
headdress,cut_source,18, delicate,0.07013701647520065,4.375, embroidery, gold,6.1875, patterns,,0.0024435858940705657,0.0006609510746784508,0.0,0
headdress,cut_source,19, embroidery,1.1725294589996338,1.125, with,",",-9.1875,.,,0.008640550484415144,0.005899859592318535,0.0,0
headdress,cut_source,20, with,4.108156681060791,0.875, gold, metal,5.0625, patterns,,0.0032258073915727437,0.0032825011876411736,0.0,0
headdress,cut_source,21, gold,1.253401756286621,0.0, and, or,0.0, or,,0.0007432473939843476,0.001265481289010495,0.0,0
headdress,cut_source,22, and,0.5680732727050781,2.0, silver, metal,10.25, silver,,0.0026819505728781223,0.0015247304691001773,0.0,0
