condition,variant,step,layer,before_attention,after_attention,after_mlp
object0_world0,full,0,0,0.06764084100723267,-0.23435690999031067,-0.547340989112854
object0_world0,full,0,1,-0.547340989112854,0.3017287254333496,-0.03261706233024597
object0_world0,full,0,2,-0.03261706233024597,-0.3562881350517273,0.9301086068153381
object0_world0,full,0,3,0.9301086068153381,0.6717020273208618,1.351257085800171
object0_world0,full,0,4,1.351257085800171,0.43639200925827026,2.153289556503296
object0_world0,full,0,5,2.153289556503296,2.3996896743774414,1.7416620254516602
object0_world0,full,0,6,1.7416620254516602,2.066545248031616,1.3876131772994995
object0_world0,full,0,7,1.3876131772994995,2.6131339073181152,1.895796298980713
object0_world0,full,0,8,1.895796298980713,1.977101445198059,1.523859977722168
object0_world0,full,0,9,1.523859977722168,1.9479634761810303,1.0005075931549072
object0_world0,full,0,10,1.0005075931549072,0.8486821055412292,1.5334842205047607
object0_world0,full,0,11,1.5334842205047607,1.8209471702575684,2.186182737350464
object0_world0,full,0,12,2.186182737350464,2.1471505165100098,0.20433950424194336
object0_world0,full,0,13,0.20433950424194336,2.4497768878936768,0.7760488390922546
object0_world0,full,0,14,0.7760488390922546,1.4445303678512573,1.2746233940124512
object0_world0,full,0,15,1.2746233940124512,1.7148057222366333,-0.4600502848625183
object0_world0,full,0,16,-0.4600502848625183,0.03562775254249573,0.634812593460083
object0_world0,full,0,17,0.634812593460083,0.5508894920349121,-0.8453394174575806
object0_world0,full,0,18,-0.8453394174575806,-0.9395157098770142,0.19831818342208862
object0_world0,full,0,19,0.19831818342208862,-0.33953171968460083,-0.48738420009613037
object0_world0,full,0,20,-0.48738420009613037,-0.6021881103515625,-1.148027777671814
object0_world0,full,0,21,-1.148027777671814,-0.7927213907241821,-0.8363230228424072
object0_world0,full,0,22,-0.8363230228424072,-1.305709958076477,-1.7272582054138184
object0_world0,full,0,23,-1.7272582054138184,-1.7556719779968262,-1.8720357418060303
object0_world0,full,0,24,-1.8720357418060303,-1.836261510848999,-0.7570264339447021
object0_world0,full,0,25,-0.7570264339447021,-1.0023932456970215,-1.2097089290618896
object0_world0,full,0,26,-1.2097089290618896,-1.0267846584320068,-0.904757022857666
object0_world0,full,0,27,-0.904757022857666,-0.5321356058120728,-0.8620566129684448
object0_world0,full,0,28,-0.8620566129684448,-1.0970109701156616,-0.8052743673324585
object0_world0,full,0,29,-0.8052743673324585,-0.43616724014282227,-0.644241452217102
object0_world0,full,0,30,-0.644241452217102,0.18723750114440918,-0.10177218914031982
object0_world0,full,0,31,-0.10177218914031982,0.5175495147705078,1.3774511814117432
object0_world0,full,1,0,0.37077271938323975,0.7368090152740479,1.0861430168151855
object0_world0,full,1,1,1.0861430168151855,1.6672743558883667,1.4484870433807373
object0_world0,full,1,2,1.4484870433807373,0.6908901333808899,0.2774973511695862
object0_world0,full,1,3,0.2774973511695862,0.39349687099456787,0.7737186551094055
object0_world0,full,1,4,0.7737186551094055,1.3129066228866577,2.143946886062622
object0_world0,full,1,5,2.143946886062622,3.211595296859741,3.08803129196167
object0_world0,full,1,6,3.08803129196167,3.3873205184936523,0.240687757730484
object0_world0,full,1,7,0.240687757730484,0.5470318794250488,1.7675739526748657
object0_world0,full,1,8,1.7675739526748657,1.9955854415893555,1.983384370803833
object0_world0,full,1,9,1.983384370803833,2.073824644088745,1.0869240760803223
object0_world0,full,1,10,1.0869240760803223,1.4172637462615967,2.06369686126709
object0_world0,full,1,11,2.06369686126709,2.1340134143829346,2.281273365020752
object0_world0,full,1,12,2.281273365020752,1.9425437450408936,-0.0572664737701416
object0_world0,full,1,13,-0.0572664737701416,2.7446203231811523,1.3953092098236084
object0_world0,full,1,14,1.3953092098236084,2.935521364212036,1.7139358520507812
object0_world0,full,1,15,1.7139358520507812,2.514310359954834,2.478311538696289
object0_world0,full,1,16,2.478311538696289,1.8459351062774658,2.7241063117980957
object0_world0,full,1,17,2.7241063117980957,2.486510753631592,0.17851346731185913
object0_world0,full,1,18,0.17851346731185913,0.349783718585968,0.8140796422958374
object0_world0,full,1,19,0.8140796422958374,0.023130416870117188,-1.0174977779388428
object0_world0,full,1,20,-1.0174977779388428,-1.123881220817566,-1.7216500043869019
object0_world0,full,1,21,-1.7216500043869019,-1.6054496765136719,-2.001774787902832
object0_world0,full,1,22,-2.001774787902832,-1.9251651763916016,-1.951095700263977
object0_world0,full,1,23,-1.951095700263977,-1.8754031658172607,-1.2918872833251953
object0_world0,full,1,24,-1.2918872833251953,-1.268068790435791,-0.7318875193595886
object0_world0,full,1,25,-0.7318875193595886,-0.4866056442260742,-1.3158040046691895
object0_world0,full,1,26,-1.3158040046691895,-1.184879183769226,-1.8521854877471924
object0_world0,full,1,27,-1.8521854877471924,-1.8661051988601685,-1.4109877347946167
object0_world0,full,1,28,-1.4109877347946167,-1.695835828781128,-0.383644700050354
object0_world0,full,1,29,-0.383644700050354,-0.08279943466186523,-0.9079148769378662
object0_world0,full,1,30,-0.9079148769378662,-0.8423874378204346,-1.0086841583251953
object0_world0,full,1,31,-1.0086841583251953,-0.4120028018951416,-0.3448348045349121
object0_world0,full,2,0,-1.7840079069137573,-1.7748197317123413,-1.2055363655090332
object0_world0,full,2,1,-1.2055363655090332,-1.2984700202941895,-0.823244571685791
object0_world0,full,2,2,-0.823244571685791,-0.9440828561782837,-1.3880760669708252
object0_world0,full,2,3,-1.3880760669708252,-1.306831955909729,-0.7348611354827881
object0_world0,full,2,4,-0.7348611354827881,-0.7162784934043884,1.353252649307251
object0_world0,full,2,5,1.353252649307251,2.022881507873535,1.99454665184021
object0_world0,full,2,6,1.99454665184021,2.056962490081787,1.1186583042144775
object0_world0,full,2,7,1.1186583042144775,1.2823493480682373,2.4763948917388916
object0_world0,full,2,8,2.4763948917388916,2.911855936050415,2.441312074661255
object0_world0,full,2,9,2.441312074661255,3.0531396865844727,1.2947397232055664
object0_world0,full,2,10,1.2947397232055664,1.9292467832565308,1.9879251718521118
object0_world0,full,2,11,1.9879251718521118,1.6746591329574585,0.16425126791000366
object0_world0,full,2,12,0.16425126791000366,-0.06938296556472778,0.3883626163005829
object0_world0,full,2,13,0.3883626163005829,2.5150084495544434,0.7705179452896118
object0_world0,full,2,14,0.7705179452896118,0.9244281053543091,1.0762693881988525
object0_world0,full,2,15,1.0762693881988525,1.4323344230651855,2.186702013015747
object0_world0,full,2,16,2.186702013015747,1.372045874595642,2.3136253356933594
object0_world0,full,2,17,2.3136253356933594,2.396516799926758,1.521726131439209
object0_world0,full,2,18,1.521726131439209,1.2169468402862549,1.0240468978881836
object0_world0,full,2,19,1.0240468978881836,0.40670451521873474,-0.7916872501373291
object0_world0,full,2,20,-0.7916872501373291,-0.8411933183670044,-0.49653327465057373
object0_world0,full,2,21,-0.49653327465057373,0.0024574995040893555,0.04046618938446045
object0_world0,full,2,22,0.04046618938446045,0.13931524753570557,0.4345381259918213
object0_world0,full,2,23,0.4345381259918213,0.5209981203079224,0.09009373188018799
object0_world0,full,2,24,0.09009373188018799,0.19485926628112793,0.3735833168029785
object0_world0,full,2,25,0.3735833168029785,0.38221991062164307,0.3400019407272339
object0_world0,full,2,26,0.3400019407272339,0.48627710342407227,0.35793209075927734
object0_world0,full,2,27,0.35793209075927734,0.33239078521728516,0.602599024772644
object0_world0,full,2,28,0.602599024772644,0.3705101013183594,-0.20205795764923096
object0_world0,full,2,29,-0.20205795764923096,0.01614093780517578,-0.8128609657287598
object0_world0,full,2,30,-0.8128609657287598,-0.5806870460510254,-0.6951072216033936
object0_world0,full,2,31,-0.6951072216033936,0.014406204223632812,0.921996533870697
object0_world0,full,3,0,-2.5305707454681396,-2.516207218170166,-2.6020708084106445
object0_world0,full,3,1,-2.6020708084106445,-2.6558573246002197,-2.094467878341675
object0_world0,full,3,2,-2.094467878341675,-1.764995813369751,-1.5859955549240112
object0_world0,full,3,3,-1.5859955549240112,-1.4062025547027588,-1.140321969985962
object0_world0,full,3,4,-1.140321969985962,-0.6662747263908386,-0.3027387857437134
object0_world0,full,3,5,-0.3027387857437134,0.6126278638839722,0.20104670524597168
object0_world0,full,3,6,0.20104670524597168,0.6581149697303772,0.03500950336456299
object0_world0,full,3,7,0.03500950336456299,1.3197035789489746,1.6575467586517334
object0_world0,full,3,8,1.6575467586517334,2.1469526290893555,2.9000771045684814
object0_world0,full,3,9,2.9000771045684814,3.275627613067627,2.6945676803588867
object0_world0,full,3,10,2.6945676803588867,2.8304224014282227,3.121717691421509
object0_world0,full,3,11,3.121717691421509,2.532284736633301,1.5567071437835693
object0_world0,full,3,12,1.5567071437835693,1.4608851671218872,2.140801191329956
object0_world0,full,3,13,2.140801191329956,4.648470401763916,3.5154452323913574
object0_world0,full,3,14,3.5154452323913574,2.589172124862671,3.161102771759033
object0_world0,full,3,15,3.161102771759033,3.2894506454467773,3.2483572959899902
object0_world0,full,3,16,3.2483572959899902,2.4653451442718506,1.7968599796295166
object0_world0,full,3,17,1.7968599796295166,1.2786166667938232,0.11443787813186646
object0_world0,full,3,18,0.11443787813186646,0.073626309633255,0.4175608456134796
object0_world0,full,3,19,0.4175608456134796,-0.11735910177230835,-0.6166659593582153
object0_world0,full,3,20,-0.6166659593582153,-0.4367230534553528,-0.6078781485557556
object0_world0,full,3,21,-0.6078781485557556,-0.23488694429397583,-0.3636232018470764
object0_world0,full,3,22,-0.3636232018470764,-0.4318545460700989,-0.6436020135879517
object0_world0,full,3,23,-0.6436020135879517,-0.6343413591384888,-0.6339259743690491
object0_world0,full,3,24,-0.6339259743690491,-0.49237972497940063,-0.4032284617424011
object0_world0,full,3,25,-0.4032284617424011,-0.5388882160186768,-0.08844265341758728
object0_world0,full,3,26,-0.08844265341758728,-0.02982160449028015,0.22491984069347382
object0_world0,full,3,27,0.22491984069347382,0.07072257995605469,0.3810386061668396
object0_world0,full,3,28,0.3810386061668396,0.4566182494163513,0.6658099889755249
object0_world0,full,3,29,0.6658099889755249,0.8194552659988403,0.3827856481075287
