condition,variant,step,layer,before_attention,after_attention,after_mlp
object0_world0,full,0,0,0.029293067753314972,0.8461676836013794,0.7895839214324951
object0_world0,full,0,1,0.7895839214324951,0.9177801012992859,1.5367215871810913
object0_world0,full,0,2,1.5367215871810913,1.490823745727539,0.5279935598373413
object0_world0,full,0,3,0.5279935598373413,0.41144365072250366,0.5211337804794312
object0_world0,full,0,4,0.5211337804794312,1.1463276147842407,0.13054794073104858
object0_world0,full,0,5,0.13054794073104858,0.8878707885742188,-1.5683555603027344
object0_world0,full,0,6,-1.5683555603027344,-1.7485336065292358,-0.9662443995475769
object0_world0,full,0,7,-0.9662443995475769,-1.0580942630767822,0.2520633935928345
object0_world0,full,0,8,0.2520633935928345,0.25733521580696106,1.0896885395050049
object0_world0,full,0,9,1.0896885395050049,2.5320067405700684,1.66489839553833
object0_world0,full,0,10,1.66489839553833,1.4851257801055908,0.6610196232795715
object0_world0,full,0,11,0.6610196232795715,0.6401606798171997,0.16303515434265137
object0_world0,full,0,12,0.16303515434265137,-1.3051390647888184,-1.4493420124053955
object0_world0,full,0,13,-1.4493420124053955,-2.4404749870300293,-1.0329506397247314
object0_world0,full,0,14,-1.0329506397247314,-1.4276386499404907,-1.7658358812332153
object0_world0,full,0,15,-1.7658358812332153,-1.7913618087768555,-0.5153286457061768
object0_world0,full,0,16,-0.5153286457061768,-0.2579534947872162,-0.41036009788513184
object0_world0,full,0,17,-0.41036009788513184,-0.25253644585609436,-0.1383606195449829
object0_world0,full,0,18,-0.1383606195449829,-0.16389191150665283,0.32496529817581177
object0_world0,full,0,19,0.32496529817581177,0.36314478516578674,0.5874017477035522
object0_world0,full,0,20,0.5874017477035522,0.6077419519424438,0.09387120604515076
object0_world0,full,0,21,0.09387120604515076,-0.17310532927513123,0.8008850812911987
object0_world0,full,0,22,0.8008850812911987,0.38486236333847046,0.07275107502937317
object0_world0,full,0,23,0.07275107502937317,0.5489854216575623,0.8538607358932495
object0_world0,full,0,24,0.8538607358932495,0.989926815032959,1.2932499647140503
object0_world0,full,0,25,1.2932499647140503,1.5773144960403442,1.6690267324447632
object0_world0,full,0,26,1.6690267324447632,1.4142308235168457,1.1579039096832275
object0_world0,full,0,27,1.1579039096832275,1.1357762813568115,1.4681305885314941
object0_world0,full,0,28,1.4681305885314941,0.7983531355857849,0.3588988780975342
object0_world0,full,0,29,0.3588988780975342,0.40078574419021606,0.6786463260650635
object0_world0,full,0,30,0.6786463260650635,1.0899118185043335,1.5850776433944702
object0_world0,full,0,31,1.5850776433944702,1.8799583911895752,2.0765562057495117
object0_world0,full,1,0,-1.0229976177215576,-0.5453646183013916,-0.4567683935165405
object0_world0,full,1,1,-0.4567683935165405,-0.7318166494369507,-0.5503320693969727
object0_world0,full,1,2,-0.5503320693969727,-0.4128462076187134,-1.0594518184661865
object0_world0,full,1,3,-1.0594518184661865,-0.39410799741744995,-0.9089638590812683
object0_world0,full,1,4,-0.9089638590812683,-1.5941874980926514,-2.164153575897217
object0_world0,full,1,5,-2.164153575897217,-1.374643325805664,-1.1359679698944092
object0_world0,full,1,6,-1.1359679698944092,-1.1392908096313477,-0.06584203243255615
object0_world0,full,1,7,-0.06584203243255615,-0.22102773189544678,-0.6610537767410278
object0_world0,full,1,8,-0.6610537767410278,1.0721242427825928,0.1206742525100708
object0_world0,full,1,9,0.1206742525100708,0.4975822865962982,1.486828088760376
object0_world0,full,1,10,1.486828088760376,2.095630645751953,0.7487187385559082
object0_world0,full,1,11,0.7487187385559082,1.196747064590454,0.8235602974891663
object0_world0,full,1,12,0.8235602974891663,0.38602399826049805,1.2662324905395508
object0_world0,full,1,13,1.2662324905395508,-0.3656286895275116,0.1812729835510254
object0_world0,full,1,14,0.1812729835510254,-0.5095709562301636,-0.574501633644104
object0_world0,full,1,15,-0.574501633644104,-0.9708893299102783,0.3972564935684204
object0_world0,full,1,16,0.3972564935684204,1.4835695028305054,0.9979150295257568
object0_world0,full,1,17,0.9979150295257568,0.9065171480178833,1.6030559539794922
object0_world0,full,1,18,1.6030559539794922,1.5620461702346802,1.6716715097427368
object0_world0,full,1,19,1.6716715097427368,1.9444500207901,2.441751718521118
object0_world0,full,1,20,2.441751718521118,2.7903919219970703,2.3906564712524414
object0_world0,full,1,21,2.3906564712524414,2.5129895210266113,3.9856066703796387
object0_world0,full,1,22,3.9856066703796387,3.734708786010742,5.304113388061523
object0_world0,full,1,23,5.304113388061523,5.3964948654174805,4.170511245727539
object0_world0,full,1,24,4.170511245727539,4.288656711578369,4.054072380065918
