condition,variant,step,layer,before_attention,after_attention,after_mlp
normal_transition,full,53,0,8.598806381225586,8.48101806640625,8.3377046585083
normal_transition,full,53,1,8.3377046585083,6.340753555297852,4.914708614349365
normal_transition,full,53,2,4.914708614349365,5.854091644287109,7.302565574645996
normal_transition,full,53,3,7.302565574645996,7.909846305847168,7.356447219848633
normal_transition,full,53,4,7.356447219848633,6.752394676208496,7.424485206604004
normal_transition,full,53,5,7.424485206604004,6.003811836242676,5.5460333824157715
normal_transition,full,53,6,5.5460333824157715,3.990684986114502,2.3318326473236084
normal_transition,full,53,7,2.3318326473236084,1.1993107795715332,1.3505582809448242
normal_transition,full,53,8,1.3505582809448242,2.732585906982422,1.1137969493865967
normal_transition,full,53,9,1.1137969493865967,2.493161201477051,2.8692290782928467
normal_transition,full,53,10,2.8692290782928467,3.023362636566162,5.388089179992676
normal_transition,full,53,11,5.388089179992676,4.502344131469727,3.904909610748291
normal_transition,full,53,12,3.904909610748291,4.2007598876953125,4.971169471740723
normal_transition,full,53,13,4.971169471740723,4.405617713928223,4.1392621994018555
normal_transition,full,53,14,4.1392621994018555,2.500868082046509,1.756858229637146
normal_transition,full,53,15,1.756858229637146,5.922046184539795,6.209184169769287
normal_transition,full,53,16,6.209184169769287,7.254803657531738,7.713387489318848
normal_transition,full,53,17,7.713387489318848,8.155546188354492,6.010967254638672
normal_transition,full,53,18,6.010967254638672,7.470510482788086,7.697399139404297
normal_transition,full,53,19,7.697399139404297,6.4881744384765625,6.5836873054504395
normal_transition,full,53,20,6.5836873054504395,7.623258590698242,12.26561164855957
normal_transition,full,53,21,12.26561164855957,12.51816463470459,13.02541446685791
normal_transition,full,53,22,13.02541446685791,14.636651992797852,13.293252944946289
normal_transition,full,53,23,13.293252944946289,16.724159240722656,15.282169342041016
normal_transition,full,53,24,15.282169342041016,6.928859710693359,7.060443878173828
normal_transition,full,53,25,7.060443878173828,4.195298194885254,4.862532615661621
normal_transition,full,53,26,4.862532615661621,4.018399238586426,4.323486804962158
normal_transition,full,53,27,4.323486804962158,-0.016751408576965332,0.19198572635650635
normal_transition,full,53,28,0.19198572635650635,-0.07221055030822754,2.6937432289123535
normal_transition,full,53,29,2.6937432289123535,2.5297718048095703,1.456438422203064
normal_transition,full,53,30,1.456438422203064,5.910616874694824,4.714832305908203
normal_transition,full,53,31,4.714832305908203,5.796586036682129,3.4501895904541016
normal_transition,full,54,0,3.1583480834960938,1.9587657451629639,5.15217924118042
normal_transition,full,54,1,5.15217924118042,2.788823127746582,2.755378484725952
