condition,variant,step,layer,before_attention,after_attention,after_mlp
object0_world0,full,0,0,0.06764084100723267,-0.3148356080055237,-0.5191980600357056
object0_world0,full,0,1,-0.5191980600357056,0.22247529029846191,-0.004450887441635132
object0_world0,full,0,2,-0.004450887441635132,-0.3031739890575409,1.0538655519485474
object0_world0,full,0,3,1.0538655519485474,0.5521326661109924,1.2120506763458252
object0_world0,full,0,4,1.2120506763458252,0.3399113416671753,1.9106370210647583
object0_world0,full,0,5,1.9106370210647583,2.361741542816162,1.7291691303253174
object0_world0,full,0,6,1.7291691303253174,2.0946767330169678,1.3428406715393066
object0_world0,full,0,7,1.3428406715393066,2.810912847518921,1.9372570514678955
object0_world0,full,0,8,1.9372570514678955,1.8917237520217896,1.5937576293945312
object0_world0,full,0,9,1.5937576293945312,2.395714282989502,1.284180998802185
object0_world0,full,0,10,1.284180998802185,1.1895171403884888,1.931046485900879
object0_world0,full,0,11,1.931046485900879,2.411846399307251,2.2818970680236816
object0_world0,full,0,12,2.2818970680236816,2.1642558574676514,0.0821303129196167
object0_world0,full,0,13,0.0821303129196167,2.3141884803771973,1.1536009311676025
object0_world0,full,0,14,1.1536009311676025,1.4118125438690186,1.7155320644378662
object0_world0,full,0,15,1.7155320644378662,2.2747139930725098,0.29632389545440674
object0_world0,full,0,16,0.29632389545440674,1.060141921043396,1.7905815839767456
object0_world0,full,0,17,1.7905815839767456,1.472278118133545,0.2857844829559326
object0_world0,full,0,18,0.2857844829559326,0.03917747735977173,0.8979521989822388
object0_world0,full,0,19,0.8979521989822388,0.5873379707336426,0.43850135803222656
object0_world0,full,0,20,0.43850135803222656,0.3088696002960205,-0.26097381114959717
object0_world0,full,0,21,-0.26097381114959717,0.21795642375946045,-0.16990268230438232
object0_world0,full,0,22,-0.16990268230438232,-0.17472636699676514,-0.7126407027244568
object0_world0,full,0,23,-0.7126407027244568,-1.0252418518066406,-1.3304553031921387
object0_world0,full,0,24,-1.3304553031921387,-2.0280799865722656,-1.2031910419464111
object0_world0,full,0,25,-1.2031910419464111,-1.512190580368042,-1.6039648056030273
object0_world0,full,0,26,-1.6039648056030273,-1.1547627449035645,-0.8793261051177979
object0_world0,full,0,27,-0.8793261051177979,-0.5009770393371582,-0.5750775337219238
object0_world0,full,0,28,-0.5750775337219238,-0.5974660515785217,-0.21210122108459473
object0_world0,full,0,29,-0.21210122108459473,-0.002411186695098877,-0.5669864416122437
object0_world0,full,0,30,-0.5669864416122437,-0.0674896240234375,-0.7525847554206848
object0_world0,full,0,31,-0.7525847554206848,-0.14691495895385742,0.3735775351524353
object0_world0,full,1,0,0.37077271938323975,0.658514142036438,0.91510009765625
object0_world0,full,1,1,0.91510009765625,1.428255558013916,1.2584147453308105
object0_world0,full,1,2,1.2584147453308105,0.6081811785697937,0.09644198417663574
object0_world0,full,1,3,0.09644198417663574,0.19273197650909424,0.7989766597747803
object0_world0,full,1,4,0.7989766597747803,1.4486603736877441,2.1102476119995117
object0_world0,full,1,5,2.1102476119995117,3.2391653060913086,3.197089910507202
object0_world0,full,1,6,3.197089910507202,3.4102845191955566,0.490206241607666
object0_world0,full,1,7,0.490206241607666,0.8655234575271606,1.8302311897277832
object0_world0,full,1,8,1.8302311897277832,2.0590062141418457,2.2595505714416504
object0_world0,full,1,9,2.2595505714416504,2.666783571243286,1.5897419452667236
object0_world0,full,1,10,1.5897419452667236,2.022660970687866,2.4592337608337402
object0_world0,full,1,11,2.4592337608337402,2.559661626815796,2.8278937339782715
object0_world0,full,1,12,2.8278937339782715,2.407829523086548,0.3505767583847046
object0_world0,full,1,13,0.3505767583847046,2.7043871879577637,1.8748631477355957
object0_world0,full,1,14,1.8748631477355957,2.935023546218872,1.6412198543548584
object0_world0,full,1,15,1.6412198543548584,2.611794948577881,2.3088796138763428
object0_world0,full,1,16,2.3088796138763428,1.8988063335418701,3.040670871734619
object0_world0,full,1,17,3.040670871734619,2.809051990509033,0.29852479696273804
object0_world0,full,1,18,0.29852479696273804,0.3999899625778198,0.8790117502212524
object0_world0,full,1,19,0.8790117502212524,0.2152448296546936,-0.5340368151664734
object0_world0,full,1,20,-0.5340368151664734,-0.5724829435348511,-0.8062890768051147
object0_world0,full,1,21,-0.8062890768051147,-0.5945683121681213,-0.7765684127807617
object0_world0,full,1,22,-0.7765684127807617,-0.7480974793434143,-0.9125999212265015
object0_world0,full,1,23,-0.9125999212265015,-0.9088517427444458,-0.711632251739502
object0_world0,full,1,24,-0.711632251739502,-0.6719460487365723,-0.20753547549247742
object0_world0,full,1,25,-0.20753547549247742,-0.035614192485809326,-0.5730972290039062
object0_world0,full,1,26,-0.5730972290039062,-0.4050673246383667,-1.2942744493484497
object0_world0,full,1,27,-1.2942744493484497,-1.2183301448822021,-0.7148301601409912
object0_world0,full,1,28,-0.7148301601409912,-1.103041172027588,-0.029829740524291992
object0_world0,full,1,29,-0.029829740524291992,0.3082430958747864,-0.025817155838012695
object0_world0,full,1,30,-0.025817155838012695,-0.013983666896820068,-0.8303716778755188
object0_world0,full,1,31,-0.8303716778755188,-0.10211807489395142,0.16170334815979004
object0_world0,full,2,0,-1.7840079069137573,-1.7969716787338257,-1.3521875143051147
object0_world0,full,2,1,-1.3521875143051147,-1.439195156097412,-0.9825720191001892
object0_world0,full,2,2,-0.9825720191001892,-1.031076192855835,-1.302791714668274
object0_world0,full,2,3,-1.302791714668274,-1.3000246286392212,-0.6375108957290649
object0_world0,full,2,4,-0.6375108957290649,-0.5454878807067871,1.349337100982666
object0_world0,full,2,5,1.349337100982666,2.0309247970581055,2.140162229537964
object0_world0,full,2,6,2.140162229537964,2.158987045288086,1.1620341539382935
object0_world0,full,2,7,1.1620341539382935,1.3424701690673828,2.3999037742614746
object0_world0,full,2,8,2.3999037742614746,2.7888588905334473,2.6142048835754395
object0_world0,full,2,9,2.6142048835754395,3.3339200019836426,1.5572870969772339
object0_world0,full,2,10,1.5572870969772339,2.090961456298828,2.1605944633483887
object0_world0,full,2,11,2.1605944633483887,1.9201900959014893,0.4886293411254883
object0_world0,full,2,12,0.4886293411254883,0.15821024775505066,0.734034538269043
object0_world0,full,2,13,0.734034538269043,2.846421957015991,1.2005850076675415
object0_world0,full,2,14,1.2005850076675415,0.8153499364852905,1.3652729988098145
object0_world0,full,2,15,1.3652729988098145,1.7887823581695557,2.6626780033111572
object0_world0,full,2,16,2.6626780033111572,1.8820221424102783,2.73783540725708
object0_world0,full,2,17,2.73783540725708,2.977931499481201,1.9275591373443604
object0_world0,full,2,18,1.9275591373443604,1.6393195390701294,1.0660839080810547
object0_world0,full,2,19,1.0660839080810547,0.6001041531562805,-0.7567929029464722
object0_world0,full,2,20,-0.7567929029464722,-0.8017526268959045,-0.3094281554222107
object0_world0,full,2,21,-0.3094281554222107,0.17366668581962585,-0.34949374198913574
object0_world0,full,2,22,-0.34949374198913574,-0.276422381401062,-0.06413733959197998
object0_world0,full,2,23,-0.06413733959197998,-0.024697303771972656,-0.5290729403495789
object0_world0,full,2,24,-0.5290729403495789,-0.31274449825286865,-0.4664131999015808
object0_world0,full,2,25,-0.4664131999015808,-0.46915096044540405,-0.4605588912963867
object0_world0,full,2,26,-0.4605588912963867,-0.20512443780899048,-0.16536223888397217
object0_world0,full,2,27,-0.16536223888397217,-0.0918419361114502,0.08114099502563477
object0_world0,full,2,28,0.08114099502563477,-0.10538053512573242,-0.5936734676361084
object0_world0,full,2,29,-0.5936734676361084,-0.31604206562042236,-1.1236929893493652
object0_world0,full,2,30,-1.1236929893493652,-0.9350197315216064,-0.926522970199585
object0_world0,full,2,31,-0.926522970199585,-0.12021255493164062,0.6521676182746887
object0_world0,full,3,0,-2.5305707454681396,-2.607789993286133,-2.4549379348754883
object0_world0,full,3,1,-2.4549379348754883,-2.4675068855285645,-1.9947466850280762
object0_world0,full,3,2,-1.9947466850280762,-1.7188000679016113,-1.789070725440979
object0_world0,full,3,3,-1.789070725440979,-1.6637611389160156,-1.5228540897369385
object0_world0,full,3,4,-1.5228540897369385,-0.9005101323127747,-0.4388585090637207
object0_world0,full,3,5,-0.4388585090637207,0.625244140625,0.3706080913543701
object0_world0,full,3,6,0.3706080913543701,0.8060305714607239,0.1961420178413391
object0_world0,full,3,7,0.1961420178413391,1.4900578260421753,1.8288094997406006
object0_world0,full,3,8,1.8288094997406006,2.3284974098205566,3.079998016357422
object0_world0,full,3,9,3.079998016357422,3.6479737758636475,3.1443357467651367
object0_world0,full,3,10,3.1443357467651367,3.1353888511657715,3.2701656818389893
object0_world0,full,3,11,3.2701656818389893,2.8412129878997803,1.8772355318069458
object0_world0,full,3,12,1.8772355318069458,1.823821783065796,2.5158777236938477
object0_world0,full,3,13,2.5158777236938477,4.3140177726745605,2.575255870819092
object0_world0,full,3,14,2.575255870819092,1.0708016157150269,2.0905277729034424
object0_world0,full,3,15,2.0905277729034424,2.1954684257507324,2.9276204109191895
object0_world0,full,3,16,2.9276204109191895,2.574892282485962,1.9924960136413574
object0_world0,full,3,17,1.9924960136413574,1.792926549911499,0.05478975176811218
object0_world0,full,3,18,0.05478975176811218,0.16591158509254456,-0.0142316073179245
object0_world0,full,3,19,-0.0142316073179245,-0.42587971687316895,-1.30916166305542
object0_world0,full,3,20,-1.30916166305542,-1.0699167251586914,-1.127477765083313
object0_world0,full,3,21,-1.127477765083313,-0.6364650726318359,-0.5468622446060181
object0_world0,full,3,22,-0.5468622446060181,-0.3780362606048584,-0.7949831485748291
object0_world0,full,3,23,-0.7949831485748291,-0.8239200115203857,-1.1721702814102173
object0_world0,full,3,24,-1.1721702814102173,-0.9282900094985962,-0.9156002402305603
object0_world0,full,3,25,-0.9156002402305603,-1.197933554649353,-0.9403268694877625
