condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
object0_world0,full,0,"

",0.9786034226417542,2.125,20,40,0.375,The,0,0.0,0.0,0.0,0
object0_world0,full,1,I,1.9371588230133057,1.125,20,40,0.1640625, don,0,0.0,0.0,0.0,0
object0_world0,full,2, will,3.171940326690674,0.25,20,40,0.6484375, keep,0,0.0,0.0,0.0,0
object0_world0,full,3, use,0.9640280604362488,2.25,20,40,0.0, the,0,0.002500428818166256,0.002500428818166256,0.002500428818166256,0
object0_world0,full,4, the,2.6551573276519775,0.25,20,40,-0.25, given,0,0.006812996987719089,0.006812996987719089,0.006812996987719089,0
object0_world0,full,5, stated,0.30081403255462646,3.375,20,40,-0.03125, facts,0,0.0013422892661765218,0.0013422892661765218,0.0013422892661765218,0
object0_world0,full,6, facts,1.2892041206359863,2.125,20,40,0.59375, to,0,0.0026901307282969356,0.0026901307282969356,0.0026901307282969356,0
object0_world0,full,7, to,1.7943881750106812,0.25,20,40,0.2890625, complete,0,0.0031822241726331413,0.0031822241726331413,0.0031822241726331413,0
object0_world0,full,8, identify,1.4814046621322632,2.625,20,40,1.1640625, the,0,0.006419323792215437,0.006419323792215437,0.006419323792215437,0
object0_world0,full,9, the,2.3684756755828857,0.5,20,40,0.1015625, object,0,0.017225063988007605,0.020102338690776378,0.020102338690776378,0
object0_world0,full,10, required,0.9130523204803467,1.0,20,40,0.2978515625, resting,0,0.007521851686760783,0.008279129746370018,0.008279129746370018,0
object0_world0,full,11, value,2.4218807220458984,0.5,20,40,1.09375, for,0,0.0027900984860025346,0.00302092352649197,0.00302092352649197,0
object0_world0,full,12,".
",2.9300873279571533,0.75,20,40,0.5625,The,0,0.012214075191877782,0.007036145485471934,0.007036145485471934,0
object0_world0,full,13,The,2.669830799102783,0.75,20,40,-0.5703125, pizza,0,0.00858295802026987,0.014074764039833099,0.014074764039833099,0
object0_world0,full,14, bread,0.13328737020492554,5.25,20,40,0.4296875, dough,0,0.02352732908912003,0.0371656120987609,0.0371656120987609,0
object0_world0,full,15, dough,0.3903387188911438,4.75,20,40,0.59375, must,0,0.001047544414177537,0.0008570657228119671,0.0008570657228119671,0
object0_world0,full,16, must,0.02397296577692032,6.625,20,40,1.037109375, rest,0,0.0038125706487335265,0.003398280474357307,0.003398280474357307,0
object0_world0,full,17, rest,0.05544415861368179,6.5,20,40,-0.734375, for,0,0.00872631830861792,0.016385348979383707,0.01697991561377421,0
object0_world0,full,18, for,0.28727996349334717,4.375,20,40,4.71875, ,0,0.0029142576386220753,0.0021847955649718642,0.0018465162138454616,0
object0_world0,full,19, ,0.15043073892593384,4.375,20,40,8.875,20,0,0.013651552319061011,0.015956959687173367,0.016131208394654095,1
object0_world0,cut_required,0,"

",1.5410232543945312,1.125,20,40,-2.125,The,0,0.0,0.0,0.0,0
object0_world0,cut_required,1,I,1.8915998935699463,1.125,20,40,0.171875, don,0,0.0,0.0,0.0,0
object0_world0,cut_required,2, will,3.0496740341186523,0.125,20,40,0.5078125, keep,0,0.0,0.0,0.0,0
object0_world0,cut_required,3, use,0.850335955619812,2.25,20,40,-0.5, the,0,0.001997047569602728,0.001997047569602728,0.001997047569602728,0
object0_world0,cut_required,4, the,2.480123996734619,0.125,20,40,-0.296875, given,0,0.005348425474949181,0.005348425474949181,0.005348425474949181,0
object0_world0,cut_required,5, stated,0.18132668733596802,4.125,20,40,-0.203125, facts,0,0.0009763888083398342,0.0009763888083398342,0.0009763888083398342,0
object0_world0,cut_required,6, facts,1.1465673446655273,2.5,20,40,0.359375, to,0,0.0026734988787211478,0.0026734988787211478,0.0026734988787211478,0
object0_world0,cut_required,7, to,1.7431399822235107,0.25,20,40,0.3046875, complete,0,0.001975177729036659,0.001975177729036659,0.001975177729036659,0
object0_world0,cut_required,8, identify,1.4740561246871948,2.625,20,40,0.8125, the,0,0.005834851122926921,0.005834851122926921,0.005834851122926921,0
object0_world0,cut_required,9, the,2.3077991008758545,0.5,20,40,0.125, object,0,0.01311107847141102,0.015424202021677047,0.015424202021677047,0
object0_world0,cut_required,10, required,1.9927551746368408,0.875,20,40,-0.203125, information,0,0.001327992242295295,0.0011116216192021966,0.0011116216192021966,0
object0_world0,cut_required,11, value,2.6592798233032227,0.75,20,40,1.015625,.,0,0.004727191582787782,0.006268566532526165,0.006268566532526165,0
object0_world0,cut_required,12,".
",2.99532151222229,0.875,20,40,-2.71875,The,0,0.011119572154711932,0.005569944158196449,0.005569944158196449,0
object0_world0,cut_required,13,The,2.094356060028076,0.75,20,40,-0.4140625, pizza,0,0.006691244256217033,0.010304719617124647,0.010304719617124647,0
object0_world0,cut_required,14, bread,3.3522562980651855,1.0,20,40,0.34912109375, dough,0,0.01836580754024908,0.02930669696070254,0.02930669696070254,0
object0_world0,cut_required,15, dough,1.147316813468933,3.375,20,40,0.7109375, must,0,0.0014138271217234433,0.0017460191156715155,0.0017460191156715155,0
object0_world0,cut_required,16, must,0.07379212975502014,5.0,20,40,1.04296875, rest,0,0.008061986067332327,0.0071212142938748,0.0071212142938748,0
object0_world0,cut_required,17, rest,0.09464529156684875,6.4375,20,40,-1.09375, for,0,0.004541483242064714,0.01152732054470107,0.012189720524474978,0
object0_world0,cut_required,18, for,1.631416916847229,2.625,20,40,-1.5625, ,0,0.005462627916131169,0.0028176154009997845,0.0025257139932364225,0
object0_world0,cut_required,19, ,3.161593198776245,0.125,20,40,-0.125,40,0,0.007664140604902059,0.014166611828841269,0.014744801330380142,1
object0_world0,cut_competitor,0,"

",0.7736109495162964,1.875,20,40,4.3125,The,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,1,I,1.9593839645385742,0.875,20,40,0.421875, don,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,2, will,3.3560948371887207,0.625,20,40,0.859375, keep,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,3, use,0.9499949216842651,2.0,20,40,0.21875, the,0,0.0015956563875079155,0.0015956563875079155,0.0015956563875079155,0
object0_world0,cut_competitor,4, the,2.3029956817626953,0.125,20,40,-0.078125, given,0,0.004436225804965943,0.004436225804965943,0.004436225804965943,0
object0_world0,cut_competitor,5, stated,0.2587733268737793,3.125,20,40,0.328125, facts,0,0.0010565491975285113,0.0010565491975285113,0.0010565491975285113,0
object0_world0,cut_competitor,6, facts,1.2997938394546509,2.25,20,40,0.6484375, to,0,0.0017494741478003561,0.0017494741478003561,0.0017494741478003561,0
object0_world0,cut_competitor,7, to,1.7575979232788086,0.375,20,40,0.171875, complete,0,0.002205272438004613,0.002205272438004613,0.002205272438004613,0
object0_world0,cut_competitor,8, identify,1.75205659866333,2.0,20,40,1.5078125, the,0,0.004616802674718201,0.004616802674718201,0.004616802674718201,0
object0_world0,cut_competitor,9, the,1.1687825918197632,2.0,20,40,-0.046875, object,0,0.012261920550372452,0.01461379457032308,0.01461379457032308,0
