condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
object0_world0,full,0,"

",2.622636079788208,0.375,10,20,4.75,There,0,0.0,0.0,0.0,0
object0_world0,full,1,I,1.468842625617981,1.375,10,20,0.38671875, don,0,0.0,0.0,0.0,0
object0_world0,full,2, will,2.6142959594726562,1.125,10,20,1.984375, keep,0,0.0,0.0,0.0,0
object0_world0,full,3, use,0.7451398372650146,2.0,10,20,0.328125, the,0,0.0019621019018813968,0.0019621019018813968,0.0019621019018813968,0
object0_world0,full,4, the,1.5518925189971924,1.125,10,20,1.21875, given,0,0.006239504262339324,0.006239504262339324,0.006239504262339324,0
object0_world0,full,5, stated,0.05519383028149605,5.25,10,20,0.9453125, facts,0,0.0015985285863280296,0.0015985285863280296,0.0015985285863280296,0
object0_world0,full,6, facts,1.4249145984649658,1.75,10,20,0.93359375, to,0,0.0026591659989207983,0.0026591659989207983,0.0026591659989207983,0
object0_world0,full,7, to,1.7016396522521973,1.125,10,20,1.76171875, answer,0,0.0022335349931381643,0.0022335349931381643,0.0022335349931381643,0
object0_world0,full,8, identify,1.4787678718566895,2.0,10,20,1.0322265625, the,0,0.011391582433134317,0.011391582433134317,0.011391582433134317,0
object0_world0,full,9, the,2.3220901489257812,0.25,10,20,1.08984375, objects,0,0.013446302735246718,0.016095960105303675,0.016095960105303675,0
object0_world0,full,10, required,1.508527159690857,0.5,10,20,0.1328125, information,0,0.0007628445164300501,0.0004654608201235533,0.0004654608201235533,0
object0_world0,full,11, value,2.4601047039031982,0.75,10,20,0.328125,.,0,0.008247867866884917,0.011589973233640194,0.011589973233640194,0
object0_world0,full,12,".
",3.301440715789795,0.125,10,20,4.625,The,0,0.01054457965074107,0.006707532855216414,0.006707532855216414,0
object0_world0,full,13,The,1.3959453105926514,2.0,10,20,1.3359375, blue,0,0.008358102990314364,0.013239853258710355,0.013239853258710355,0
object0_world0,full,14, blue,0.014498844742774963,7.0,10,20,1.71875, box,0,0.01783585734665394,0.03090181585866958,0.03090181585866958,0
object0_world0,full,15, box,0.17722007632255554,5.5,10,20,1.453125, contains,0,0.0013425350771285594,0.001094058621674776,0.001094058621674776,0
object0_world0,full,16, contains,0.13441449403762817,5.75,10,20,8.71875, ,0,0.003490883798804134,0.0030899490229785442,0.0030899490229785442,0
object0_world0,full,17, ,0.04234439134597778,6.125,10,20,12.4375,10,0,0.006849263969343156,0.011440562957432121,0.011919084237888455,1
object0_world0,cut_required,0,"

",2.509354591369629,0.25,10,20,0.625,There,0,0.0,0.0,0.0,0
object0_world0,cut_required,1,I,1.34617280960083,1.75,10,20,0.525390625, don,0,0.0,0.0,0.0,0
object0_world0,cut_required,2, will,2.779318332672119,1.0,10,20,2.03515625, keep,0,0.0,0.0,0.0,0
object0_world0,cut_required,3, use,0.731877863407135,2.25,10,20,0.0625, the,0,0.0013391164247877896,0.0013391164247877896,0.0013391164247877896,0
object0_world0,cut_required,4, the,1.5461658239364624,1.125,10,20,1.1484375, given,0,0.004596183891408145,0.004596183891408145,0.004596183891408145,0
object0_world0,cut_required,5, stated,0.03812512755393982,5.875,10,20,1.046875, facts,0,0.0014014897751621902,0.0014014897751621902,0.0014014897751621902,0
object0_world0,cut_required,6, facts,1.3608778715133667,2.0,10,20,0.99609375, to,0,0.0023877210915088654,0.0023877210915088654,0.0023877210915088654,0
object0_world0,cut_required,7, to,1.880073070526123,0.875,10,20,1.810546875, answer,0,0.0013506318209692836,0.0013506318209692836,0.0013506318209692836,0
object0_world0,cut_required,8, identify,1.6500020027160645,1.75,10,20,0.970703125, the,0,0.008447658910881728,0.008447658910881728,0.008447658910881728,0
object0_world0,cut_required,9, the,1.9919331073760986,0.5,10,20,1.16796875, objects,0,0.010472995578311384,0.012531526444945484,0.012531526444945484,0
object0_world0,cut_required,10, required,1.4136171340942383,0.5,10,20,0.2265625, information,0,0.0006006670300848782,0.00022338679991662502,0.00022338679991662502,0
object0_world0,cut_required,11, value,2.503690242767334,0.875,10,20,-0.359375,.,0,0.006819190515670925,0.009320404846221209,0.009320404846221209,0
object0_world0,cut_required,12,".
",3.252657413482666,0.8125,10,20,0.1875," 
",0,0.009438347187824547,0.004461993521545082,0.004461993521545082,0
object0_world0,cut_required,13,The,2.339519500732422,0.25,10,20,1.28125, red,0,0.006178576790262014,0.009611748100724071,0.009611748100724071,0
object0_world0,cut_required,14, blue,0.9821861982345581,2.5,10,20,1.30078125, box,0,0.011463590955827385,0.018004527606535703,0.018004527606535703,0
object0_world0,cut_required,15, box,2.2241649627685547,1.125,10,20,0.33349609375, is,0,0.0019705223967321217,0.0034540292690508068,0.0034540292690508068,0
object0_world0,cut_required,16, contains,1.5945312976837158,2.5,10,20,1.21875, ,0,0.004365599539596587,0.004872913006693125,0.004872913006693125,0
object0_world0,cut_required,17, ,3.0089988708496094,0.125,10,20,2.0,15,0,0.007444327988196164,0.012365120346657932,0.012885507545433939,1
object0_world0,cut_competitor,0,"

",2.712663173675537,0.5,10,20,6.0,There,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,1,I,1.5778998136520386,0.75,10,20,0.3515625, don,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,2, will,2.6955490112304688,1.125,10,20,1.953125, keep,0,0.0,0.0,0.0,0
object0_world0,cut_competitor,3, use,0.7034149169921875,2.125,10,20,0.578125, the,0,0.0015657964977435768,0.0015657964977435768,0.0015657964977435768,0
object0_world0,cut_competitor,4, the,1.5125133991241455,1.125,10,20,1.234375, given,0,0.00433991540921852,0.00433991540921852,0.00433991540921852,0
object0_world0,cut_competitor,5, stated,0.07139386981725693,4.75,10,20,0.9375, facts,0,0.0011074674548581243,0.0011074674548581243,0.0011074674548581243,0
object0_world0,cut_competitor,6, facts,1.491390347480774,1.75,10,20,0.94921875, to,0,0.0018100744346156716,0.0018100744346156716,0.0018100744346156716,0
object0_world0,cut_competitor,7, to,1.7691394090652466,0.875,10,20,1.875, answer,0,0.0012967741349712014,0.0012967741349712014,0.0012967741349712014,0
object0_world0,cut_competitor,8, identify,1.8202087879180908,1.0,10,20,1.1123046875, the,0,0.008453312097117305,0.008453312097117305,0.008453312097117305,0
object0_world0,cut_competitor,9, the,1.3199399709701538,1.875,10,20,1.419921875, object,0,0.010925529873929918,0.013140670431312174,0.013140670431312174,0
object0_world0,cut_competitor,10, required,1.467961311340332,0.375,10,20,0.5703125, information,0,0.0007064808742143214,0.00030633952701464295,0.00030633952701464295,0
object0_world0,cut_competitor,11, value,2.4344191551208496,0.625,10,20,0.46875,.,0,0.0070954051916487515,0.009784082358237356,0.009784082358237356,0
object0_world0,cut_competitor,12,".
",2.9720194339752197,0.125,10,20,5.4375," 
",0,0.008678045822307467,0.004253035061992705,0.004253035061992705,0
object0_world0,cut_competitor,13,The,1.273803949356079,1.375,10,20,1.453125, blue,0,0.007247721776366234,0.010800746036693454,0.010800746036693454,0
object0_world0,cut_competitor,14, blue,0.038174040615558624,5.375,10,20,1.46337890625, box,0,0.018521212798077613,0.03279850597027689,0.03279850597027689,0
object0_world0,cut_competitor,15, box,0.5142182111740112,4.125,10,20,1.65625, contains,0,0.0014728420646861196,0.0013674685033038259,0.0013674685033038259,0
object0_world0,cut_competitor,16, contains,0.6379762887954712,3.75,10,20,7.484375, ,0,0.0044506501872092485,0.0035263363388366997,0.0035263363388366997,0
object0_world0,cut_competitor,17, ,0.08570685982704163,5.125,10,20,10.75,10,0,0.011815154924988747,0.016605460084974766,0.01707354368409142,1
object0_world0,local16,0,"

",3.0075860023498535,1.25,10,20,1.5625,It,0,0.0,0.0,0.0,0
object0_world0,local16,1,I,1.3382387161254883,0.0,10,20,0.4638671875,'m,0,0.0,0.0,0.0,0
