condition,variant,step,layer,before_attention,after_attention,after_mlp
object0_world0,full,0,0,-1.9854499101638794,0.00031888484954833984,-0.2287425994873047
object0_world0,full,0,1,-0.2287425994873047,0.8821278214454651,0.6976323127746582
object0_world0,full,0,2,0.6976323127746582,1.2530031204223633,1.050657033920288
object0_world0,full,0,3,1.050657033920288,1.030144453048706,2.3587491512298584
object0_world0,full,0,4,2.3587491512298584,3.306703567504883,3.7001991271972656
object0_world0,full,0,5,3.7001991271972656,3.097059726715088,-0.27254581451416016
object0_world0,full,0,6,-0.27254581451416016,0.10288441181182861,1.7164645195007324
object0_world0,full,0,7,1.7164645195007324,1.99277663230896,2.8154797554016113
object0_world0,full,0,8,2.8154797554016113,2.595083713531494,2.5226306915283203
object0_world0,full,0,9,2.5226306915283203,3.598923683166504,1.9403191804885864
object0_world0,full,0,10,1.9403191804885864,2.0899832248687744,-1.9503910541534424
object0_world0,full,0,11,-1.9503910541534424,-1.4200594425201416,-1.332266092300415
object0_world0,full,0,12,-1.332266092300415,-1.5226986408233643,-0.7126296758651733
object0_world0,full,0,13,-0.7126296758651733,1.3159929513931274,-0.7524579167366028
object0_world0,full,0,14,-0.7524579167366028,-0.5003435015678406,0.570973813533783
object0_world0,full,0,15,0.570973813533783,1.7791674137115479,1.7530550956726074
object0_world0,full,0,16,1.7530550956726074,0.985243558883667,1.1578662395477295
object0_world0,full,0,17,1.1578662395477295,0.3532348871231079,0.0876736044883728
object0_world0,full,0,18,0.0876736044883728,-0.42936450242996216,0.27557969093322754
object0_world0,full,0,19,0.27557969093322754,0.6231784820556641,0.5862127542495728
object0_world0,full,0,20,0.5862127542495728,0.471057653427124,1.2016003131866455
object0_world0,full,0,21,1.2016003131866455,0.8865135908126831,1.1295301914215088
object0_world0,full,0,22,1.1295301914215088,0.5431824922561646,0.7743725776672363
object0_world0,full,0,23,0.7743725776672363,0.6038787961006165,0.5781168937683105
object0_world0,full,0,24,0.5781168937683105,0.19430404901504517,0.8546593189239502
object0_world0,full,0,25,0.8546593189239502,0.8800705075263977,1.071739912033081
object0_world0,full,0,26,1.071739912033081,1.2225390672683716,1.3217799663543701
object0_world0,full,0,27,1.3217799663543701,1.0911064147949219,2.001908779144287
object0_world0,full,0,28,2.001908779144287,1.4385035037994385,1.1734602451324463
object0_world0,full,0,29,1.1734602451324463,1.3307883739471436,1.360595464706421
object0_world0,full,0,30,1.360595464706421,2.700955629348755,2.2625012397766113
