condition,variant,step,query,entropy,top_margin,candidate_a,candidate_b,candidate_margin,top_token,expected_candidate,revisit8,revisit16,revisit32,is_value_slot
object0_world0,full,0,"

",2.4709699153900146,0.625,15,30,1.875,The,0,0.0,0.0,0.0,0
object0_world0,full,1,I,1.6845866441726685,1.25,15,30,-1.97265625, don,0,0.0,0.0,0.0,0
object0_world0,full,2, will,2.8037116527557373,1.0,15,30,0.61279296875, keep,0,0.0,0.0,0.0,0
object0_world0,full,3, use,1.413322925567627,2.625,15,30,0.359375, the,0,0.0023521585972048342,0.0023521585972048342,0.0023521585972048342,0
object0_world0,full,4, the,2.494447708129883,0.875,15,30,0.96875, given,0,0.0067213805741630495,0.0067213805741630495,0.0067213805741630495,0
object0_world0,full,5, stated,0.3225356936454773,3.625,15,30,1.3984375, facts,0,0.0018416807288303971,0.0018416807288303971,0.0018416807288303971,0
object0_world0,full,6, facts,1.3380125761032104,2.5,15,30,1.8125, to,0,0.0024093760875985026,0.0024093760875985026,0.0024093760875985026,0
object0_world0,full,7, to,2.3712973594665527,0.5,15,30,0.21875, complete,0,0.002833036705851555,0.002833036705851555,0.002833036705851555,0
object0_world0,full,8, identify,1.0738084316253662,2.875,15,30,0.640625, the,0,0.007007706677541137,0.007007706677541137,0.007007706677541137,0
object0_world0,full,9, the,1.9113590717315674,0.125,15,30,-0.1328125, constraints,0,0.018295380636118352,0.021143282006960362,0.021143282006960362,0
object0_world0,full,10, required,2.685427665710449,0.25,15,30,0.08203125, wait,0,0.003988344629760832,0.0042744792881421745,0.0042744792881421745,0
object0_world0,full,11, value,2.6486899852752686,0.125,15,30,1.25,.,0,0.003808988258242607,0.004072737705428153,0.004072737705428153,0
object0_world0,full,12,".
",3.282679796218872,0.375,15,30,1.875,Object,0,0.010716147138737142,0.00652838806854561,0.00652838806854561,0
object0_world0,full,13,The,2.783327579498291,0.25,15,30,-0.484375, north,0,0.010610948200337589,0.015829972049687058,0.015829972049687058,0
object0_world0,full,14, north,0.02574284002184868,7.125,15,30,-2.904296875,bound,0,0.02303868910530582,0.03821001556934789,0.03821001556934789,0
object0_world0,full,15,bound,0.21287332475185394,4.375,15,30,-0.9296875, train,0,0.0008292941492982209,0.0009648720733821392,0.0009648720733821392,0
object0_world0,full,16, train,0.571078360080719,4.0,15,30,0.232421875, must,0,0.004471113032195717,0.0033853083732537925,0.0033853083732537925,0
object0_world0,full,17, must,0.028210924938321114,7.375,15,30,0.109375, wait,0,0.004391401831526309,0.00500422710319981,0.004984921426512301,0
object0_world0,full,18, wait,0.23172596096992493,3.625,15,30,2.3125, for,0,0.008332287659868598,0.01655340351862833,0.01774711045436561,0
object0_world0,full,19, for,0.28102993965148926,4.25,15,30,7.578125, ,0,0.0021956178825348616,0.0018862216384150088,0.0017168904887512326,0
object0_world0,full,20, ,0.10250025242567062,4.625,15,30,8.6875,15,0,0.019967513624578714,0.021502288756892085,0.022305493417661637,1
object0_world0,cut_required,0,"

",2.7253153324127197,0.25,15,30,-0.25,It,0,0.0,0.0,0.0,0
object0_world0,cut_required,1,I,1.5589711666107178,1.25,15,30,-2.20703125, don,0,0.0,0.0,0.0,0
object0_world0,cut_required,2, will,2.6978445053100586,0.875,15,30,0.63720703125, keep,0,0.0,0.0,0.0,0
object0_world0,cut_required,3, use,1.269158124923706,2.75,15,30,0.046875, the,0,0.0019196842331439257,0.0019196842331439257,0.0019196842331439257,0
object0_world0,cut_required,4, the,2.2784907817840576,0.875,15,30,0.734375, given,0,0.004939864680636674,0.004939864680636674,0.004939864680636674,0
object0_world0,cut_required,5, stated,0.18924671411514282,4.125,15,30,1.25, facts,0,0.0015303762629628181,0.0015303762629628181,0.0015303762629628181,0
object0_world0,cut_required,6, facts,1.1813188791275024,2.75,15,30,1.875, to,0,0.002270026772748679,0.002270026772748679,0.002270026772748679,0
object0_world0,cut_required,7, to,2.366701602935791,0.5,15,30,0.15234375, complete,0,0.00210549432085827,0.00210549432085827,0.00210549432085827,0
object0_world0,cut_required,8, identify,1.1814032793045044,2.5,15,30,0.203125, the,0,0.005863200698513538,0.005863200698513538,0.005863200698513538,0
object0_world0,cut_required,9, the,1.8363697528839111,0.125,15,30,-0.34375, object,0,0.013755314575973898,0.015980719996150583,0.015980719996150583,0
object0_world0,cut_required,10, required,1.8651913404464722,0.375,15,30,-0.484375, information,0,0.0010605260031297803,0.000816013605799526,0.000816013605799526,0
object0_world0,cut_required,11, value,2.7087583541870117,0.75,15,30,0.84375,.,0,0.007735330204013735,0.010659351944923401,0.010659351944923401,0
object0_world0,cut_required,12,".
",3.285844087600708,0.25,15,30,-0.625,Object,0,0.008599494583904743,0.003964543342590332,0.003964543342590332,0
object0_world0,cut_required,13,The,3.21528959274292,0.75,15,30,-0.75, object,0,0.008275090251117945,0.011708603356964886,0.011708603356964886,0
object0_world0,cut_required,14, north,1.2657339572906494,2.25,15,30,-2.607421875,bound,0,0.017547590425238013,0.030815622536465526,0.030815622536465526,0
object0_world0,cut_required,15,bound,1.3477911949157715,1.75,15,30,-0.9375, train,0,0.0015562213375233114,0.0019141071825288236,0.0019141071825288236,0
object0_world0,cut_required,16, train,2.321554660797119,1.375,15,30,-0.55078125, must,0,0.004479150637052953,0.0033020927221514285,0.0033020927221514285,0
