window,prediction_step,only_margin_change,full_minus_leave_one_out,only_argmax,leave_argmax
grill,93,0.0,0.0,14,12
grill,94,0.0,0.0,14,12
grill,95,0.0,-0.125,14,12
grill,96,-0.125,-0.125,14,12
grill,97,-1.125,-0.5,14,12
grill,98,-0.125,0.0,14,12
grill,99,-15.125,-14.875,12,14
onion,119,0.0,0.0,12,14
onion,120,0.0,0.0,12,14
onion,121,0.0,0.125,12,14
onion,122,0.0,0.0,12,14
onion,123,-0.125,0.125,12,14
onion,124,0.0,0.0,12,14
onion,125,0.0,0.0,12,14
onion,126,0.125,0.125,12,14
onion,127,0.0,0.0,12,14
onion,128,0.125,0.25,12,14
onion,129,1.5,1.125,12,14
onion,130,0.0,0.0,12,14
onion,131,17.25,16.875,14,12
