condition,window,layer_count,query_count,factor,margin,margin_change,argmax_id,argmax_text,js_nats,argmax_changed
four_grill_query_x,grill,4,1,x,1.875,-5.25,975,14,0.04628586024045944,False
four_grill_query_e,grill,4,1,e,6.625,-0.5,975,14,4.100576916243881e-05,False
four_grill_query_xe,grill,4,1,xe,2.75,-4.375,975,14,0.019445843994617462,False
four_grill_query_mlp,grill,4,1,mlp,6.75,-0.375,975,14,8.468093437841162e-05,False
four_grill_window_x,grill,4,7,x,1.625,-5.5,975,14,0.05843460187315941,False
four_grill_window_e,grill,4,7,e,6.75,-0.375,975,14,2.0265164494048804e-05,False
four_grill_window_xe,grill,4,7,xe,2.5,-4.625,975,14,0.025094160810112953,False
four_grill_window_mlp,grill,4,7,mlp,6.625,-0.5,975,14,9.392405627295375e-05,False
four_grill_history_x,grill,4,100,x,1.75,-5.375,975,14,0.05204460769891739,False
four_grill_history_e,grill,4,100,e,6.75,-0.375,975,14,2.0374056475702673e-05,False
four_grill_history_xe,grill,4,100,xe,2.375,-4.75,975,14,0.028466764837503433,False
four_grill_history_mlp,grill,4,100,mlp,6.625,-0.5,975,14,9.663593664299697e-05,False
four_onion_query_x,onion,4,1,x,-7.875,2.5,717,12,0.00024169040261767805,False
four_onion_query_e,onion,4,1,e,-10.5,-0.125,717,12,7.535169970651623e-06,False
four_onion_query_xe,onion,4,1,xe,-7.75,2.625,717,12,0.00015578686725348234,False
four_onion_query_mlp,onion,4,1,mlp,-8.125,2.25,717,12,0.00014740531332790852,False
four_onion_window_x,onion,4,13,x,-7.5,2.875,717,12,0.00030493870144709945,False
four_onion_window_e,onion,4,13,e,-10.375,0.0,717,12,2.794109968817793e-05,False
four_onion_window_xe,onion,4,13,xe,-7.25,3.125,717,12,0.0003124718787148595,False
four_onion_window_mlp,onion,4,13,mlp,-7.875,2.5,717,12,0.00023380514176096767,False
four_onion_history_x,onion,4,132,x,-6.875,3.5,717,12,0.000860565691255033,False
four_onion_history_e,onion,4,132,e,-10.25,0.125,717,12,8.897031875676475e-06,False
four_onion_history_xe,onion,4,132,xe,-6.75,3.625,717,12,0.0005314737209118903,False
four_onion_history_mlp,onion,4,132,mlp,-7.875,2.5,717,12,0.00017641372687648982,False
all_grill_query_x,grill,32,1,x,-8.0,-15.125,717,12,0.6879923343658447,True
all_grill_query_e,grill,32,1,e,7.75,0.625,975,14,7.920553616713732e-05,False
all_grill_query_xe,grill,32,1,xe,-3.25,-10.375,717,12,0.6091490983963013,True
all_grill_query_mlp,grill,32,1,mlp,1.875,-5.25,975,14,0.04785331338644028,False
all_grill_window_x,grill,32,7,x,-9.0,-16.125,717,12,0.6888985633850098,True
all_grill_window_e,grill,32,7,e,7.875,0.75,975,14,7.97874090494588e-05,False
all_grill_window_xe,grill,32,7,xe,-4.25,-11.375,717,12,0.652407705783844,True
all_grill_window_mlp,grill,32,7,mlp,1.375,-5.75,975,14,0.07553395628929138,False
all_grill_history_x,grill,32,100,x,-9.125,-16.25,717,12,0.6889570951461792,True
all_grill_history_e,grill,32,100,e,7.75,0.625,975,14,7.869102410040796e-05,False
all_grill_history_xe,grill,32,100,xe,-4.25,-11.375,717,12,0.6523948907852173,True
all_grill_history_mlp,grill,32,100,mlp,1.375,-5.75,975,14,0.07545249164104462,False
all_onion_query_x,onion,32,1,x,6.875,17.25,975,14,0.6849310994148254,True
all_onion_query_e,onion,32,1,e,-10.5,-0.125,717,12,0.00019216093642171472,False
all_onion_query_xe,onion,32,1,xe,5.5,15.875,975,14,0.6766870021820068,True
all_onion_query_mlp,onion,32,1,mlp,-1.75,8.625,717,12,0.058610960841178894,False
all_onion_window_x,onion,32,13,x,8.125,18.5,975,14,0.6879925727844238,True
all_onion_window_e,onion,32,13,e,-10.375,0.0,717,12,0.00014808704145252705,False
all_onion_window_xe,onion,32,13,xe,7.25,17.625,975,14,0.688014030456543,True
all_onion_window_mlp,onion,32,13,mlp,-1.375,9.0,717,12,0.08094251155853271,False
all_onion_history_x,onion,32,132,x,8.0,18.375,975,14,0.6886829733848572,True
all_onion_history_e,onion,32,132,e,-9.5,0.875,717,12,0.00016593508189544082,False
all_onion_history_xe,onion,32,132,xe,6.75,17.125,975,14,0.6870682239532471,True
all_onion_history_mlp,onion,32,132,mlp,-0.875,9.5,717,12,0.11709754168987274,False
only_grill_93,grill,32,1,x,7.125,0.0,975,14,8.980496204458177e-07,False
leave_grill_93,grill,32,6,x,-9.0,-16.125,717,12,0.6888878345489502,True
only_grill_94,grill,32,1,x,7.125,0.0,975,14,4.4956641431781463e-07,False
leave_grill_94,grill,32,6,x,-9.0,-16.125,717,12,0.6888880729675293,True
only_grill_95,grill,32,1,x,7.125,0.0,975,14,2.098513959936099e-06,False
leave_grill_95,grill,32,6,x,-8.875,-16.0,717,12,0.6888012886047363,True
only_grill_96,grill,32,1,x,7.0,-0.125,975,14,3.830162313533947e-06,False
leave_grill_96,grill,32,6,x,-8.875,-16.0,717,12,0.688819169998169,True
only_grill_97,grill,32,1,x,6.0,-1.125,975,14,0.00023626949405297637,False
leave_grill_97,grill,32,6,x,-8.5,-15.625,717,12,0.6885526180267334,True
only_grill_98,grill,32,1,x,7.0,-0.125,975,14,6.038397259544581e-06,False
leave_grill_98,grill,32,6,x,-9.0,-16.125,717,12,0.688896656036377,True
only_grill_99,grill,32,1,x,-8.0,-15.125,717,12,0.6879923343658447,True
leave_grill_99,grill,32,6,x,5.875,-1.25,975,14,0.0003164957161061466,False
endpoint_grill_query,grill,32,1,endpoint_swap,-6.375,-13.5,717,12,0.6832017302513123,True
endpoint_grill_window,grill,32,7,endpoint_swap,-7.125,-14.25,717,12,0.6861818432807922,True
endpoint_grill_history,grill,32,100,endpoint_swap,-7.625,-14.75,717,12,0.6873812675476074,True
only_onion_119,onion,32,1,x,-10.375,0.0,717,12,1.8046421246253885e-08,False
leave_onion_119,onion,32,12,x,8.125,18.5,975,14,0.6874343156814575,True
only_onion_120,onion,32,1,x,-10.375,0.0,717,12,3.194817327312194e-05,False
leave_onion_120,onion,32,12,x,8.125,18.5,975,14,0.687812089920044,True
only_onion_121,onion,32,1,x,-10.375,0.0,717,12,3.194578312104568e-05,False
leave_onion_121,onion,32,12,x,8.0,18.375,975,14,0.6874687075614929,True
only_onion_122,onion,32,1,x,-10.375,0.0,717,12,7.51525931264041e-06,False
leave_onion_122,onion,32,12,x,8.125,18.5,975,14,0.687992513179779,True
only_onion_123,onion,32,1,x,-10.5,-0.125,717,12,6.960647169762524e-08,False
leave_onion_123,onion,32,12,x,8.0,18.375,975,14,0.6876547932624817,True
only_onion_124,onion,32,1,x,-10.375,0.0,717,12,1.957637252303357e-08,False
leave_onion_124,onion,32,12,x,8.125,18.5,975,14,0.687812089920044,True
only_onion_125,onion,32,1,x,-10.375,0.0,717,12,6.6400270952726714e-06,False
leave_onion_125,onion,32,12,x,8.125,18.5,975,14,0.6876260042190552,True
only_onion_126,onion,32,1,x,-10.25,0.125,717,12,7.779784937156364e-06,False
leave_onion_126,onion,32,12,x,8.0,18.375,975,14,0.6876522302627563,True
only_onion_127,onion,32,1,x,-10.375,0.0,717,12,1.509600622284779e-07,False
leave_onion_127,onion,32,12,x,8.125,18.5,975,14,0.6876232624053955,True
only_onion_128,onion,32,1,x,-10.25,0.125,717,12,2.4067446702247253e-07,False
leave_onion_128,onion,32,12,x,7.875,18.25,975,14,0.687293291091919,True
only_onion_129,onion,32,1,x,-8.875,1.5,717,12,2.882222725020256e-05,False
leave_onion_129,onion,32,12,x,7.0,17.375,975,14,0.6853415966033936,True
only_onion_130,onion,32,1,x,-10.375,0.0,717,12,6.581504749192391e-06,False
leave_onion_130,onion,32,12,x,8.125,18.5,975,14,0.6881718635559082,True
only_onion_131,onion,32,1,x,6.875,17.25,975,14,0.6849310994148254,True
leave_onion_131,onion,32,12,x,-8.75,1.625,717,12,6.684775871690363e-05,False
endpoint_onion_query,onion,32,1,endpoint_swap,7.375,17.75,975,14,0.687097430229187,True
endpoint_onion_window,onion,32,13,endpoint_swap,8.375,18.75,975,14,0.6886345148086548,True
endpoint_onion_history,onion,32,132,endpoint_swap,8.0,18.375,975,14,0.6896659135818481,True
