window,layer,scope,factor,margin,margin_change,js_nats,argmax_changed
grill,7,query,x,7.0,-0.125,2.5771405489649624e-06,False
grill,7,query,e,7.125,0.0,1.0576613931334578e-06,False
grill,7,query,xe,7.125,0.0,7.423027454933617e-07,False
grill,7,query,mlp,7.0,-0.125,3.080245733144693e-06,False
grill,7,window,x,7.125,0.0,2.954055560167035e-07,False
grill,7,window,e,7.125,0.0,8.934690640671761e-07,False
grill,7,window,xe,7.0,-0.125,4.26947826781543e-06,False
grill,7,window,mlp,7.0,-0.125,7.020509201538516e-06,False
onion,7,query,x,-10.375,0.0,2.724866590142483e-07,False
onion,7,query,e,-10.375,0.0,7.4960994425055105e-06,False
onion,7,query,xe,-10.375,0.0,7.487006769224536e-06,False
onion,7,query,mlp,-10.375,0.0,7.491520591429435e-06,False
onion,7,window,x,-10.375,0.0,3.1949377444107085e-05,False
onion,7,window,e,-10.375,0.0,3.0121267968752363e-07,False
onion,7,window,xe,-10.375,0.0,6.635595127590932e-06,False
onion,7,window,mlp,-10.375,0.0,6.582675268873572e-06,False
grill,15,query,x,4.25,-2.875,0.0036493176594376564,False
grill,15,query,e,7.0,-0.125,4.056593752466142e-06,False
grill,15,query,xe,5.0,-2.125,0.0013657697709277272,False
grill,15,query,mlp,6.875,-0.25,1.5401670680148527e-05,False
grill,15,window,x,3.875,-3.25,0.005720320623368025,False
grill,15,window,e,6.875,-0.25,1.1295170224911999e-05,False
grill,15,window,xe,4.75,-2.375,0.0019363934407010674,False
grill,15,window,mlp,6.875,-0.25,2.1481060684891418e-05,False
onion,15,query,x,-9.5,0.875,1.984975824598223e-05,False
onion,15,query,e,-10.375,0.0,6.706245585519355e-06,False
onion,15,query,xe,-9.5,0.875,1.7354279407300055e-05,False
onion,15,query,mlp,-10.75,-0.375,0.0009894722606986761,False
onion,15,window,x,-9.375,1.0,2.1663612642441876e-05,False
onion,15,window,e,-10.375,0.0,6.765886610082816e-06,False
onion,15,window,xe,-9.125,1.25,3.0434748623520136e-05,False
onion,15,window,mlp,-10.75,-0.375,0.000989633146673441,False
grill,23,query,x,4.125,-3.0,0.00421406514942646,False
grill,23,query,e,6.875,-0.25,9.956393114407547e-06,False
grill,23,query,xe,4.375,-2.75,0.003094845451414585,False
grill,23,query,mlp,6.125,-1.0,0.00017769286932889372,False
grill,23,window,x,4.125,-3.0,0.004213090054690838,False
grill,23,window,e,6.875,-0.25,8.012984835659154e-06,False
grill,23,window,xe,4.25,-2.875,0.003614692948758602,False
grill,23,window,mlp,6.125,-1.0,0.00017405310063622892,False
onion,23,query,x,-8.875,1.5,0.00016318699636030942,False
onion,23,query,e,-10.375,0.0,6.320385637081927e-07,False
onion,23,query,xe,-9.125,1.25,2.0100520487176254e-05,False
onion,23,query,mlp,-9.125,1.25,3.6674056900665164e-05,False
onion,23,window,x,-8.625,1.75,0.00010689959162846208,False
onion,23,window,e,-10.5,-0.125,3.1629150498702074e-07,False
onion,23,window,xe,-8.875,1.5,2.846635106834583e-05,False
onion,23,window,mlp,-9.125,1.25,6.43213206785731e-05,False
grill,31,query,x,7.0,-0.125,2.874593064916553e-06,False
grill,31,query,e,7.125,0.0,5.516529810734028e-08,False
grill,31,query,xe,7.125,0.0,5.360054444736306e-08,False
grill,31,query,mlp,8.0,0.875,0.00013121168012730777,False
grill,31,window,x,7.0,-0.125,2.874593064916553e-06,False
grill,31,window,e,7.125,0.0,5.516529810734028e-08,False
grill,31,window,xe,7.125,0.0,5.360054444736306e-08,False
grill,31,window,mlp,8.0,0.875,0.00013121168012730777,False
onion,31,query,x,-10.375,0.0,7.490439202229027e-06,False
onion,31,query,e,-10.5,-0.125,6.664669172096183e-08,False
onion,31,query,xe,-10.375,0.0,7.552364877483342e-06,False
onion,31,query,mlp,-8.875,1.5,7.464691589120775e-05,False
onion,31,window,x,-10.375,0.0,7.490439202229027e-06,False
onion,31,window,e,-10.5,-0.125,6.664669172096183e-08,False
onion,31,window,xe,-10.375,0.0,7.552364877483342e-06,False
onion,31,window,mlp,-8.875,1.5,7.464691589120775e-05,False
