trace,window,factor,before,after,js_nats,argmax_changed,saved_token_logp_change
00012,grill,a,000,100,0.00010745837062131613,False,-0.00010654283687472343
00012,onion,a,000,100,0.6895595788955688,True,-9.626697540283203
00012,grill,a,001,101,0.00010745837062131613,False,-0.00010654283687472343
00012,onion,a,001,101,0.6852279901504517,True,-6.5012712478637695
00012,grill,a,010,110,0.0011968482285737991,False,6.121367454528809
00012,onion,a,010,110,0.6868048906326294,True,-7.872858047485352
00012,grill,a,011,111,0.0011968482285737991,False,6.121367454528809
00012,onion,a,011,111,0.6861463785171509,True,-8.224088668823242
00012,grill,b,000,010,0.6897118091583252,True,-12.123863220214844
00012,onion,b,000,010,0.00033433944918215275,False,8.78884457051754e-05
00012,grill,b,001,011,0.6897118091583252,True,-12.123863220214844
00012,onion,b,001,011,0.007095648441463709,False,-0.027254126965999603
00012,grill,b,100,110,0.6812613010406494,True,-6.002388954162598
00012,onion,b,100,110,0.0010701750870794058,False,1.7539277076721191
00012,grill,b,101,111,0.6812613010406494,True,-6.002388954162598
00012,onion,b,101,111,0.0003532390983309597,False,-1.7500715255737305
00012,grill,h,000,001,1.5927403396176487e-08,False,0.0
00012,onion,h,000,001,0.00013306581240613014,False,0.0010860816109925508
00012,grill,h,010,011,2.2477943062426675e-08,False,0.0
00012,onion,h,010,011,0.007077683694660664,False,-0.026255935430526733
00012,grill,h,100,101,0.0,False,0.0
00012,onion,h,100,101,0.0007528270361945033,False,3.1265125274658203
00012,grill,h,110,111,8.36169355977745e-09,False,0.0
00012,onion,h,110,111,0.0005727160023525357,False,-0.3774867057800293
00013,grill,a,000,100,0.0003468992654234171,False,0.0005463291890919209
00013,correct_onion,a,000,100,0.007234074175357819,True,0.21267414093017578
00013,grill,a,001,101,0.0003468992654234171,False,0.0005463291890919209
00013,correct_onion,a,001,101,0.006566446274518967,False,-0.18835949897766113
00013,grill,a,010,110,0.01317514292895794,False,6.206967830657959
00013,correct_onion,a,010,110,0.0020594140514731407,False,0.11975902318954468
00013,grill,a,011,111,0.01317514292895794,False,6.206967830657959
00013,correct_onion,a,011,111,0.003243047744035721,False,-0.15176677703857422
00013,grill,b,000,010,0.6834799647331238,True,-9.745307922363281
00013,correct_onion,b,000,010,0.006745345890522003,True,0.22493869066238403
00013,grill,b,001,011,0.6834799647331238,True,-9.745307922363281
00013,correct_onion,b,001,011,0.003537798300385475,False,-0.1399480700492859
00013,grill,b,100,110,0.618822455406189,True,-3.538886547088623
00013,correct_onion,b,100,110,0.004316224716603756,False,0.13202357292175293
00013,grill,b,101,111,0.618822455406189,True,-3.538886547088623
00013,correct_onion,b,101,111,0.0019780751317739487,False,-0.10335534811019897
00013,grill,h,000,001,0.0,False,0.0
00013,correct_onion,h,000,001,0.01889663189649582,True,0.37760818004608154
00013,grill,h,010,011,2.1263527827386497e-08,False,0.0
00013,correct_onion,h,010,011,0.00023808260448276997,False,0.012721419334411621
00013,grill,h,100,101,2.3548221150804238e-08,False,0.0
00013,correct_onion,h,100,101,0.00034195929765701294,False,-0.02342545986175537
00013,grill,h,110,111,0.0,False,0.0
00013,correct_onion,h,110,111,0.00903906300663948,False,-0.2588043808937073
00014,grill,a,000,100,9.97034294414334e-05,False,0.00024764053523540497
00014,simmer_control,a,000,100,6.639617822656874e-06,False,1.4184901374392211e-05
00014,grill,a,001,101,9.97034294414334e-05,False,0.00024764053523540497
00014,simmer_control,a,001,101,6.639617822656874e-06,False,1.4184901374392211e-05
00014,grill,a,010,110,0.001660228706896305,False,6.744560718536377
00014,simmer_control,a,010,110,1.0205558282905258e-05,False,1.2039272405672818e-05
00014,grill,a,011,111,0.001660228706896305,False,6.744560718536377
00014,simmer_control,a,011,111,1.0205558282905258e-05,False,1.2039272405672818e-05
00014,grill,b,000,010,0.689583420753479,True,-12.248960494995117
00014,simmer_control,b,000,010,1.6835167571116472e-06,False,-1.1920201359316707e-07
00014,grill,b,001,011,0.689583420753479,True,-12.248960494995117
00014,simmer_control,b,001,011,1.6835167571116472e-06,False,-1.1920201359316707e-07
00014,grill,b,100,110,0.6776431798934937,True,-5.504647731781006
00014,simmer_control,b,100,110,8.702497211743321e-08,False,-2.26483098231256e-06
00014,grill,b,101,111,0.6776431798934937,True,-5.504647731781006
00014,simmer_control,b,101,111,8.702497211743321e-08,False,-2.26483098231256e-06
00014,grill,h,000,001,1.860050247159961e-08,False,0.0
00014,simmer_control,h,000,001,3.0780686888221e-09,False,0.0
00014,grill,h,010,011,3.3166600577061445e-09,False,0.0
00014,simmer_control,h,010,011,3.0856663890688196e-09,False,0.0
00014,grill,h,100,101,1.8605108564884176e-09,False,0.0
00014,simmer_control,h,100,101,2.000761778475635e-09,False,0.0
00014,grill,h,110,111,1.0648331105755915e-08,False,0.0
00014,simmer_control,h,110,111,2.2083308515163935e-09,False,0.0
00015,grill,a,000,100,0.0004794413107447326,False,0.0021715937182307243
00015,alternative_grill,a,000,100,9.211039468937088e-07,False,-2.6225352485198528e-06
00015,grill,a,001,101,0.0004794413107447326,False,0.0021715937182307243
00015,alternative_grill,a,001,101,0.00015494988474529237,False,-0.0007538289646618068
00015,grill,a,010,110,0.0106112752109766,False,6.841695785522461
00015,alternative_grill,a,010,110,0.00023692063405178487,False,-0.0015525911003351212
00015,grill,a,011,111,0.0106112752109766,False,6.841695785522461
00015,alternative_grill,a,011,111,7.895170028859866e-07,False,-1.3827797374688089e-05
00015,grill,b,000,010,0.686492919921875,True,-10.37369155883789
00015,alternative_grill,b,000,010,0.0003312951303087175,False,-0.0010331034427508712
00015,grill,b,001,011,0.686492919921875,True,-10.37369155883789
00015,alternative_grill,b,001,011,7.908934639999643e-05,False,0.00029463376267813146
00015,grill,b,100,110,0.6250261068344116,True,-3.534167528152466
00015,alternative_grill,b,100,110,0.0008750397246330976,False,-0.002583072055131197
00015,grill,b,101,111,0.6250261068344116,True,-3.534167528152466
00015,alternative_grill,b,101,111,0.00030465409508906305,False,0.0010346348863095045
00015,grill,h,000,001,0.0,False,0.0
00015,alternative_grill,h,000,001,8.002067625056952e-05,False,-0.0002967794716823846
00015,grill,h,010,011,0.0,False,0.0
00015,alternative_grill,h,010,011,0.00032863166416063905,False,0.0010309576755389571
00015,grill,h,100,101,1.2134925064799518e-08,False,0.0
00015,alternative_grill,h,100,101,0.0003233262395951897,False,-0.0010479858610779047
00015,grill,h,110,111,0.0,False,0.0
00015,alternative_grill,h,110,111,0.0008519641123712063,False,0.002569721080362797
