layer,window,margin,margin_change,argmax,argmax_changed,js_nats
0,grill,7.0,-0.125,14,False,5.302792033035075e-06
0,onion,-10.375,0.0,12,False,6.576781743206084e-06
1,grill,7.0,-0.125,14,False,3.6427827581064776e-06
1,onion,-10.375,0.0,12,False,7.570057277916931e-06
2,grill,7.0,-0.125,14,False,3.3954856917262077e-06
2,onion,-10.5,-0.125,12,False,7.156607040315066e-08
3,grill,7.0,-0.125,14,False,4.2696756281657144e-06
3,onion,-10.375,0.0,12,False,6.586419203813421e-06
4,grill,7.0,-0.125,14,False,3.7068591609568102e-06
4,onion,-10.375,0.0,12,False,7.708833436481655e-06
5,grill,7.0,-0.125,14,False,7.986212949617766e-06
5,onion,-10.5,-0.125,12,False,7.543701030954253e-06
6,grill,7.125,0.0,14,False,1.0664424507922377e-06
6,onion,-10.375,0.0,12,False,3.1938809115672484e-05
7,grill,7.0,-0.125,14,False,2.5771405489649624e-06
7,onion,-10.375,0.0,12,False,2.724866590142483e-07
8,grill,6.875,-0.25,14,False,1.2481641533668153e-05
8,onion,-10.25,0.125,12,False,3.234850009903312e-05
9,grill,7.0,-0.125,14,False,3.646870936790947e-06
9,onion,-10.375,0.0,12,False,1.6220678844547365e-07
10,grill,6.875,-0.25,14,False,1.2658916602958925e-05
10,onion,-10.375,0.0,12,False,7.563799954368733e-06
11,grill,7.0,-0.125,14,False,2.6834613890969194e-06
11,onion,-10.375,0.0,12,False,1.4410569804113038e-07
12,grill,7.125,0.0,14,False,6.803741143812658e-07
12,onion,-10.375,0.0,12,False,2.8456408784904852e-08
13,grill,6.875,-0.25,14,False,9.412795407115482e-06
13,onion,-10.5,-0.125,12,False,7.543555511801969e-06
14,grill,6.75,-0.375,14,False,2.948093242594041e-05
14,onion,-10.375,0.0,12,False,7.596230716444552e-06
15,grill,4.25,-2.875,14,False,0.0036493176594376564
15,onion,-9.5,0.875,12,False,1.984975824598223e-05
16,grill,3.625,-3.5,14,False,0.007576779928058386
16,onion,-7.25,3.125,12,False,0.00020390804274939
17,grill,6.875,-0.25,14,False,1.1357058610883541e-05
17,onion,-10.25,0.125,12,False,3.7560550936177606e-07
18,grill,6.25,-0.875,14,False,0.0001216608943650499
18,onion,-9.5,0.875,12,False,4.036767495563254e-05
19,grill,7.75,0.625,14,False,2.971024878206663e-05
19,onion,-10.75,-0.375,12,False,3.223730163881555e-05
20,grill,7.625,0.5,14,False,2.2007792722433805e-05
20,onion,-10.5,-0.125,12,False,1.4996930985944346e-06
21,grill,7.0,-0.125,14,False,3.4785480238497257e-06
21,onion,-10.5,-0.125,12,False,6.638942068093456e-06
22,grill,6.625,-0.5,14,False,3.5812296118820086e-05
22,onion,-9.375,1.0,12,False,0.00018124093185178936
23,grill,4.125,-3.0,14,False,0.00421406514942646
23,onion,-8.875,1.5,12,False,0.00016318699636030942
24,grill,5.125,-2.0,14,False,0.0011211534729227424
24,onion,-9.25,1.125,12,False,1.4158273188513704e-05
25,grill,7.75,0.625,14,False,3.310157990199514e-05
25,onion,-10.75,-0.375,12,False,8.047922165133059e-05
26,grill,7.625,0.5,14,False,2.3816088287276216e-05
26,onion,-10.625,-0.25,12,False,3.158563117722224e-07
27,grill,7.5,0.375,14,False,1.277501905860845e-05
27,onion,-9.5,0.875,12,False,0.00015201367205008864
28,grill,7.375,0.25,14,False,8.062883352977224e-06
28,onion,-10.375,0.0,12,False,7.697808541706763e-06
29,grill,7.125,0.0,14,False,3.297544708402711e-07
29,onion,-10.375,0.0,12,False,2.9236836951440637e-08
30,grill,6.5,-0.625,14,False,5.4429568990599364e-05
30,onion,-10.25,0.125,12,False,7.5858306445297785e-06
31,grill,7.0,-0.125,14,False,2.874593064916553e-06
31,onion,-10.375,0.0,12,False,7.490439202229027e-06
