trace,window,a,b,h,margin,argmax,max_ties
00012,grill,0,0,0,7.125,14,1
00012,onion,0,0,0,-10.375,12,1
00012,grill,0,0,1,7.125,14,1
00012,onion,0,0,1,-9.0,12,1
00012,grill,0,1,0,-12.125,12,1
00012,onion,0,1,0,-7.0,12,1
00012,grill,0,1,1,-12.125,12,1
00012,onion,0,1,1,-12.25,12,1
00012,grill,1,0,0,7.375,14,1
00012,onion,1,0,0,9.625,14,1
00012,grill,1,0,1,7.375,14,1
00012,onion,1,0,1,6.5,14,1
00012,grill,1,1,0,-6.0,12,1
00012,onion,1,1,0,7.875,14,1
00012,grill,1,1,1,-6.0,12,1
00012,onion,1,1,1,8.25,14,1
00013,grill,0,0,0,6.125,14,1
00013,correct_onion,0,0,0,, in,2
00013,grill,0,0,1,6.125,14,1
00013,correct_onion,0,0,1,, over,1
00013,grill,0,1,0,-9.75,12,1
00013,correct_onion,0,1,0,, over,1
00013,grill,0,1,1,-9.75,12,1
00013,correct_onion,0,1,1,, over,1
00013,grill,1,0,0,7.25,14,1
00013,correct_onion,1,0,0,, over,1
00013,grill,1,0,1,7.25,14,1
00013,correct_onion,1,0,1,, over,1
00013,grill,1,1,0,-3.5,12,1
00013,correct_onion,1,1,0,, over,1
00013,grill,1,1,1,-3.5,12,1
00013,correct_onion,1,1,1,, over,1
00014,grill,0,0,0,7.125,14,1
00014,simmer_control,0,0,0,,20,1
00014,grill,0,0,1,7.125,14,1
00014,simmer_control,0,0,1,,20,1
00014,grill,0,1,0,-12.25,12,1
00014,simmer_control,0,1,0,,20,1
00014,grill,0,1,1,-12.25,12,1
00014,simmer_control,0,1,1,,20,1
00014,grill,1,0,0,8.0,14,1
00014,simmer_control,1,0,0,,20,1
00014,grill,1,0,1,8.0,14,1
00014,simmer_control,1,0,1,,20,1
00014,grill,1,1,0,-5.5,12,1
00014,simmer_control,1,1,0,,20,1
00014,grill,1,1,1,-5.5,12,1
00014,simmer_control,1,1,1,,20,1
00015,grill,0,0,0,6.625,14,1
00015,alternative_grill,0,0,0,,10,1
00015,grill,0,0,1,6.625,14,1
00015,alternative_grill,0,0,1,,10,1
00015,grill,0,1,0,-10.375,12,1
00015,alternative_grill,0,1,0,,10,1
00015,grill,0,1,1,-10.375,12,1
00015,alternative_grill,0,1,1,,10,1
00015,grill,1,0,0,9.625,14,1
00015,alternative_grill,1,0,0,,10,1
00015,grill,1,0,1,9.625,14,1
00015,alternative_grill,1,0,1,,10,1
00015,grill,1,1,0,-3.5,12,1
00015,alternative_grill,1,1,0,,10,1
00015,grill,1,1,1,-3.5,12,1
00015,alternative_grill,1,1,1,,10,1
