step,query_position,query,token,shift,revisit,threshold,event,top1_probability,top2_margin,logit_entropy
0,293,"

",Based,,,,0,0.876939594745636,2.875,
1,294,Based, on,33.57448322103832,,,0,0.9999886155128479,11.625,
2,295, on, the,25.332850276769296,6.791054459289485,,0,0.9999504089355469,10.125,
3,296, the, given,20.58271093981072,5.1119384223785325,6.791054459289485,0,0.7004359364509583,1.375,
4,297, given, passages,19.805696249451596,5.854186233707926,6.707098657443937,0,0.9999465942382812,10.25,
5,298, passages,",",31.46507103781488,14.743175915874138,6.697367636731329,0,0.8508771061897278,1.75,
6,299,",", here,28.63015556395503,13.217194499872287,13.550357697386437,0,0.8769245743751526,2.0,
7,300, here,'s,28.43399815372549,11.709747890437388,14.437979632673768,0,0.5061455368995667,0.25,
8,301,'s, a,18.69951786201412,5.334543257955812,14.361680561873676,0,0.9235337972640991,2.5,
9,302, a, brief,23.91969514966297,8.574338676970502,14.285381491073581,0,0.9953227043151855,6.125,
10,303, brief, explanation,21.374526186540937,7.191363771054796,14.20908242027349,0,0.5116450786590576,0.625,
11,304, explanation, of,23.717549267293286,9.420860052871085,14.132783349473398,0,0.9990544319152832,7.125,
12,305, of, each,25.61785745654814,10.128451949784756,14.056484278673304,0,0.9574225544929504,3.125,
13,306, each, type,18.397689870823225,5.1475456494952425,13.980185207873213,0,0.9667149782180786,3.625,
14,307, type, of,26.442312544704034,10.566993357274585,13.903886137073119,0,0.9999390244483948,9.75,
15,308, of, topology,27.58057048858416,11.398317424357245,13.827587066273026,0,0.9319158792495728,2.625,
16,309, topology, network,31.59189857433796,14.900908103188215,13.751287995472934,0,0.981927216053009,4.0,
17,310, network,":

",28.541406786570718,12.774180606587674,14.79049557206836,0,0.99396812915802,5.125,
18,311,":

",1,45.77457076418047,27.660597368740085,14.782608962702657,1,0.9804132580757141,4.0,
19,312,1,.,33.74797590969324,17.317010361541502,18.090830419576182,0,0.9999886155128479,12.125,
20,313,., **,34.29373282615569,16.837386243474185,19.902907113341147,0,0.5117485523223877,0.125,
21,314, **,Linear,19.291752278436256,5.518092680837546,19.902907113341147,0,0.8335224986076355,1.625,
22,315,Linear, Bus,32.71799199414412,15.07062753152239,19.902907113341147,0,0.9995309710502625,8.375,
23,316, Bus,**:,24.399770528467435,9.54357255898707,19.902907113341147,0,0.5958155393600464,0.625,
24,317,**:, A,41.60748989440994,23.203764683691013,19.902907113341147,1,0.7632859349250793,1.5,
25,318, A, Linear,30.265861720134136,12.568532781493778,24.317972854953283,0,0.5378044247627258,0.375,
26,319, Linear, Bus,34.32461594482211,16.418396627980787,24.317972854953283,0,0.9990733861923218,7.0,
27,320, Bus, topology,25.749904803044167,8.967125426316244,24.317972854953283,0,0.5234568119049072,0.25,
28,321, topology, connects,21.522458788764148,6.208271641780893,24.317972854953283,0,0.41437995433807373,0.25,
29,322, connects, all,35.22898854990217,15.911501328679549,24.317972854953283,0,0.9736616015434265,4.5,
30,323, all, network,23.06766131485643,7.029506739189564,24.317972854953283,0,0.6219975352287292,0.5,
31,324, network, nodes,27.74709927900816,10.34129770413201,24.317972854953283,0,0.9999656677246094,10.25,
32,325, nodes, to,29.67956235582492,11.751035234192008,24.317972854953283,0,0.9996300935745239,8.875,
33,326, to, a,29.231535462260013,11.992774761161465,24.317972854953283,0,0.9988523721694946,6.875,
34,327, a, single,23.547555810377,8.23924421678902,24.317972854953283,0,0.9317683577537537,3.125,
35,328, single, transmission,20.638266794664712,5.882512907930472,18.78869894207888,0,0.906661331653595,3.0,
36,329, transmission, medium,27.8655791316129,10.770384363977637,18.428980853528394,0,0.999969482421875,10.875,
37,330, medium, with,27.944663278831985,11.414002685313696,18.114738641908342,0,0.9792152643203735,4.5,
38,331, with, two,33.82134190451487,15.377671585599796,18.114738641908342,0,0.9970746040344238,6.375,
39,332, two, endpoints,23.538737432329636,7.524669523225114,18.114738641908342,0,0.9998360276222229,9.625,
40,333, endpoints,".
",35.274182040575866,17.313846951474343,18.114738641908342,0,0.5610957741737366,0.5,
41,334,".
",2,53.774234961978955,33.34982256478817,16.642259208854178,1,0.9992964267730713,8.0,
42,335,2,.,41.590029491540776,23.667445884872308,21.3228408548028,0,1.0,16.875,
43,336,., **,68.39888324448862,47.96976233289997,26.088040054851273,0,0.9999904632568359,13.3125,
44,337, **,D,65.68539049882057,44.23094867017427,37.00480750681612,0,0.9998416900634766,10.0,
45,338,D,istributed,34.029680217631814,15.015424108587293,45.1656520858557,0,0.9999961853027344,13.5,
46,339,istributed, Bus,38.32760800374368,19.007924620722328,45.1656520858557,0,0.9999961853027344,14.25,
47,340, Bus,**:,33.50613639502724,14.998577579275711,45.1656520858557,0,0.9987342953681946,7.375,
48,341,**:, A,55.3809720405941,32.29651014463032,45.1656520858557,0,0.9865321516990662,5.0,
49,342, A, Distributed,36.744155311146955,15.42115926864107,45.1656520858557,0,0.9999599456787109,10.75,
50,343, Distributed, Bus,41.41290612059823,19.00005299085345,45.1656520858557,0,0.9999961853027344,13.25,
51,344, Bus, topology,33.467837250937045,12.759549102194796,45.1656520858557,0,0.9995118975639343,8.0,
52,345, topology, connects,30.30801764008811,9.611013829422806,45.1656520858557,0,0.9965366125106812,5.875,
53,346, connects, all,33.63989203092326,11.931307452854885,45.1656520858557,0,0.9976871609687805,6.5,
54,347, all, network,25.97746430648556,6.827328254561216,45.1656520858557,0,0.9992907643318176,7.25,
55,348, network, nodes,47.469370671797506,22.69135773484469,45.1656520858557,0,1.0,16.375,
56,349, nodes, to,49.716390137803465,23.172780662024657,45.1656520858557,0,1.0,14.875,
57,350, to, a,34.6906997971703,12.404424311767116,45.1656520858557,0,0.9999390244483948,9.875,
58,351, a, single,27.879160061814346,7.970590536697547,45.1656520858557,0,0.8830223083496094,2.375,
59,352, single, transmission,26.767373805025468,7.4482822219652025,45.1656520858557,0,0.9998053908348083,9.125,
60,353, transmission, medium,39.32443104541094,15.703724436780174,35.280119776016306,0,1.0,15.375,
61,354, medium, with,40.488769436859634,16.56742919275934,25.45371303267607,0,0.9831341505050659,4.5,
62,355, with, more,34.46307191649531,13.461974241224787,25.45371303267607,0,0.8509907126426697,1.75,
63,356, more, than,35.36350115708166,12.883596533467351,25.45371303267607,0,1.0,14.0,
64,357, than, two,31.698313626909616,10.88287068160291,25.45371303267607,0,1.0,14.5,
65,358, two, endpoints,34.3397440270478,13.008365976193623,22.81171346663968,0,0.9999942779541016,13.375,
66,359, endpoints, created,41.25476438948674,18.87189765450524,22.81171346663968,0,0.6720831990242004,0.75,
67,360, created, by,32.85333699289761,12.679360192746561,22.81171346663968,0,0.9997673630714417,8.375,
68,361, by, branching,30.028917245273057,9.937791226811022,22.81171346663968,0,0.9998512864112854,9.5,
69,362, branching, the,31.791216325512046,11.84895459920881,22.81171346663968,0,0.975074052810669,3.875,
70,363, the, main,39.71567395380045,17.69590353683843,22.81171346663968,0,1.0,14.125,
71,364, main, section,33.28470124638734,12.274576080561747,22.81171346663968,0,0.9990544319152832,7.25,
72,365, section,".
",38.83072033603662,16.549017320387406,19.947118406385094,0,0.983918309211731,4.125,
73,366,".
",3,63.67515318915589,38.54560296622498,17.989902066255134,1,0.999549925327301,8.125,
74,367,3,.,42.89532330606489,20.296219513497345,23.790323982435176,0,0.999998152256012,14.75,
75,368,., **,45.639524810506,22.90392577273753,24.858565376679255,0,0.9978204369544983,7.5,
76,369, **,Star,47.11012866465428,22.99005606138862,26.814345071109393,0,0.9980791807174683,7.625,
77,370,Star,**:,50.99146742383618,25.113767338545927,26.878942787597712,0,0.9973999261856079,6.625,
78,371,**:, A,56.828534113585576,30.071792546809537,28.47172624546569,1,0.8130531311035156,1.625,
79,372, A, Star,36.7363687324542,13.313060296179916,32.1902451516634,0,0.9995842576026917,7.875,
80,373, Star, topology,57.10193592640662,30.62493692856783,32.1902451516634,0,0.9995689988136292,8.125,
81,374, topology, connects,50.6509888830414,24.502514431834214,32.605103437982116,0,0.9959095120429993,6.375,
82,375, connects, each,39.69221395782124,14.496624424338066,32.605103437982116,0,0.9999083876609802,10.125,
83,376, each, computer,30.59338354026794,8.48645320326231,32.605103437982116,0,0.9965003728866577,5.875,
84,377, computer, to,35.84557808933925,13.03264551719504,32.605103437982116,0,0.9966619610786438,5.75,
85,378, to, a,39.79081602847195,14.58416739367333,32.605103437982116,0,1.0,17.25,
86,379, a, central,28.169469985997296,7.580126300764922,32.605103437982116,0,0.9999886155128479,11.875,
87,380, central, hub,29.369198506264595,7.893603069521197,32.605103437982116,0,0.999992311000824,12.75,
88,381, hub, using,32.95766025156529,10.792168645917123,32.605103437982116,0,0.9951860308647156,5.625,
89,382, using, a,40.881243317423596,15.977853627899222,32.605103437982116,0,0.562163770198822,0.25,
90,383, a, point,26.636395579139723,7.002527775097244,30.21007864224911,0,0.9999961853027344,12.875,
91,384, point,-to,47.319673032089526,21.64325706473189,30.21007864224911,0,1.0,14.5,
92,385,-to,-point,57.29762680800827,31.05049078301233,30.21007864224911,1,0.9999961853027344,13.125,
93,386,-point, connection,73.41857755266972,44.788223159423154,30.731325392178956,0,1.0,15.375,
94,387, connection,".
",53.59533162160072,25.9715101868437,34.48492387711504,0,0.734337568283081,1.125,
95,388,".
",4,58.13059081993821,30.778310216232914,34.48492387711504,0,0.9998112320899963,9.375,
96,389,4,.,43.30322949616644,19.02578805922213,34.48492387711504,0,1.0,16.125,
97,390,., **,50.35205083282341,24.511795901109597,34.48492387711504,0,0.9992773532867432,8.25,
98,391, **,Mesh,49.20401209304727,23.321501313066477,34.48492387711504,0,0.9997653961181641,9.75,
99,392,Mesh,**:,52.520863716590966,25.58697496405201,34.48492387711504,0,0.9985305666923523,6.625,
100,393,**:, A,58.64435340423894,29.474412630901824,34.48492387711504,0,0.987799346446991,5.625,
101,394, A, Mesh,40.80384168028762,14.498813441550029,34.48492387711504,0,0.9998703598976135,9.625,
102,395, Mesh, topology,56.065039575619,27.24204017376585,34.48492387711504,0,0.9997291564941406,8.25,
103,396, topology, allows,56.46075660498092,26.805723315007853,34.48492387711504,0,0.6662020683288574,1.25,
104,397, allows, messages,39.93845349975112,12.961240207736981,34.48492387711504,0,0.9998207688331604,9.25,
105,398, messages, to,38.649847744230584,11.421820537062885,34.48492387711504,0,0.9890096187591553,4.5,
106,399, to, take,38.68884240742821,11.885247336448295,34.48492387711504,0,0.9129344820976257,2.5,
107,400, take, any,32.14230472855712,8.271035101104484,34.48492387711504,0,0.959755539894104,3.625,
108,401, any, of,23.802044583631915,4.893794209194902,34.48492387711504,0,0.776611328125,1.25,
109,402, of, several,27.579590909581928,6.518630420438318,34.28078845203047,0,0.9999504089355469,10.0,
110,403, several, possible,31.591929467226535,9.540023540992294,29.800387027234596,0,0.9994470477104187,7.5,
111,404, possible, paths,24.502013800171696,5.935556313527405,29.800387027234596,0,0.9998169541358948,8.625,
112,405, paths, from,34.74949165889798,12.585883531199588,27.800133288049842,0,0.9993516802787781,7.5,
113,406, from, source,40.93062045365823,17.004185064879735,27.800133288049842,0,0.9987419247627258,6.75,
114,407, source, to,38.72707610152135,14.822237448172519,27.800133288049842,0,1.0,18.375,
115,408, to, destination,61.2119225949107,34.03754979558573,27.800133288049842,1,0.9999961853027344,13.0,
