step,layer,hops,path_mass,route_divergence,relation_residual,relation_shuffled,relation_coverage,sources
0,0,1,0.3398487,,,,0.0,"[[258, "".\n\n"", 0.02775445580482483], [231, "","", 0.01001134142279625], [204, "","", 0.009836658835411072]]"
1,0,1,0.3264492,,,,0.0,"[[249, "","", 0.01311694085597992], [258, "".\n\n"", 0.011933261528611183], [254, "","", 0.011386901140213013]]"
2,0,1,0.28019583,,0.10986453294754028,0.20162494480609894,1.0,"[[249, "","", 0.012239933013916016], [237, "","", 0.009951874613761902], [254, "","", 0.00994516909122467]]"
3,0,1,0.299745,,0.014319615438580513,0.09489551186561584,1.0,"[[154, "","", 0.012047681957483292], [249, "","", 0.01203233003616333], [254, "","", 0.01197977364063263]]"
4,0,1,0.30151057,,0.0,0.03455717861652374,1.0,"[[249, "","", 0.012375414371490479], [254, "","", 0.011539280414581299], [258, "".\n\n"", 0.010352646932005882]]"
5,0,1,0.3062344,,0.0,0.01596536673605442,1.0,"[[254, "","", 0.01170336827635765], [249, "","", 0.01142137497663498], [258, "".\n\n"", 0.0106841791421175]]"
6,0,1,0.3203718,,0.010324130766093731,0.06945491582155228,1.0,"[[249, "","", 0.013908982276916504], [254, "","", 0.013418078422546387], [237, "","", 0.011985212564468384]]"
7,0,1,0.26853564,,0.000732536893337965,0.025140807032585144,1.0,"[[254, "","", 0.01147054135799408], [231, "","", 0.01043526828289032], [258, "".\n\n"", 0.01006242074072361]]"
8,0,1,0.2550523,,0.013581556268036366,0.08371873199939728,1.0,"[[258, "".\n\n"", 0.011800045147538185], [254, "","", 0.00952938199043274], [231, "","", 0.008759945631027222]]"
9,0,1,0.26330432,,0.03317294269800186,0.11840475350618362,1.0,"[[254, "","", 0.010414421558380127], [231, "","", 0.009812474250793457], [258, "".\n\n"", 0.009745299816131592]]"
10,0,1,0.2629076,,0.0,0.026380039751529694,1.0,"[[258, "".\n\n"", 0.010903958231210709], [254, "","", 0.01059412956237793], [231, "","", 0.009463734924793243]]"
11,0,1,0.27160606,,0.0068534864112734795,0.03315122053027153,1.0,"[[258, "".\n\n"", 0.01142597384750843], [254, "","", 0.010266095399856567], [231, "","", 0.00954754650592804]]"
12,0,1,0.24521846,,0.11638429015874863,0.18176749348640442,1.0,"[[237, "","", 0.010008042678236961], [249, "","", 0.00928451120853424], [231, "","", 0.009175613522529602]]"
13,0,1,0.26618215,,0.0,0.022718418389558792,1.0,"[[237, "","", 0.01180054247379303], [249, "","", 0.010583721101284027], [231, "","", 0.010241013020277023]]"
14,0,1,0.27082574,,0.0,0.0009604861261323094,1.0,"[[237, "","", 0.010724708437919617], [249, "","", 0.009647741913795471], [231, "","", 0.009083092212677002]]"
15,0,1,0.23988897,,0.08587941527366638,0.13899709284305573,1.0,"[[237, "","", 0.009661711752414703], [231, "","", 0.008921824395656586], [254, "","", 0.008652996271848679]]"
16,0,1,0.27035472,,0.0,0.007728997617959976,1.0,"[[237, "","", 0.011085383594036102], [249, "","", 0.010348841547966003], [254, "","", 0.010143987834453583]]"
17,0,1,0.26949906,,0.0010016161249950528,0.022436968982219696,1.0,"[[254, "","", 0.010695256292819977], [249, "","", 0.010478626936674118], [237, "","", 0.010209286585450172]]"
18,0,1,0.25974348,,0.006833052262663841,0.03082370012998581,1.0,"[[258, "".\n\n"", 0.01658114418387413], [249, "","", 0.007160315290093422], [231, "","", 0.006919162347912788]]"
19,0,1,0.2155554,,0.03328605368733406,0.08915608376264572,1.0,"[[237, "","", 0.00848877802491188], [254, "","", 0.008262308314442635], [249, "","", 0.00823790580034256]]"
20,0,1,0.29751363,,0.08241576701402664,0.16279786825180054,1.0,"[[258, "".\n\n"", 0.014261104166507721], [249, "","", 0.010413758456707], [254, "","", 0.009875454008579254]]"
21,0,1,0.22743486,,0.061746589839458466,0.12943527102470398,1.0,"[[258, "".\n\n"", 0.014272304251790047], [254, "","", 0.007368061691522598], [237, "","", 0.007068082690238953]]"
22,0,1,0.26618373,,0.0,0.00419583497568965,1.0,"[[254, "","", 0.0113692507147789], [237, "","", 0.011082760989665985], [231, "","", 0.010690353810787201]]"
23,0,1,0.26237988,,0.0,0.0013531534932553768,1.0,"[[254, "","", 0.011184126138687134], [231, "","", 0.010610319674015045], [237, "","", 0.010400466620922089]]"
24,0,1,0.22137621,,0.07592713832855225,0.13295511901378632,1.0,"[[258, "".\n\n"", 0.012504423037171364], [254, "","", 0.007170915603637695], [249, "","", 0.006798412650823593]]"
25,0,1,0.23248243,,0.022217214107513428,0.07087422907352448,1.0,"[[249, "","", 0.01066938042640686], [254, "","", 0.008904427289962769], [237, "","", 0.008767189458012581]]"
26,0,1,0.26002905,,0.027143971994519234,0.03745248541235924,1.0,"[[249, "","", 0.012614542618393898], [237, "","", 0.010328764095902443], [254, "","", 0.009996980428695679]]"
27,0,1,0.25679243,,0.020800359547138214,0.025797786191105843,1.0,"[[249, "","", 0.012627556920051575], [237, "","", 0.01087244227528572], [254, "","", 0.009917911142110825]]"
28,0,1,0.25015342,,0.01777471788227558,0.023528676480054855,1.0,"[[249, "","", 0.011522810906171799], [237, "","", 0.010604273527860641], [254, "","", 0.010284535586833954]]"
29,0,1,0.2408841,,1.1100959454779513e-05,0.00744451442733407,1.0,"[[254, "","", 0.010301938280463219], [249, "","", 0.009835012257099152], [237, "","", 0.009278008714318275]]"
30,0,1,0.2531402,,0.0006792736239731312,0.01077446062117815,1.0,"[[254, "","", 0.012876808643341064], [249, "","", 0.010826699435710907], [237, "","", 0.009892508387565613]]"
31,0,1,0.25604415,,0.010465042665600777,0.024943627417087555,1.0,"[[254, "","", 0.012728603556752205], [249, "","", 0.011043382808566093], [237, "","", 0.00998525321483612]]"
32,0,1,0.2450297,,0.004533821251243353,0.028835808858275414,1.0,"[[254, "","", 0.011669086292386055], [249, "","", 0.010908706113696098], [237, "","", 0.00968412309885025]]"
33,0,1,0.22264268,,0.0,0.0325622521340847,1.0,"[[249, "","", 0.009996429085731506], [254, "","", 0.009773559868335724], [237, "","", 0.007916286587715149]]"
34,0,1,0.22387606,,0.05703405663371086,0.11518646776676178,1.0,"[[254, "","", 0.009653793647885323], [249, "","", 0.009551379829645157], [237, "","", 0.007967351004481316]]"
35,0,1,0.24111113,,0.00012835775851272047,0.007313319481909275,1.0,"[[254, "","", 0.010500533506274223], [249, "","", 0.009459111839532852], [237, "","", 0.008644521236419678]]"
36,0,1,0.24715796,,0.0014939358225092292,0.013333500362932682,1.0,"[[254, "","", 0.011203695088624954], [249, "","", 0.010667748749256134], [237, "","", 0.00905134528875351]]"
37,0,1,0.23850083,,0.0,0.012195357121527195,1.0,"[[254, "","", 0.010547919198870659], [249, "","", 0.009989699348807335], [237, "","", 0.008680088445544243]]"
38,0,1,0.22734992,,0.012705553323030472,0.042058661580085754,1.0,"[[249, "","", 0.010644424706697464], [254, "","", 0.010628923773765564], [237, "","", 0.008504562079906464]]"
39,0,1,0.22749868,,0.003463390050455928,0.022526893764734268,1.0,"[[249, "","", 0.010207127779722214], [254, "","", 0.010056927800178528], [231, "","", 0.009086072444915771]]"
40,0,1,0.2329506,,0.0016315722605213523,0.011309869587421417,1.0,"[[249, "","", 0.01011795736849308], [254, "","", 0.010059284046292305], [231, "","", 0.008436480537056923]]"
41,0,1,0.23996675,,0.09709379076957703,0.14344486594200134,1.0,"[[258, "".\n\n"", 0.014621898531913757], [168, "","", 0.011717181652784348], [123, "".\n\n"", 0.007747011259198189]]"
42,0,1,0.1826594,,0.029835976660251617,0.09764694422483444,1.0,"[[254, "","", 0.008453689515590668], [249, "","", 0.008324362337589264], [204, "","", 0.007338430732488632]]"
43,0,1,0.25377312,,0.11862243711948395,0.19607779383659363,1.0,"[[258, "".\n\n"", 0.010015606880187988], [249, "","", 0.009998790919780731], [254, "","", 0.009588027372956276]]"
44,0,1,0.18889442,,0.08546669781208038,0.15079058706760406,1.0,"[[258, "".\n\n"", 0.008283564820885658], [254, "","", 0.006808195263147354], [249, "","", 0.00630989670753479]]"
45,0,1,0.1895156,,0.008676956407725811,0.06964515149593353,1.0,"[[254, "","", 0.009404867887496948], [231, "","", 0.008536487817764282], [237, "","", 0.007984966039657593]]"
46,0,1,0.20674556,,9.032277012011036e-05,0.013751843944191933,1.0,"[[254, "","", 0.010813403874635696], [231, "","", 0.009303469210863113], [249, "","", 0.008879993110895157]]"
47,0,1,0.22218823,,0.014132441021502018,0.025242026895284653,1.0,"[[254, "","", 0.010865552350878716], [249, "","", 0.009037507697939873], [237, "","", 0.009015195071697235]]"
48,0,1,0.18694708,,0.08636750280857086,0.14168275892734528,1.0,"[[258, "".\n\n"", 0.009258916601538658], [254, "","", 0.006259456276893616], [249, "","", 0.005697464570403099]]"
49,0,1,0.19689642,,0.051427070051431656,0.10501908510923386,1.0,"[[254, "","", 0.008594900369644165], [237, "","", 0.007688254117965698], [249, "","", 0.0076838769018650055]]"
50,0,1,0.24083513,,0.01578984223306179,0.027479538694024086,1.0,"[[254, "","", 0.01030774973332882], [237, "","", 0.009978655725717545], [249, "","", 0.009536771103739738]]"
