step,query_step,query_position,query,token,shift,revisit,threshold,active,event,top1_probability,top2_margin,logit_entropy
0,-1,534,"

",Based,,,,0,0,0.44672805,0.125,1.8990703
1,0,535,Based, on,32.494779818570194,,,0,0,0.9998665,9.125,0.0020160596
2,1,536, on, the,24.385339953248195,0.18774032966990611,,0,0,0.9448507,3.125,0.36944482
3,2,537, the, given,30.57203917957761,0.9995149685832514,0.18774032966990611,0,0,0.76713026,1.875,1.0813568
4,3,538, given, passages,29.894874571898647,0.9787130452788699,0.9589262366375841,0,0,0.9998645,9.375,0.0021745486
5,4,539, passages,",",47.84422786806016,2.464340227141852,0.9974347762528133,0,0,0.98769945,4.625,0.11050333
6,5,540,",", here,46.61664558694986,2.905035257056354,2.2446164383580616,0,0,0.6670883,1.125,1.5389515
7,6,541, here,'s,42.256531020183324,1.3992355882616967,2.8168962510734534,0,0,0.599046,0.75,1.3223963
8,7,542,'s, a,26.008379144201903,0.6120734109473107,2.7948614995777286,0,0,0.7415539,1.125,0.9201787
9,8,543, a, brief,40.57596558618542,2.375420438463026,2.772826748082003,0,0,0.8414262,2.125,0.9528977
10,9,544, brief, answer,32.23623256674216,1.4476991782441753,2.750791996586278,0,0,0.81032526,1.75,1.0066028
11,10,545, answer, on,29.410628823638653,0.7394441138385565,2.728757245090553,0,0,0.9050459,2.625,0.5507866
12,11,546, on, how,45.51470266731613,2.5831432013541287,2.7067224935948273,0,0,0.99996185,10.75,0.0006860138
13,12,547, how, to,41.708879597782506,2.91964785873493,2.7440892292052412,0,0,1.0,20.125,1.09012056e-07
14,13,548, to, cook,36.9614074938214,2.1501072893678437,2.9116109278117133,0,0,1.0,14.25,4.3189804e-05
15,14,549, cook, br,42.99220973616505,2.9187080322260535,2.9108802977277843,0,0,0.96831495,3.5,0.21563514
16,15,550, br,ats,46.59119198529047,2.27245745476571,2.9190369715041604,0,0,1.0,15.375,1.3898396e-05
17,16,551,ats,":

",55.44700365214959,3.9773327595090713,2.9189899801787162,1,1,0.9676059,3.5,0.22813217
18,17,552,":

",1,68.20386656151535,7.0690942915184625,3.1840690839284655,1,0,0.8744142,2.75,0.84672654
19,18,553,1,.,51.259006420065916,4.03033724045624,4.7502731425114195,0,0,0.99985695,10.5625,0.0027197183
20,19,554,., Pr,50.19812406853683,4.7655400958212475,4.790026503221796,0,0,0.6310483,0.75,1.5053084
21,20,555, Pr,ick,46.69306378467594,3.85876874027354,5.341428644745552,0,0,0.9999886,11.75,0.0002395193
22,21,556,ick, the,40.38013925921547,3.8245044194021784,5.341428644745552,0,0,0.84844136,1.75,0.6515183
23,22,557, the, brat,35.52727492772502,3.038729275831413,5.341428644745552,0,0,0.9668643,3.375,0.21070223
24,23,558, brat,w,39.41160441404527,3.509697904767833,5.341428644745552,0,0,0.9999962,13.5,4.848218e-05
25,24,559,w,urst,49.98226105675721,4.982347734766148,5.341428644745552,0,0,0.9999886,12.25,0.0002003681
26,25,560,urst, with,51.57444608065773,6.363706550025322,5.504034373954227,1,1,0.9900307,4.625,0.082576245
27,26,561, with, a,33.122446124236106,2.233491034836919,6.540053485398607,0,0,0.99992365,9.5,0.0011700887
28,27,562, a, fork,26.38074763606943,1.0117686756224473,6.540053485398607,0,0,0.9999886,11.5,0.00018989581
29,28,563, fork, to,37.44499306451582,3.063139515083619,6.540053485398607,0,0,0.9554177,3.75,0.3230187
30,29,564, to, prevent,34.03842443181759,2.2490361664856495,6.540053485398607,0,0,0.9999886,11.875,0.00023358478
31,30,565, prevent, them,28.72944973813422,1.1154190558647583,6.540053485398607,0,0,0.8344053,2.0,0.87811416
32,31,566, them, from,26.426304864324642,1.3684953896443766,6.540053485398607,0,0,0.9999962,13.0,5.6051096e-05
33,32,567, from, exploding,29.765598688264227,1.8328560075125724,6.540053485398607,0,0,0.99313253,5.0,0.061006673
34,33,568, exploding, as,37.063591214559466,2.3565124553195194,6.540053485398607,0,0,0.5982125,0.5,1.216502
35,34,569, as, they,30.13111517181972,2.0215476564010526,5.327687438580941,0,0,0.9999466,9.875,0.00085595396
36,35,570, they, cook,30.783805354268914,2.9469346176275018,5.327687438580941,0,0,0.9999962,13.875,5.6000055e-05
37,36,571, cook,".
",41.027327655819846,4.373531277795619,5.327687438580941,0,0,0.88294476,2.375,0.6305271
38,37,572,".
",2,42.42666481097659,4.7828330042812315,5.327687438580941,0,0,0.9927329,5.125,0.07214571
39,38,573,2,.,39.75497208249495,4.754516375305034,5.327687438580941,0,0,0.99997336,11.5,0.00055246224
40,39,574,., Sub,50.793904615353966,7.391754822474798,5.327687438580941,1,1,0.26189357,0.25,3.4286578
41,40,575, Sub,merge,43.33055576887669,5.0435756920053905,6.6207186181376905,0,0,0.9998799,9.75,0.0019466951
42,41,576,merge, the,40.73461377920076,5.09174321826929,6.6207186181376905,0,0,0.9885269,4.75,0.10102125
43,42,577, the, brat,36.01147368907725,4.685858976449607,5.666746119320667,0,0,0.999184,7.125,0.009703869
44,43,578, brat,w,48.25871687284689,10.1657035045504,5.666746119320667,1,1,1.0,14.25,2.0459263e-05
45,44,579,w,urst,55.94910264011659,6.951917592122534,8.085241992993698,0,0,0.9999923,12.5,0.0001552887
46,45,580,urst, in,62.51091588644742,8.495100891273088,8.085241992993698,1,1,0.9990506,7.25,0.012175187
47,46,581, in, a,42.663577002258236,5.986235816614045,8.912751544592416,0,0,0.9588755,3.5,0.2845632
48,47,582, a, beer,25.469410526028533,1.4820033490309235,8.912751544592416,0,0,0.5019251,0.375,1.6413952
49,48,583, beer, mixture,36.81484716844013,3.073893897700886,8.912751544592416,0,0,0.95488214,3.25,0.31065032
50,49,584, mixture, with,30.86699733274707,1.8794541225529975,8.912751544592416,0,0,0.44117165,0.125,1.8592478
51,50,585, with, onions,34.578269107617416,2.202215073231522,8.912751544592416,0,0,0.99331623,6.5,0.08265633
52,51,586, onions,",",38.22031253967104,3.1280528243755628,8.912751544592416,0,0,0.81107986,1.625,0.8681737
53,52,587,",", butter,33.481668002820996,2.208517698142928,8.912751544592416,0,0,0.584356,1.25,2.0777533
54,53,588, butter,",",37.19756282104957,3.1562456623618025,8.912751544592416,0,0,0.9843725,4.25,0.12440296
55,54,589,",", and,34.870466620302295,2.7692115520313143,8.912751544592416,0,0,0.7214182,1.75,1.335372
56,55,590, and, season,31.72059651515916,3.208086121185037,8.912751544592416,0,0,0.6769191,0.75,0.9449916
57,56,591, season,ings,37.954746372986506,3.152585294618296,8.912751544592416,0,0,1.0,15.5,1.0603541e-05
58,57,592,ings, in,37.52579235685052,3.247868086445433,8.912751544592416,0,0,0.34226102,0.25,2.331133
59,58,593, in, a,33.15190360258737,2.911004549165247,8.912751544592416,0,0,0.9999504,10.5,0.0009004462
60,59,594, a, large,26.95352652734641,1.6287855232081578,8.912751544592416,0,0,0.96349716,3.5,0.25322455
61,60,595, large, pot,22.719339206809455,0.9845044295339457,7.337713416910173,0,0,0.99138564,4.75,0.07187847
62,61,596, pot,".
",32.327573212653654,2.669147323409239,6.613452085278805,0,0,0.36630893,0.125,2.3193784
63,62,597,".
",3,58.867876315431474,9.125664429896286,3.932460018987586,1,1,0.98161083,4.0,0.13645294
64,63,598,3,.,43.50283272392528,6.618098894299685,4.717317172308146,1,0,0.99993706,10.5,0.0012542537
65,64,599,., Sim,49.595179269752556,8.064784557293374,7.244990278198835,1,0,0.59980637,0.625,1.4690363
66,65,600, Sim,mer,45.11633675010371,5.288581411619804,8.330004525444101,0,0,0.9999962,12.875,8.4420746e-05
67,66,601,mer, the,37.06554726978514,3.9529119617667354,8.330004525444101,0,0,0.8398821,2.5,0.88818085
68,67,602, the, brat,42.606921826003216,5.526682093953941,8.330004525444101,0,0,0.6364649,1.125,1.5074338
69,68,603, brat,w,47.62830476821799,8.290698195159699,8.330004525444101,0,0,0.99999815,14.75,4.62407e-05
70,69,604,w,urst,51.92977644718656,7.590166603292184,8.499439753843845,0,0,0.9999962,13.625,8.836344e-05
71,70,605,urst, for,59.06431844670689,11.026355905697098,8.499439753843845,1,1,0.4030851,0.625,2.2093337
72,71,606, for, ,42.805060938278686,6.100984083252797,9.60083729884649,0,0,0.99978644,8.625,0.0031179253
73,72,607, ,15,50.451276742989265,4.51894488269374,9.60083729884649,0,0,0.9839313,4.125,0.12060638
74,73,608,15, to,40.59555919667099,3.0896455329918453,9.60083729884649,0,0,0.9046455,2.25,0.4541919
75,74,609, to, ,44.34377820074438,5.099730230648062,9.60083729884649,0,0,1.0,14.25,1.7727169e-05
76,75,610, ,20,39.666211601335256,2.8784351463983153,9.60083729884649,0,0,0.999897,10.25,0.0018141104
77,76,611,20, minutes,42.282047007964145,3.663336023378732,9.60083729884649,0,0,1.0,15.5,1.6451559e-05
78,77,612, minutes, over,30.537326244229764,1.6393966949504764,9.60083729884649,0,0,0.6880553,1.625,1.5246998
79,78,613, over, medium,38.346871549595456,2.8576391539026167,9.60083729884649,0,0,0.99997336,10.5,0.00047054247
80,79,614, medium, heat,29.03149188321309,1.2035343618445444,8.974612622794048,0,0,0.9999809,11.75,0.00037948973
81,80,615, heat,".
",40.11163114484927,4.257222574788076,8.974612622794048,0,0,0.9349639,3.5,0.48897564
82,81,616,".
",4,48.30814834235062,5.430924750723201,8.974612622794048,0,0,0.999142,7.5,0.011805574
83,82,617,4,.,41.01257781479762,4.011160025297066,8.974612622794048,0,0,0.99978644,9.25,0.0034802307
84,83,618,., Pre,47.7174052610959,5.19042666035371,8.974612622794048,0,0,0.77918255,2.375,1.3566923
85,84,619, Pre,heat,40.55251021145236,3.612713359600531,8.974612622794048,0,0,0.9999962,13.0,8.100023e-05
86,85,620,heat, a,33.431039455193385,2.156759325965515,8.449213928893412,0,0,0.6170971,0.875,1.3415756
87,86,621, a, grill,33.28502778808094,2.050451932636504,7.332327038863872,0,0,0.9997578,9.0,0.003968565
88,87,622, grill, for,39.65412396448423,3.686582887078762,5.5984395838556,0,0,0.8627579,1.875,0.6161502
89,88,623, for, medium,34.4350222382066,2.458540865226284,5.250551182946083,0,0,0.9999504,10.0,0.00083045947
90,89,624, medium,-high,39.8330381496804,3.0070187371702595,5.250551182946083,0,0,0.9959569,5.625,0.041231126
91,90,625,-high, heat,32.571510920397955,2.156114302459896,5.250551182946083,0,0,0.9989896,7.375,0.012518063
92,91,626, heat,",",37.96415398953975,3.698881585651743,5.250551182946083,0,0,0.5468397,0.5,1.4796648
93,92,627,",", lightly,34.88615272702842,3.095413063652002,5.250551182946083,0,0,0.9419518,3.375,0.43314415
94,93,628, lightly, oil,39.628103970196065,4.519659118383366,5.250551182946083,0,0,0.9999962,13.75,6.347747e-05
95,94,629, oil, the,29.138322282848534,2.04220286784538,5.250551182946083,0,0,0.9989534,7.0,0.012759579
96,95,630, the, grate,28.579148536820163,1.7696273433384835,5.250551182946083,0,0,0.9939568,5.25,0.05697218
97,96,631, grate,",",41.01729520128832,4.043692560045267,5.250551182946083,0,0,0.98720795,4.375,0.1013671
98,97,632,",", and,35.45653989940931,3.838585571236157,5.250551182946083,0,0,0.9994699,7.625,0.0067595025
99,98,633, and, cook,25.617147786310074,1.9028523564859574,4.687351003875952,0,0,0.99723625,6.375,0.03286054
100,99,634, cook, the,36.63341314112648,4.317014218189044,4.687351003875952,0,0,0.99989516,9.875,0.001707155
101,100,635, the, brat,35.7157607162474,4.22949206215621,4.367675443237625,0,0,0.9990372,7.0,0.0116004255
102,101,636, brat,w,42.57019840637005,7.084724369580695,4.367675443237625,1,1,1.0,15.0,2.0380614e-05
103,102,637,w,urst,54.571950364022825,9.938445153872845,5.160925431182698,1,0,0.9999886,12.375,0.00022386384
104,103,638,urst, for,58.869758010433806,11.260676752617131,7.798154565653733,1,0,0.67858416,0.75,0.9175113
105,104,639, for, ,35.296866975566516,4.0818482937108485,10.269003053558917,0,0,0.9994699,7.75,0.0071024247
106,105,640, ,10,47.68624247832442,4.072493032487284,10.269003053558917,0,0,0.7056912,0.875,0.8763735
107,106,641,10, to,39.83151346905471,3.181370367909143,10.269003053558917,0,0,0.9626486,3.25,0.23033522
108,107,642, to, ,53.20030031060547,9.016095219987939,10.269003053558917,0,0,0.99997705,11.5,0.0004211132
109,108,643, ,14,54.28410247823135,9.102089326870905,10.269003053558917,0,0,0.9966867,6.625,0.03885479
110,109,644,14, minutes,42.839758172605784,4.5293018202374355,10.269003053558917,0,0,0.99997336,11.0,0.0004969051
111,110,645, minutes,",",33.97562194196941,3.0948042391529773,10.269003053558917,0,0,0.8675698,2.0,0.6598527
112,111,646,",", turning,27.615413468826823,1.5286165528582978,10.269003053558917,0,0,0.99289757,5.0,0.06403179
