position,passage,token_id,token_piece,token,context
66,1,16,1,1,1 Linear Bus: If all network nodes are connected to
67,1,29363,ĠLinear, Linear,1 Linear Bus: If all network nodes are connected to a comb
68,1,19111,ĠBus, Bus,1 Linear Bus: If all network nodes are connected to a combine 
69,1,25,:,:,1 Linear Bus: If all network nodes are connected to a combine t
70,1,1442,ĠIf, If,1 Linear Bus: If all network nodes are connected to a combine tran
71,1,682,Ġall, all,1 Linear Bus: If all network nodes are connected to a combine transmis
72,1,4009,Ġnetwork, network,1 Linear Bus: If all network nodes are connected to a combine transmission med
73,1,7954,Ġnodes, nodes,1 Linear Bus: If all network nodes are connected to a combine transmission medium th
74,1,527,Ġare, are,1 Linear Bus: If all network nodes are connected to a combine transmission medium that h
75,1,8599,Ġconnected, connected,1 Linear Bus: If all network nodes are connected to a combine transmission medium that has two end
76,1,311,Ġto, to,1 Linear Bus: If all network nodes are connected to a combine transmission medium that has two endpoi
77,1,264,Ġa, a, Linear Bus: If all network nodes are connected to a combine transmission medium that has two endpoint
78,1,16343,Ġcombine, combine,inear Bus: If all network nodes are connected to a combine transmission medium that has two endpoints the Bu
79,1,18874,Ġtransmission, transmission,s: If all network nodes are connected to a combine transmission medium that has two endpoints the Bus is Linear. 
80,1,11298,Ġmedium, medium,work nodes are connected to a combine transmission medium that has two endpoints the Bus is Linear. 2  Dist
81,1,430,Ġthat, that,des are connected to a combine transmission medium that has two endpoints the Bus is Linear. 2  Distribut
82,1,706,Ġhas, has,re connected to a combine transmission medium that has two endpoints the Bus is Linear. 2  Distributed B
83,1,1403,Ġtwo, two,onnected to a combine transmission medium that has two endpoints the Bus is Linear. 2  Distributed Bus: 
84,1,37442,Ġendpoints, endpoints,cted to a combine transmission medium that has two endpoints the Bus is Linear. 2  Distributed Bus: If all net
85,1,279,Ġthe, the,combine transmission medium that has two endpoints the Bus is Linear. 2  Distributed Bus: If all network
86,1,19111,ĠBus, Bus,ine transmission medium that has two endpoints the Bus is Linear. 2  Distributed Bus: If all network nod
87,1,374,Ġis, is,transmission medium that has two endpoints the Bus is Linear. 2  Distributed Bus: If all network nodes 
