step,layer,head,source_mass,dispersion,shift,peak_position,peak_passage,peak_context,peak_attention,gain_position,gain_passage,gain_context,previous_attention,attention,gain
10,0,0,0.13534307479858398,7.573542241845352,0.4334309978649195,382,3, cloak over the tunic. Both men and women used cap. On their cap they tied a folded piece of cloth. I,0.0037689208984375,382,3, cloak over the tunic. Both men and women used cap. On their cap they tied a folded piece of cloth. I,0.0009613037109375,0.0037689208984375,0.0028076171875
10,0,1,0.02028590440750122,6.4457760103835335,0.5144656309751787,375,3,vered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap they ti,0.0012054443359375,242,2,es who prepared clothes for Sapa Inca. So they had to remain busy on this purpose. Only the Inca could ,0.00018024444580078125,0.000751495361328125,0.0005712509155273438
10,0,2,0.018248677253723145,6.896343979117014,0.5262847849772821,140,2,Clothing everywhere consisted of woven or knitted textiles,0.0008087158203125,142,2,"Clothing everywhere consisted of woven or knitted textiles, and these were alwa",0.00022125244140625,0.000530242919921875,0.000308990478515625
10,0,3,0.003181636333465576,6.191011133447987,0.5797467410100069,373,3,ich covered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap th,0.00019931793212890625,86,1, [2] http://www.discover-peru.org/inca-textile-and-clothing/ […] […] 2  the richest colors and was del,1.0073184967041016e-05,0.0,-1.0073184967041016e-05
10,0,4,0.21171337366104126,6.774529055333004,0.19701541119102894,373,3,ich covered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap th,0.008544921875,373,3,ich covered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap th,0.00433349609375,0.008544921875,0.00421142578125
10,0,5,0.26641422510147095,6.79427694407551,0.14179088415508334,396,3, their cap they tied a folded piece of cloth. Inca Tunic,0.01104736328125,373,3,ich covered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap th,0.0052490234375,0.009765625,0.0045166015625
10,0,6,0.0608786940574646,6.3991323759068415,0.27958519660314335,396,3, their cap they tied a folded piece of cloth. Inca Tunic,0.004241943359375,235,2,sen women were the ones who prepared clothes for Sapa Inca. So they had to remain busy on this purpose.,8.344650268554688e-05,0.000499725341796875,0.0004162788391113281
10,0,7,0.26350152492523193,6.777596093009051,0.13759452526896848,396,3, their cap they tied a folded piece of cloth. Inca Tunic,0.00982666015625,373,3,ich covered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap th,0.006072998046875,0.0086669921875,0.002593994140625
10,0,8,0.5563048124313354,7.4989513179196114,0.17606203511968435,363,3,"rt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over the tunic. Both m",0.0128173828125,356,3,"hed up to their knee. The women wore skirt. Skirts were usually full length, which covered up to ankle. M",0.004425048828125,0.006439208984375,0.00201416015625
10,0,9,0.5037977695465088,7.83808283013424,0.3976491041779557,394,3,p. On their cap they tied a folded piece of cloth. Inca Tunic,0.0111083984375,394,3,p. On their cap they tied a folded piece of cloth. Inca Tunic,0.00531005859375,0.0111083984375,0.00579833984375
10,0,10,0.4729394316673279,7.728493381296875,0.2709578244303118,388,3,oth men and women used cap. On their cap they tied a folded piece of cloth. Inca Tunic,0.01019287109375,355,3,"reached up to their knee. The women wore skirt. Skirts were usually full length, which covered up to ank",0.002105712890625,0.006561279296875,0.00445556640625
10,0,11,0.5760360360145569,7.25781468528533,0.2967562555599315,352,3," long. It reached up to their knee. The women wore skirt. Skirts were usually full length, which covered u",0.0211181640625,346,3,gth of the tunic were a bit long. It reached up to their knee. The women wore skirt. Skirts were usually f,0.00037384033203125,0.0050048828125,0.00463104248046875
10,0,12,0.4698600769042969,7.286810145815844,0.10277940077095304,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0167236328125,396,3, their cap they tied a folded piece of cloth. Inca Tunic,0.0050048828125,0.007080078125,0.0020751953125
10,0,13,0.5368509292602539,7.300846548111963,0.13787319786603267,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.01904296875,74,1,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ [,0.0074462890625,0.01422119140625,0.00677490234375
10,0,14,0.5300540924072266,7.110717487324557,0.14858923677326855,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.021484375,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0167236328125,0.021484375,0.0047607421875
10,0,15,0.5576133728027344,7.60546222985304,0.3514320409545054,74,1,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ [,0.01904296875,74,1,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ [,0.0084228515625,0.01904296875,0.0106201171875
10,0,16,0.42591392993927,6.754214210665457,0.0989938731606724,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.029296875,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0220947265625,0.029296875,0.0072021484375
10,0,17,0.45246267318725586,7.4312993063869515,0.1745415095005936,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.01416015625,337,3,ca men wore simple tunics. The length of the tunic were a bit long. It reached up to their knee. The wome,0.0023651123046875,0.0045166015625,0.0021514892578125
10,0,18,0.4848778247833252,7.153236228345331,0.1184667539916112,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.01904296875,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0150146484375,0.01904296875,0.0040283203125
10,0,19,0.46677958965301514,6.703431408120888,0.1223183010694798,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.02685546875,149,2," everywhere consisted of woven or knitted textiles, and these were always worn whole, never cut or ta",0.01068115234375,0.0218505859375,0.01116943359375
10,0,20,0.6229095458984375,7.456254059874761,0.08592860834077841,391,3,en used cap. On their cap they tied a folded piece of cloth. Inca Tunic,0.010986328125,156,2,"knitted textiles, and these were always worn whole, never cut or tailored; they were held together by",0.007171630859375,0.009765625,0.002593994140625
10,0,21,0.5754784345626831,6.755179927281554,0.11690187473592117,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0174560546875,74,1,2 Pingbacks 1  ». […] [2] http://www.discover-peru.org/inca-textile-and-clothing/ [,0.0045166015625,0.0084228515625,0.00390625
10,0,22,0.608612060546875,7.71169096156962,0.10974816371925272,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0126953125,156,2,"knitted textiles, and these were always worn whole, never cut or tailored; they were held together by",0.00946044921875,0.010986328125,0.00152587890625
10,0,23,0.5486670732498169,7.048043016397251,0.22914398059444546,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.0155029296875,360,3," women wore skirt. Skirts were usually full length, which covered up to ankle. Men wore a cloak over ",0.00872802734375,0.0155029296875,0.00677490234375
10,0,24,0.2619844079017639,6.570487974349214,0.22235297379692273,373,3,ich covered up to ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap th,0.01025390625,242,2,es who prepared clothes for Sapa Inca. So they had to remain busy on this purpose. Only the Inca could ,0.00121307373046875,0.0038299560546875,0.00261688232421875
10,0,25,0.3175849914550781,7.223849557992713,0.21738629334959736,378,3,o ankle. Men wore a cloak over the tunic. Both men and women used cap. On their cap they tied a folded p,0.01092529296875,396,3, their cap they tied a folded piece of cloth. Inca Tunic,0.005645751953125,0.01025390625,0.004608154296875
