step,position,query_position,token_id,token_piece,token,focus,top2_margin,logit_entropy
0,294,293,29815,Based,Based,0,2.875,
1,295,294,389,Ġon, on,0,11.625,
2,296,295,279,Ġthe, the,0,10.125,
3,297,296,2728,Ġgiven, given,0,1.375,
4,298,297,47869,Ġpassages, passages,0,10.25,
5,299,298,11,",",",",0,1.75,
6,300,299,1618,Ġhere, here,0,2.0,
7,301,300,596,'s,'s,0,0.25,
8,302,301,264,Ġa, a,0,2.5,
9,303,302,10015,Ġbrief, brief,0,6.125,
10,304,303,16540,Ġexplanation, explanation,0,0.625,
11,305,304,315,Ġof, of,0,7.125,
12,306,305,1855,Ġeach, each,0,3.125,
13,307,306,955,Ġtype, type,0,3.625,
14,308,307,315,Ġof, of,0,9.75,
15,309,308,45982,Ġtopology, topology,0,2.625,
16,310,309,4009,Ġnetwork, network,0,4.0,
17,311,310,1473,:ĊĊ,":

",0,5.125,
18,312,311,16,1,1,0,4.0,
19,313,312,13,.,.,0,12.125,
20,314,313,29363,ĠLinear, Linear,0,0.125,
21,315,314,19111,ĠBus, Bus,0,9.125,
22,316,315,25,:,:,0,2.5,
23,317,316,362,ĠA, A,0,2.125,
24,318,317,4009,Ġnetwork, network,0,0.25,
25,319,318,1405,Ġwhere, where,0,2.75,
26,320,319,682,Ġall, all,0,5.25,
27,321,320,7954,Ġnodes, nodes,0,6.75,
28,322,321,527,Ġare, are,0,5.375,
29,323,322,8599,Ġconnected, connected,0,12.875,
30,324,323,311,Ġto, to,0,8.375,
31,325,324,264,Ġa, a,0,8.125,
32,326,325,3254,Ġsingle, single,0,2.75,
33,327,326,18874,Ġtransmission, transmission,0,2.875,
34,328,327,11298,Ġmedium, medium,0,10.5,
35,329,328,449,Ġwith, with,0,4.5,
36,330,329,1403,Ġtwo, two,0,5.125,
37,331,330,37442,Ġendpoints, endpoints,0,9.0,
38,332,331,627,.Ċ,".
",0,2.625,
39,333,332,17,2,2,0,7.75,
40,334,333,13,.,.,0,11.0,
41,335,334,45055,ĠDistributed, Distributed,0,8.875,
42,336,335,19111,ĠBus, Bus,0,12.5,
43,337,336,25,:,:,0,6.125,
44,338,337,362,ĠA, A,0,5.25,
45,339,338,4009,Ġnetwork, network,0,8.25,
46,340,339,1405,Ġwhere, where,0,7.875,
47,341,340,682,Ġall, all,0,6.625,
48,342,341,7954,Ġnodes, nodes,0,14.625,
49,343,342,527,Ġare, are,0,11.0,
50,344,343,8599,Ġconnected, connected,0,14.5,
51,345,344,311,Ġto, to,0,16.0,
52,346,345,264,Ġa, a,0,10.5,
53,347,346,3254,Ġsingle, single,0,3.5,
54,348,347,18874,Ġtransmission, transmission,0,9.375,
55,349,348,11298,Ġmedium, medium,0,14.75,
56,350,349,449,Ġwith, with,0,3.0,
57,351,350,810,Ġmore, more,0,1.625,
58,352,351,1109,Ġthan, than,0,13.125,
59,353,352,1403,Ġtwo, two,0,13.625,
60,354,353,37442,Ġendpoints, endpoints,0,12.5,
61,355,354,11,",",",",0,0.875,
62,356,355,3549,Ġcreated, created,0,3.25,
63,357,356,555,Ġby, by,0,9.375,
64,358,357,86567,Ġbranching, branching,0,9.625,
65,359,358,279,Ġthe, the,0,4.625,
66,360,359,1925,Ġmain, main,0,13.875,
67,361,360,3857,Ġsection, section,0,5.5,
68,362,361,627,.Ċ,".
",0,3.125,
69,363,362,18,3,3,1,7.75,
70,364,363,13,.,.,1,9.375,
71,365,364,7834,ĠStar, Star,1,5.75,
72,366,365,25,:,:,1,5.75,
73,367,366,362,ĠA, A,0,3.0,
74,368,367,4009,Ġnetwork, network,0,6.0,
75,369,368,1405,Ġwhere, where,0,7.5,
76,370,369,1855,Ġeach, each,0,9.375,
77,371,370,6500,Ġcomputer, computer,0,4.625,
78,372,371,374,Ġis, is,0,5.125,
79,373,372,8599,Ġconnected, connected,0,10.125,
80,374,373,311,Ġto, to,0,9.25,
81,375,374,264,Ġa, a,0,17.0,
82,376,375,8792,Ġcentral, central,0,12.125,
83,377,376,19240,Ġhub, hub,0,11.375,
84,378,377,1701,Ġusing, using,0,5.625,
85,379,378,264,Ġa, a,0,0.75,
86,380,379,1486,Ġpoint, point,0,11.375,
87,381,380,4791,-to,-to,0,12.375,
88,382,381,16983,-point,-point,0,13.625,
89,383,382,3717,Ġconnection, connection,0,15.25,
90,384,383,627,.Ċ,".
",0,2.375,
91,385,384,19,4,4,0,8.25,
92,386,385,13,.,.,0,9.625,
93,387,386,26179,ĠMesh, Mesh,0,6.875,
94,388,387,25,:,:,0,5.875,
95,389,388,362,ĠA, A,0,4.5,
96,390,389,4009,Ġnetwork, network,0,10.625,
97,391,390,1405,Ġwhere, where,0,1.125,
98,392,391,6743,Ġmessages, messages,0,8.75,
99,393,392,649,Ġcan, can,0,1.5,
100,394,393,1935,Ġtake, take,0,3.75,
101,395,394,904,Ġany, any,0,3.0,
102,396,395,315,Ġof, of,0,1.25,
103,397,396,3892,Ġseveral, several,0,9.75,
104,398,397,3284,Ġpossible, possible,0,7.375,
105,399,398,13006,Ġpaths, paths,0,8.375,
106,400,399,505,Ġfrom, from,0,8.625,
107,401,400,2592,Ġsource, source,0,6.0,
108,402,401,311,Ġto, to,0,18.625,
109,403,402,9284,Ġdestination, destination,0,13.875,
110,404,403,11,",",",",0,2.0,
111,405,404,10923,Ġallowing, allowing,0,1.625,
112,406,405,369,Ġfor, for,0,2.25,
113,407,406,5361,Ġmultiple, multiple,0,1.0,
114,408,407,11543,Ġroutes, routes,0,4.0,
115,409,408,13,.,.,0,1.5,
116,410,409,128009,<|eot_id|>,<|eot_id|>,0,4.75,
