case,trace,step,rank,candidate_id,candidate,logit,probability,is_chosen
simmer_time,00012.npz,55,1,62915, simmer,29.5,0.9998226165771484,1
simmer_time,00012.npz,55,2,4394, cook,19.75,5.828432404086925e-05,0
simmer_time,00012.npz,55,3,1095, let,19.75,5.828432404086925e-05,0
simmer_time,00012.npz,55,4,38553, simulate,18.875,2.4296519768540747e-05,0
simmer_time,00012.npz,55,5,4546, bring,18.75,2.1441604985739104e-05,0
simmer_time,00012.npz,56,1,369, for,33.25,0.9998435974121094,1
simmer_time,00012.npz,56,2,627,".
",24.125,0.0001088917488232255,0
simmer_time,00012.npz,56,3,279, the,22.5,2.144205427612178e-05,0
simmer_time,00012.npz,56,4,320, (,21.875,1.1477104635559954e-05,0
simmer_time,00012.npz,56,5,13,.,20.75,3.7260701901686843e-06,0
simmer_time,00012.npz,57,1,220, ,31.625,0.9998912811279297,1
simmer_time,00012.npz,57,2,3060, either,21.625,4.5394986955216154e-05,0
simmer_time,00012.npz,57,3,264, a,20.75,1.8923448806162924e-05,0
simmer_time,00012.npz,57,4,922, about,20.5,1.4737596757186111e-05,0
simmer_time,00012.npz,57,5,512,":
",20.25,1.147765124187572e-05,0
simmer_time,00012.npz,58,1,868,15,26.625,0.9734593033790588,1
simmer_time,00012.npz,58,2,605,10,23.0,0.02594180777668953,0
simmer_time,00012.npz,58,3,20,5,18.25,0.00022444063506554812,0
simmer_time,00012.npz,58,4,220, ,17.5,0.00010601825488265604,0
simmer_time,00012.npz,58,5,717,12,17.375,9.356077498523518e-05,0
simmer_time,00012.npz,59,1,311, to,34.25,0.9770177006721497,1
simmer_time,00012.npz,59,2,12,-,30.5,0.022977251559495926,0
simmer_time,00012.npz,59,3,4520, minutes,21.5,2.8356182610878022e-06,0
simmer_time,00012.npz,59,4,482, -,20.75,1.3394512734521413e-06,0
simmer_time,00012.npz,59,5,4235,–,17.75,6.668734897630202e-08,0
simmer_time,00012.npz,60,1,220, ,29.875,0.9999828934669495,1
simmer_time,00012.npz,60,2,720," 
",17.5,4.222778898110846e-06,0
simmer_time,00012.npz,60,3,972,18,17.375,3.7265895116433967e-06,0
simmer_time,00012.npz,60,4,508,20,17.0,2.561244855314726e-06,0
simmer_time,00012.npz,60,5,3060, either,16.125,1.0676856163627235e-06,0
simmer_time,00012.npz,61,1,508,20,32.0,0.999969482421875,1
simmer_time,00012.npz,61,2,1313,22,20.125,6.962092356843641e-06,0
simmer_time,00012.npz,61,3,914,25,20.125,6.962092356843641e-06,0
simmer_time,00012.npz,61,4,220, ,19.5,3.7265397168084746e-06,0
simmer_time,00012.npz,61,5,972,18,18.875,1.994672857108526e-06,0
simmer_time,00012.npz,62,1,4520, minutes,33.75,1.0,1
simmer_time,00012.npz,62,2,220, ,19.75,8.31528666367376e-07,0
simmer_time,00012.npz,62,3,477, or,18.75,3.0590231858695915e-07,0
simmer_time,00012.npz,62,4,38137,minutes,18.0,1.4449803131810768e-07,0
simmer_time,00012.npz,62,5,320, (,17.5,8.764247638737288e-08,0
grill_time,00012.npz,93,1,40158, grill,35.5,1.0,1
grill_time,00012.npz,93,2,1099, gr,20.75,3.92786347447327e-07,0
grill_time,00012.npz,93,3,50948, Grill,20.625,3.466327029855165e-07,0
grill_time,00012.npz,93,4,220, ,19.375,9.931194000500909e-08,0
grill_time,00012.npz,93,5,369, for,18.0,2.51099923076481e-08,0
grill_time,00012.npz,94,1,369, for,32.25,0.8518611788749695,1
grill_time,00012.npz,94,2,11,",",30.5,0.14803127944469452,0
grill_time,00012.npz,94,3,555, by,22.25,3.867443592753261e-05,0
grill_time,00012.npz,94,4,477, or,21.25,1.4227531210053712e-05,0
grill_time,00012.npz,94,5,13353, turning,21.0,1.1080411240982357e-05,0
grill_time,00012.npz,95,1,220, ,32.5,0.9999847412109375,1
grill_time,00012.npz,95,2,3060, either,20.25,4.785044438904151e-06,0
grill_time,00012.npz,95,3,605,10,20.0,3.7265961054799845e-06,0
grill_time,00012.npz,95,4,922, about,19.75,2.902276037275442e-06,0
grill_time,00012.npz,95,5,459, an,19.0,1.3709380937143578e-06,0
grill_time,00012.npz,96,1,605,10,27.125,0.9577659368515015,1
grill_time,00012.npz,96,2,20,5,24.0,0.04208130016922951,0
grill_time,00012.npz,96,3,23,8,16.875,3.386420939932577e-05,0
grill_time,00012.npz,96,4,220, ,16.625,2.6373472792329267e-05,0
grill_time,00012.npz,96,5,22,7,16.25,1.8126205759472214e-05,0
grill_time,00012.npz,97,1,311, to,33.5,0.9914158582687378,1
grill_time,00012.npz,97,2,12,-,28.75,0.00857742689549923,0
grill_time,00012.npz,97,3,482, -,21.25,4.7440412345167715e-06,0
grill_time,00012.npz,97,4,4520, minutes,20.875,3.2605287287879037e-06,0
grill_time,00012.npz,97,5,320, (,17.0,6.767010773955917e-08,0
grill_time,00012.npz,98,1,220, ,29.5,0.999969482421875,1
grill_time,00012.npz,98,2,975,14,18.375,1.4738749086973257e-05,0
grill_time,00012.npz,98,3,717,12,16.75,2.902231926782406e-06,0
grill_time,00012.npz,98,4,4520, minutes,16.5,2.2602605440624757e-06,0
grill_time,00012.npz,98,5,1032,13,16.25,1.760292548169673e-06,0
grill_time,00012.npz,99,1,975,14,28.875,0.9984942674636841,1
grill_time,00012.npz,99,2,717,12,21.875,0.0009105089120566845,0
grill_time,00012.npz,99,3,605,10,20.25,0.00017928984016180038,0
grill_time,00012.npz,99,4,868,15,20.125,0.00015822274144738913,0
grill_time,00012.npz,99,5,220, ,19.75,0.00010874479630729184,0
grill_time,00012.npz,100,1,4520, minutes,32.5,0.999992311000824,1
grill_time,00012.npz,100,2,220, ,19.125,1.5534883459622506e-06,0
grill_time,00012.npz,100,3,320, (,19.0,1.3709485529034282e-06,0
grill_time,00012.npz,100,4,9568, minute,18.875,1.2098578281438677e-06,0
grill_time,00012.npz,100,5,11,",",18.375,7.338159093706054e-07,0
onion_time,00012.npz,119,1,8854, serve,22.125,0.5416576862335205,0
onion_time,00012.npz,119,2,4394, cook,21.25,0.22579652070999146,1
onion_time,00012.npz,119,3,8108, reduce,20.0,0.06469178944826126,0
onion_time,00012.npz,119,4,1948, top,19.625,0.04446197301149368,0
onion_time,00012.npz,119,5,923, add,19.25,0.030558237805962563,0
onion_time,00012.npz,120,1,279, the,26.625,0.9716394543647766,1
onion_time,00012.npz,120,2,304, in,21.75,0.007418558932840824,0
onion_time,00012.npz,120,3,1124, them,21.25,0.004499583505094051,0
onion_time,00012.npz,120,4,389, on,21.125,0.003970868419855833,0
onion_time,00012.npz,120,5,2500, another,21.0,0.003504278836771846,0
onion_time,00012.npz,121,1,45697, onions,25.25,0.9615530371665955,1
onion_time,00012.npz,121,2,13179, beer,21.75,0.02903638780117035,0
onion_time,00012.npz,121,3,38427, onion,20.0,0.005045767407864332,0
onion_time,00012.npz,121,4,9861, remaining,19.625,0.0034679018426686525,0
onion_time,00012.npz,121,5,48715, sliced,16.375,0.00013446513912640512,0
onion_time,00012.npz,122,1,304, in,25.875,0.9720843434333801,1
onion_time,00012.npz,122,2,26214, separately,21.0,0.007421955931931734,0
onion_time,00012.npz,122,3,320, (,20.625,0.005101030692458153,0
onion_time,00012.npz,122,4,389, on,20.125,0.0030939313583076,0
onion_time,00012.npz,122,5,505, from,19.625,0.0018765642307698727,0
onion_time,00012.npz,123,1,279, the,28.375,0.9913232326507568,1
onion_time,00012.npz,123,2,264, a,22.875,0.004051311407238245,0
onion_time,00012.npz,123,3,14432, butter,22.75,0.0035752698313444853,0
onion_time,00012.npz,123,4,13179, beer,20.875,0.0005482853739522398,0
onion_time,00012.npz,123,5,904, any,20.125,0.0002589916402939707,0
onion_time,00012.npz,124,1,13179, beer,23.625,0.6542555093765259,1
onion_time,00012.npz,124,2,9861, remaining,22.25,0.16542170941829681,0
onion_time,00012.npz,124,3,14432, butter,22.125,0.14598414301872253,0
onion_time,00012.npz,124,4,3419, pot,19.875,0.015386614948511124,0
onion_time,00012.npz,124,5,65543, leftover,19.125,0.007268122397363186,0
onion_time,00012.npz,125,1,21655, mixture,25.875,0.9938525557518005,1
onion_time,00012.npz,125,2,369, for,19.75,0.0021740435622632504,0
onion_time,00012.npz,125,3,3156, until,18.75,0.0007997858920134604,0
onion_time,00012.npz,125,4,389, on,18.375,0.0005496842786669731,0
onion_time,00012.npz,125,5,323, and,17.875,0.0003334003849886358,0
onion_time,00012.npz,126,1,389, on,24.125,0.37341049313545227,0
onion_time,00012.npz,126,2,369, for,24.0,0.3295336067676544,1
