trace_a,trace_b,step,prefix_tokens,next_id_a,next_id_b,candidate_ids_equal,max_top_logit_error,log_normalizer_error
00000.npz,00001.npz,0,294,29815,29815,1,0.0,0.0
00000.npz,00001.npz,1,295,389,389,1,0.0,0.0
00000.npz,00001.npz,2,296,279,279,1,0.0,0.0
00000.npz,00001.npz,3,297,2728,2728,1,0.0,0.0
00000.npz,00001.npz,4,298,47869,47869,1,0.0,0.0
00000.npz,00001.npz,5,299,11,11,1,0.0,0.0
00000.npz,00001.npz,6,300,1618,1618,1,0.0,0.0
00000.npz,00001.npz,7,301,596,596,1,0.0,0.0
00000.npz,00001.npz,8,302,264,264,1,0.0,0.0
00000.npz,00001.npz,9,303,10015,10015,1,0.0,0.0
00000.npz,00001.npz,10,304,16540,16540,1,0.0,0.0
00000.npz,00001.npz,11,305,315,315,1,0.0,0.0
00000.npz,00001.npz,12,306,1855,1855,1,0.0,0.0
00000.npz,00001.npz,13,307,955,955,1,0.0,0.0
00000.npz,00001.npz,14,308,315,315,1,0.0,0.0
00000.npz,00001.npz,15,309,45982,45982,1,0.0,0.0
00000.npz,00001.npz,16,310,4009,4009,1,0.0,0.0
00000.npz,00001.npz,17,311,1473,1473,1,0.0,0.0
00000.npz,00001.npz,18,312,16,16,1,0.0,0.0
00000.npz,00001.npz,19,313,13,13,1,0.0,0.0
00000.npz,00001.npz,20,314,29363,29363,1,0.0,0.0
00000.npz,00001.npz,21,315,19111,19111,1,0.0,0.0
00000.npz,00001.npz,22,316,25,25,1,0.0,0.0
00000.npz,00001.npz,23,317,362,362,1,0.0,0.0
00000.npz,00001.npz,24,318,4009,29363,1,0.0,0.0
00000.npz,00002.npz,0,294,29815,29815,1,0.0,0.0
00000.npz,00002.npz,1,295,389,389,1,0.0,0.0
00000.npz,00002.npz,2,296,279,279,1,0.0,0.0
00000.npz,00002.npz,3,297,2728,2728,1,0.0,0.0
00000.npz,00002.npz,4,298,47869,47869,1,0.0,0.0
00000.npz,00002.npz,5,299,11,11,1,0.0,0.0
00000.npz,00002.npz,6,300,1618,1618,1,0.0,0.0
00000.npz,00002.npz,7,301,596,596,1,0.0,0.0
00000.npz,00002.npz,8,302,264,264,1,0.0,0.0
00000.npz,00002.npz,9,303,10015,10015,1,0.0,0.0
00000.npz,00002.npz,10,304,16540,4320,1,0.0,0.0
00000.npz,00003.npz,0,294,29815,29815,1,0.0,0.0
00000.npz,00003.npz,1,295,389,389,1,0.0,0.0
00000.npz,00003.npz,2,296,279,279,1,0.0,0.0
00000.npz,00003.npz,3,297,2728,2728,1,0.0,0.0
00000.npz,00003.npz,4,298,47869,47869,1,0.0,0.0
00000.npz,00003.npz,5,299,11,11,1,0.0,0.0
00000.npz,00003.npz,6,300,1618,1618,1,0.0,0.0
00000.npz,00003.npz,7,301,596,596,1,0.0,0.0
00000.npz,00003.npz,8,302,264,264,1,0.0,0.0
00000.npz,00003.npz,9,303,10015,10015,1,0.0,0.0
00000.npz,00003.npz,10,304,16540,16540,1,0.0,0.0
00000.npz,00003.npz,11,305,315,315,1,0.0,0.0
00000.npz,00003.npz,12,306,1855,1855,1,0.0,0.0
00000.npz,00003.npz,13,307,955,955,1,0.0,0.0
00000.npz,00003.npz,14,308,315,315,1,0.0,0.0
00000.npz,00003.npz,15,309,45982,45982,1,0.0,0.0
00000.npz,00003.npz,16,310,4009,4009,1,0.0,0.0
00000.npz,00003.npz,17,311,1473,1473,1,0.0,0.0
00000.npz,00003.npz,18,312,16,16,1,0.0,0.0
00000.npz,00003.npz,19,313,13,13,1,0.0,0.0
00000.npz,00003.npz,20,314,29363,3146,1,0.0,0.0
00004.npz,00005.npz,0,434,29815,644,1,0.0,0.0
00004.npz,00006.npz,0,434,29815,644,1,0.0,0.0
00005.npz,00006.npz,1,435,936,936,1,0.0,0.0
00005.npz,00006.npz,2,436,15447,15447,1,0.0,0.0
