case,trace,step,query_position,token_id,token,probability,chosen_rank,chosen_margin,top2_margin,logit_entropy
simmer_time,00012.npz,55,589,62915, simmer,0.9998226165771484,1,9.75,9.75,
simmer_time,00012.npz,56,590,369, for,0.9998435974121094,1,9.125,9.125,
simmer_time,00012.npz,57,591,220, ,0.9998912811279297,1,10.0,10.0,
simmer_time,00012.npz,58,592,868,15,0.9734593033790588,1,3.625,3.625,
simmer_time,00012.npz,59,593,311, to,0.9770177006721497,1,3.75,3.75,
simmer_time,00012.npz,60,594,220, ,0.9999828934669495,1,12.375,12.375,
simmer_time,00012.npz,61,595,508,20,0.999969482421875,1,11.875,11.875,
simmer_time,00012.npz,62,596,4520, minutes,1.0,1,14.0,14.0,
grill_time,00012.npz,93,627,40158, grill,1.0,1,14.75,14.75,
grill_time,00012.npz,94,628,369, for,0.8518611788749695,1,1.75,1.75,
grill_time,00012.npz,95,629,220, ,0.9999847412109375,1,12.25,12.25,
grill_time,00012.npz,96,630,605,10,0.9577659368515015,1,3.125,3.125,
grill_time,00012.npz,97,631,311, to,0.9914158582687378,1,4.75,4.75,
grill_time,00012.npz,98,632,220, ,0.999969482421875,1,11.125,11.125,
grill_time,00012.npz,99,633,975,14,0.9984942674636841,1,7.0,7.0,
grill_time,00012.npz,100,634,4520, minutes,0.999992311000824,1,13.375,13.375,
onion_time,00012.npz,119,653,4394, cook,0.22579652070999146,2,-0.875,0.875,
onion_time,00012.npz,120,654,279, the,0.9716394543647766,1,4.875,4.875,
onion_time,00012.npz,121,655,45697, onions,0.9615530371665955,1,3.5,3.5,
onion_time,00012.npz,122,656,304, in,0.9720843434333801,1,4.875,4.875,
onion_time,00012.npz,123,657,279, the,0.9913232326507568,1,5.5,5.5,
onion_time,00012.npz,124,658,13179, beer,0.6542555093765259,1,1.375,1.375,
onion_time,00012.npz,125,659,21655, mixture,0.9938525557518005,1,6.125,6.125,
onion_time,00012.npz,126,660,369, for,0.3295336067676544,2,-0.125,0.125,
onion_time,00012.npz,127,661,220, ,0.4188864827156067,1,0.125,0.125,
onion_time,00012.npz,128,662,605,10,0.7918999791145325,1,1.375,1.375,
onion_time,00012.npz,129,663,311, to,0.9706022143363953,1,3.5,3.5,
onion_time,00012.npz,130,664,220, ,0.9998722076416016,1,9.125,9.125,
onion_time,00012.npz,131,665,717,12,0.9952259063720703,1,5.375,5.375,
onion_time,00012.npz,132,666,4520, minutes,0.9925738573074341,1,5.0,5.0,
headdress,00006.npz,25,458,2435, They,0.5454615950584412,1,0.75,0.75,
headdress,00006.npz,26,459,1051, were,0.5304521322250366,1,0.625,0.625,
headdress,00006.npz,27,460,5762, held,0.7363811731338501,1,2.375,2.375,
headdress,00006.npz,28,461,3871, together,0.9999770522117615,1,11.125,11.125,
headdress,00006.npz,29,462,555, by,0.9668993353843689,1,3.375,3.375,
headdress,00006.npz,30,463,3544, large,0.8807883858680725,1,2.0,2.0,
headdress,00006.npz,31,464,9501, metal,1.0,1,14.375,14.375,
headdress,00006.npz,32,465,28042, pins,1.0,1,14.75,14.75,
headdress,00006.npz,33,466,323, and,0.3403905928134918,2,-0.5,0.5,
headdress,00006.npz,34,467,28670, wore,0.030548095703125,,-1.75,0.0,
headdress,00006.npz,35,468,264, a,0.1277899444103241,2,-1.25,1.25,
headdress,00006.npz,36,469,568, he,0.05239499732851982,,-1.375,0.0,
headdress,00006.npz,37,470,5102,address,0.9998912811279297,1,9.5,9.5,
headdress,00006.npz,38,471,449, with,0.9810267686843872,1,4.625,4.625,
headdress,00006.npz,39,472,264, a,0.8229243755340576,1,2.5,2.5,
headdress,00006.npz,40,473,3361, special,0.7093969583511353,1,1.0,1.0,
headdress,00006.npz,41,474,55907, fringe,0.999855101108551,1,8.875,8.875,
headdress,00006.npz,42,475,315, of,0.9953587055206299,1,5.75,5.75,
headdress,00006.npz,43,476,6761, gold,0.9999770522117615,1,11.5,11.5,
headdress,00006.npz,44,477,323, and,0.999639630317688,1,8.75,8.75,
headdress,00006.npz,45,478,56994, feathers,0.9999427199363708,1,11.0,11.0,
headdress,00006.npz,46,479,13,.,0.5310352444648743,1,0.5,0.5,
clothes_lengths,00007.npz,18,451,2435, They,0.6366821527481079,1,0.875,0.875,
clothes_lengths,00007.npz,19,452,28670, wore,0.2411273568868637,2,-0.75,0.75,
clothes_lengths,00007.npz,20,453,11716, tun,0.24343837797641754,2,-0.375,0.375,
clothes_lengths,00007.npz,21,454,1233,ics,1.0,1,15.375,15.375,
clothes_lengths,00007.npz,22,455,323, and,0.2355780154466629,2,-0.5,0.5,
clothes_lengths,00007.npz,23,456,5405, clo,0.6506354808807373,1,0.75,0.75,
clothes_lengths,00007.npz,24,457,10011,aks,0.9998970031738281,1,9.375,9.375,
clothes_lengths,00007.npz,25,458,11,",",0.7835417985916138,1,2.125,2.125,
clothes_lengths,00007.npz,26,459,449, with,0.7309321761131287,1,1.75,1.75,
clothes_lengths,00007.npz,27,460,259, t,0.03789081797003746,5,-2.25,0.625,
clothes_lengths,00007.npz,28,461,3609,unic,0.9040262699127197,1,2.375,2.375,
clothes_lengths,00007.npz,29,462,29416, lengths,0.23375946283340454,3,-0.625,0.375,
clothes_lengths,00007.npz,30,463,19261, reaching,0.9846842288970947,1,5.25,5.25,
clothes_lengths,00007.npz,31,464,709, up,0.8634905219078064,1,2.0,2.0,
clothes_lengths,00007.npz,32,465,311, to,0.9998874664306641,1,10.25,10.25,
clothes_lengths,00007.npz,33,466,279, the,0.9370937347412109,1,2.75,2.75,
clothes_lengths,00007.npz,34,467,22095, knee,0.9039555788040161,1,2.25,2.25,
clothes_lengths,00007.npz,35,468,11,",",0.22339247167110443,3,-0.5,0.125,
clothes_lengths,00007.npz,36,469,323, and,0.9662595987319946,1,3.625,3.625,
clothes_lengths,00007.npz,37,470,77305, skirts,0.38766610622406006,1,0.5,0.5,
clothes_lengths,00007.npz,38,471,430, that,0.7501620054244995,1,2.0,2.0,
clothes_lengths,00007.npz,39,472,9960, covered,0.8594975471496582,1,2.375,2.375,
clothes_lengths,00007.npz,40,473,709, up,0.6163277626037598,1,0.5,0.5,
clothes_lengths,00007.npz,41,474,311, to,0.999969482421875,1,10.625,10.625,
clothes_lengths,00007.npz,42,475,279, the,0.9994470477104187,1,8.0,8.0,
clothes_lengths,00007.npz,43,476,39448, ankle,0.932403028011322,1,2.625,2.625,
clothes_lengths,00007.npz,44,477,13,.,0.9824086427688599,1,4.75,4.75,
star_transition,00000.npz,69,362,18,3,0.9993250370025635,1,7.75,7.75,
star_transition,00000.npz,70,363,13,.,0.9998169541358948,1,9.375,9.375,
star_transition,00000.npz,71,364,7834, Star,0.9944403767585754,1,5.75,5.75,
